league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,25.0,1998.0,10.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Liverpool,Cody Gakpo,NED,MF,25.0,1999.0,21.5,10,57,23,40.4,2.65,1.07,0.18,0.43,0,0
ENG-Premier League,2425,Liverpool,Conor Bradley,NIR,DF,21.0,2003.0,8.4,0,10,3,30.0,1.19,0.36,0.0,0.0,0,0
ENG-Premier League,2425,Liverpool,Curtis Jones,ENG,"MF,DF",23.0,2001.0,19.0,3,34,13,38.2,1.79,0.68,0.09,0.23,0,0
ENG-Premier League,2425,Liverpool,Darwin Núñez,URU,FW,25.0,1999.0,12.6,5,34,13,38.2,2.7,1.03,0.15,0.38,0,0
ENG-Premier League,2425,Liverpool,Diogo Jota,POR,FW,27.0,1996.0,13.3,6,51,13,25.5,3.84,0.98,0.12,0.46,0,0
ENG-Premier League,2425,Liverpool,Dominik Szoboszlai,HUN,MF,23.0,2000.0,27.7,6,67,23,34.3,2.42,0.83,0.09,0.26,0,0
ENG-Premier League,2425,Liverpool,Federico Chiesa,ITA,FW,26.0,1997.0,1.2,0,5,2,40.0,4.17,1.67,0.0,0.0,0,0
ENG-Premier League,2425,Liverpool,Harvey Elliott,ENG,MF,21.0,2003.0,4.1,1,17,4,23.5,4.12,0.97,0.06,0.25,0,0
ENG-Premier League,2425,Liverpool,Ibrahima Konaté,FRA,DF,25.0,1999.0,28.4,1,19,4,21.1,0.67,0.14,0.05,0.25,0,0
ENG-Premier League,2425,Liverpool,Jarell Quansah,ENG,DF,21.0,2003.0,5.5,0,1,0,0.0,0.18,0.0,0.0,,0,0
ENG-Premier League,2425,Liverpool,Jayden Danns,ENG,FW,18.0,2006.0,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Liverpool,Joe Gomez,ENG,DF,27.0,1997.0,5.8,0,3,2,66.7,0.52,0.35,0.0,0.0,0,0
ENG-Premier League,2425,Liverpool,Kostas Tsimikas,GRE,DF,28.0,1996.0,9.3,0,4,2,50.0,0.43,0.22,0.0,0.0,0,0
ENG-Premier League,2425,Liverpool,Luis Díaz,COL,"FW,MF",27.0,1997.0,26.7,13,71,30,42.3,2.66,1.13,0.18,0.43,0,0
ENG-Premier League,2425,Liverpool,Mohamed Salah,EGY,MF,32.0,1992.0,37.5,29,130,61,46.9,3.47,1.63,0.15,0.33,9,9
ENG-Premier League,2425,Liverpool,Ryan Gravenberch,NED,MF,22.0,2002.0,35.1,0,20,5,25.0,0.57,0.14,0.0,0.0,0,0
ENG-Premier League,2425,Liverpool,Trent Alexander-Arnold,ENG,DF,25.0,1998.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,0,0
ENG-Premier League,2425,Liverpool,Virgil van Dijk,NED,DF,33.0,1991.0,37.0,3,26,8,30.8,0.7,0.22,0.12,0.38,0,0
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23.0,2001.0,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Liverpool,Wataru Endo,JPN,MF,31.0,1993.0,3.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Abdukodir Khusanov,UZB,DF,20.0,2004.0,5.6,0,1,0,0.0,0.18,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester City,Bernardo Silva,POR,MF,29.0,1994.0,29.7,4,32,12,37.5,1.08,0.4,0.13,0.33,0,0
ENG-Premier League,2425,Manchester City,Claudio Echeverri,ARG,MF,18.0,2006.0,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Divin Mubama,ENG,FW,19.0,2004.0,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester City,Ederson Moraes,BRA,GK,30.0,1993.0,25.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24.0,2000.0,30.4,22,109,60,55.0,3.59,1.97,0.17,0.32,3,4
ENG-Premier League,2425,Manchester City,Jack Grealish,ENG,"MF,FW",28.0,1995.0,8.0,1,15,5,33.3,1.87,0.62,0.07,0.2,0,0
ENG-Premier League,2425,Manchester City,Jahmai Simpson-Pusey,ENG,DF,18.0,2005.0,1.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,James Mcatee,ENG,MF,21.0,2002.0,3.9,3,12,4,33.3,3.09,1.03,0.25,0.75,0,0
ENG-Premier League,2425,Manchester City,Jeremy Doku,BEL,"MF,FW",22.0,2002.0,16.8,3,29,9,31.0,1.72,0.53,0.1,0.33,0,0
ENG-Premier League,2425,Manchester City,John Stones,ENG,DF,30.0,1994.0,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,0,0
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22.0,2002.0,36.4,5,40,12,30.0,1.1,0.33,0.13,0.42,0,0
ENG-Premier League,2425,Manchester City,Kevin De Bruyne,BEL,"MF,FW",33.0,1991.0,18.9,4,57,18,31.6,3.01,0.95,0.07,0.22,0,0
ENG-Premier League,2425,Manchester City,Kyle Walker,ENG,DF,34.0,1990.0,10.8,0,5,2,40.0,0.46,0.19,0.0,0.0,0,0
ENG-Premier League,2425,Manchester City,Manuel Akanji,SUI,"DF,MF",29.0,1995.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,0,0
ENG-Premier League,2425,Manchester City,Mateo Kovačić,CRO,"MF,DF",30.0,1994.0,24.4,6,45,12,26.7,1.84,0.49,0.13,0.5,0,0
ENG-Premier League,2425,Manchester City,Matheus Nunes,POR,"DF,MF",25.0,1998.0,18.6,1,9,4,44.4,0.48,0.22,0.11,0.25,0,0
ENG-Premier League,2425,Manchester City,Nathan Aké,NED,DF,29.0,1995.0,7.5,0,3,0,0.0,0.4,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester City,Nico O'Reilly,ENG,DF,19.0,2005.0,5.9,2,8,3,37.5,1.36,0.51,0.25,0.67,0,0
ENG-Premier League,2425,Manchester City,Nicolás González,ESP,MF,22.0,2002.0,8.4,1,9,2,22.2,1.07,0.24,0.11,0.5,0,0
ENG-Premier League,2425,Manchester City,Omar Marmoush,EGY,"MF,FW",25.0,1999.0,13.1,7,49,17,34.7,3.75,1.3,0.14,0.41,0,0
ENG-Premier League,2425,Manchester City,Oscar Bobb,NOR,"FW,MF",21.0,2003.0,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Phil Foden,ENG,"MF,FW",24.0,2000.0,19.7,7,54,16,29.6,2.73,0.81,0.13,0.44,0,0
ENG-Premier League,2425,Manchester City,Rico Lewis,ENG,"DF,MF",19.0,2004.0,21.0,1,10,2,20.0,0.48,0.1,0.1,0.5,0,0
ENG-Premier League,2425,Manchester City,Rodri,ESP,MF,28.0,1996.0,0.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Rúben Dias,POR,"DF,MF",27.0,1997.0,25.2,0,21,7,33.3,0.83,0.28,0.0,0.0,0,0
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,31.0,1992.0,12.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,Sávio,BRA,"MF,FW",20.0,2004.0,19.6,1,55,21,38.2,2.8,1.07,0.02,0.05,0,0
ENG-Premier League,2425,Manchester City,Vitor Reis,BRA,DF,18.0,2006.0,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester City,İlkay Gündoğan,GER,MF,33.0,1990.0,24.7,1,27,7,25.9,1.09,0.28,0.04,0.14,0,0
ENG-Premier League,2425,Manchester Utd,Alejandro Garnacho,ARG,MF,20.0,2004.0,24.4,6,84,30,35.7,3.44,1.23,0.07,0.2,0,0
ENG-Premier League,2425,Manchester Utd,Altay Bayındır,TUR,GK,26.0,1998.0,4.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester Utd,Amad Diallo,CIV,"MF,FW",22.0,2002.0,21.1,8,47,17,36.2,2.23,0.8,0.17,0.47,0,0
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28.0,1996.0,34.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2425,Manchester Utd,Antony,BRA,"FW,MF",24.0,2000.0,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Ayden Heaven,ENG,DF,17.0,2006.0,1.9,0,2,0,0.0,1.06,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester Utd,Bruno Fernandes,POR,MF,29.0,1994.0,33.5,8,96,29,30.2,2.86,0.86,0.05,0.17,3,3
ENG-Premier League,2425,Manchester Utd,Casemiro,BRA,MF,32.0,1992.0,16.6,1,32,10,31.3,1.93,0.6,0.03,0.1,0,0
ENG-Premier League,2425,Manchester Utd,Chidozie Obi-Martin,DEN,FW,16.0,2007.0,1.8,0,5,1,20.0,2.73,0.55,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Christian Eriksen,DEN,MF,32.0,1992.0,11.8,1,15,2,13.3,1.27,0.17,0.0,0.0,1,1
ENG-Premier League,2425,Manchester Utd,Diogo Dalot,POR,"MF,DF",25.0,1999.0,31.3,0,24,5,20.8,0.77,0.16,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Harry Amass,ENG,MF,17.0,2007.0,3.8,0,3,0,0.0,0.78,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester Utd,Harry Maguire,ENG,DF,31.0,1993.0,19.5,1,15,7,46.7,0.77,0.36,0.07,0.14,0,0
ENG-Premier League,2425,Manchester Utd,Jonny Evans,NIR,DF,36.0,1988.0,3.5,0,2,1,50.0,0.57,0.29,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",23.0,2001.0,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,0,0
ENG-Premier League,2425,Manchester Utd,Kobbie Mainoo,ENG,MF,19.0,2005.0,18.3,0,15,2,13.3,0.82,0.11,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Leny Yoro,FRA,DF,18.0,2005.0,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26.0,1998.0,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,0,0
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29.0,1995.0,3.9,0,1,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte,URU,MF,23.0,2001.0,19.8,1,19,4,21.1,0.96,0.2,0.05,0.25,0,0
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,MF,26.0,1997.0,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,0,0
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,"MF,FW",25.0,1999.0,6.9,1,20,9,45.0,2.89,1.3,0.05,0.11,0,0
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,24.0,1999.0,23.6,2,18,10,55.6,0.76,0.42,0.11,0.2,0,0
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,"DF,MF",26.0,1997.0,31.5,0,13,3,23.1,0.41,0.1,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Patrick Dorgu,DEN,MF,19.0,2004.0,9.4,0,10,2,20.0,1.07,0.21,0.0,0.0,0,0
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21.0,2003.0,22.3,4,32,13,40.6,1.44,0.58,0.13,0.31,0,0
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,27.0,1996.0,0.2,0,1,0,0.0,4.74,0.0,0.0,,0,0
