league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_pk,standard_pkatt
ENG-Premier League,2526,West Ham,Valentín Castellanos,ARG,FW,26.0,1998.0,15.4,6,50,22,44.0,3.25,1.43,0.12,0.27,0,0
ENG-Premier League,2526,Wolves,Adam Armstrong,ENG,"FW,MF",28.0,1997.0,12.7,2,18,6,33.3,1.42,0.47,0.06,0.17,1,1
ENG-Premier League,2526,Wolves,André,BRA,MF,24.0,2001.0,30.7,1,15,1,6.7,0.49,0.03,0.07,1.0,0,0
ENG-Premier League,2526,Wolves,Angel Gomes,ENG,"MF,FW",24.0,2000.0,5.1,0,6,2,33.3,1.17,0.39,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32.0,1993.0,3.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,David Møller Wolfe,NOR,"MF,DF",23.0,2002.0,11.7,0,3,0,0.0,0.26,0.0,0.0,,0,0
ENG-Premier League,2526,Wolves,Emmanuel Agbadou,CIV,DF,28.0,1997.0,12.2,0,10,3,30.0,0.82,0.25,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Fer López,ESP,MF,21.0,2004.0,2.6,0,5,1,20.0,1.91,0.38,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Hugo Bueno,ESP,"MF,DF",22.0,2002.0,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0
ENG-Premier League,2526,Wolves,Hwang Hee-chan,KOR,"FW,MF",29.0,1996.0,16.1,2,19,6,31.6,1.18,0.37,0.05,0.17,1,1
ENG-Premier League,2526,Wolves,Jackson Tchatchoua,CMR,"MF,DF",23.0,2001.0,20.5,0,3,1,33.3,0.15,0.05,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",27.0,1998.0,13.9,1,21,7,33.3,1.51,0.5,0.05,0.14,0,0
ENG-Premier League,2526,Wolves,Jerome Abbey,ENG,MF,15.0,2009.0,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Jhon Arias,COL,"FW,MF",27.0,1997.0,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0
ENG-Premier League,2526,Wolves,José Sá,POR,GK,32.0,1993.0,23.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,João Gomes,BRA,MF,24.0,2001.0,31.4,1,19,7,36.8,0.6,0.22,0.05,0.14,0,0
ENG-Premier League,2526,Wolves,Jørgen Strand Larsen,NOR,FW,25.0,2000.0,15.6,1,21,7,33.3,1.35,0.45,0.0,0.0,1,2
ENG-Premier League,2526,Wolves,Ki-Jana Hoever,NED,"MF,DF",23.0,2002.0,4.7,0,1,1,100.0,0.21,0.21,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Ladislav Krejčí,CZE,"DF,MF",26.0,1999.0,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0
ENG-Premier League,2526,Wolves,Marshall Munetsi,ZIM,"MF,FW",29.0,1996.0,9.7,1,14,6,42.9,1.44,0.62,0.07,0.17,0,0
ENG-Premier League,2526,Wolves,Mateus Mane,POR,MF,17.0,2007.0,19.9,3,41,17,41.5,2.06,0.85,0.07,0.18,0,0
ENG-Premier League,2526,Wolves,Matt Doherty,IRL,"DF,MF",33.0,1992.0,8.7,0,3,0,0.0,0.34,0.0,0.0,,0,0
ENG-Premier League,2526,Wolves,Pedro Lima,BRA,MF,19.0,2006.0,2.9,0,4,1,25.0,1.38,0.35,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Rodrigo Gomes,POR,"MF,FW",22.0,2003.0,10.7,3,20,6,30.0,1.87,0.56,0.15,0.5,0,0
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,32.0,1993.0,12.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Santiago Bueno,URU,DF,26.0,1998.0,28.4,3,10,7,70.0,0.35,0.25,0.3,0.43,0,0
ENG-Premier League,2526,Wolves,Saša Kalajdžić,AUT,"FW,MF",28.0,1997.0,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Tawanda Chirewa,ZIM,MF,21.0,2003.0,0.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2526,Wolves,Tolu Arokodare,NGA,FW,24.0,2000.0,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1
ENG-Premier League,2526,Wolves,Tom Edozie,ENG,MF,19.0,2006.0,0.2,1,2,1,50.0,12.86,6.43,0.5,1.0,0,0
ENG-Premier League,2526,Wolves,Toti Gomes,POR,DF,26.0,1999.0,15.8,0,5,2,40.0,0.32,0.13,0.0,0.0,0,0
ENG-Premier League,2526,Wolves,Yerson Mosquera,COL,DF,24.0,2001.0,23.7,0,30,6,20.0,1.26,0.25,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Abde Rebbach,ALG,"MF,FW",25.0,1998.0,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25.0,1999.0,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23.0,2000.0,1.4,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32.0,1991.0,6.6,0,1,0,0.0,0.15,0.0,0.0,,0,0
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27.0,1997.0,21.6,0,12,3,25.0,0.55,0.14,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24.0,2000.0,30.3,0,25,3,12.0,0.83,0.1,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27.0,1996.0,31.2,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26.0,1997.0,3.7,1,9,2,22.2,2.43,0.54,0.0,0.0,1,1
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26.0,1998.0,12.1,0,15,4,26.7,1.24,0.33,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26.0,1998.0,5.4,1,5,2,40.0,0.92,0.37,0.2,0.5,0,0
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"MF,FW",22.0,2002.0,14.8,2,26,12,46.2,1.76,0.81,0.08,0.17,0,0
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,MF,25.0,1999.0,34.4,5,36,14,38.9,1.05,0.41,0.11,0.29,1,1
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24.0,1999.0,7.5,0,5,1,20.0,0.66,0.13,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Hugo Novoa,ESP,"MF,DF",21.0,2003.0,2.6,0,1,0,0.0,0.38,0.0,0.0,,0,0
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23.0,2001.0,5.4,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Alavés,Joan Jordán,ESP,MF,30.0,1994.0,15.7,5,17,8,47.1,1.08,0.51,0.12,0.25,3,4
ESP-La Liga,2425,Alavés,Jon Guridi,ESP,MF,29.0,1995.0,23.1,3,24,12,50.0,1.04,0.52,0.08,0.17,1,1
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34.0,1989.0,28.2,13,63,27,42.9,2.23,0.96,0.16,0.37,3,3
ESP-La Liga,2425,Alavés,Luis Rioja,ESP,"FW,MF",30.0,1993.0,0.3,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Alavés,Luka Romero,ARG,"MF,FW",19.0,2004.0,2.2,0,2,0,0.0,0.9,0.0,0.0,,0,1
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23.0,2000.0,29.3,1,12,2,16.7,0.41,0.07,0.08,0.5,0,0
ESP-La Liga,2425,Alavés,Moussa Diarra,MLI,DF,23.0,2000.0,20.7,0,1,0,0.0,0.05,0.0,0.0,,0,0
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28.0,1996.0,32.5,2,27,9,33.3,0.83,0.28,0.07,0.22,0,0
ESP-La Liga,2425,Alavés,Pau Cabanes,ESP,MF,19.0,2005.0,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Pica,ESP,DF,22.0,2002.0,5.5,0,4,1,25.0,0.72,0.18,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Santiago Mouriño,URU,DF,22.0,2002.0,20.5,0,13,4,30.8,0.63,0.19,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",30.0,1993.0,7.8,0,18,3,16.7,2.32,0.39,0.0,0.0,0,0
ESP-La Liga,2425,Alavés,Tomás Conechny,ARG,"MF,FW",26.0,1998.0,9.4,1,22,10,45.5,2.34,1.06,0.05,0.1,0,0
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27.0,1997.0,11.2,4,46,15,32.6,4.09,1.33,0.09,0.27,0,0
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,DF,22.0,2002.0,12.2,0,5,0,0.0,0.41,0.0,0.0,,0,0
ESP-La Liga,2425,Athletic Club,Adu Ares,ESP,MF,22.0,2001.0,0.2,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,MF,18.0,2005.0,0.6,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,24.0,2000.0,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,0,0
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20.0,2003.0,3.6,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,34.0,1989.0,3.0,0,8,4,50.0,2.64,1.32,0.0,0.0,0,1
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,27.0,1996.0,16.5,0,2,1,50.0,0.12,0.06,0.0,0.0,0,0
ESP-La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,23.0,2001.0,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,0,0
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25.0,1999.0,29.0,4,19,5,26.3,0.66,0.17,0.21,0.8,0,0
ESP-La Liga,2425,Athletic Club,Endika Buján,ESP,FW,21.0,2003.0,0.1,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,27.0,1996.0,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,0,0
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,"MF,FW",30.0,1994.0,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,0,0
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,31.0,1993.0,8.6,0,2,0,0.0,0.23,0.0,0.0,,0,0
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30.0,1993.0,16.4,0,11,1,9.1,0.67,0.06,0.0,0.0,0,0
ESP-La Liga,2425,Athletic Club,Javi Martón,ESP,FW,25.0,1999.0,0.6,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23.0,2000.0,13.4,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,MAR,FW,23.0,2001.0,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,0,0
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,20.0,2003.0,24.9,2,21,8,38.1,0.84,0.32,0.1,0.25,0,0
ESP-La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,31.0,1993.0,11.0,0,6,3,50.0,0.55,0.27,0.0,0.0,0,1
ESP-La Liga,2425,Athletic Club,Nico Williams,ESP,MF,22.0,2002.0,22.2,5,54,19,35.2,2.43,0.86,0.09,0.26,0,0
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,ESP,MF,21.0,2003.0,1.2,0,5,1,20.0,4.02,0.8,0.0,0.0,0,0
ESP-La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,24.0,2000.0,18.0,15,50,20,40.0,2.78,1.11,0.24,0.6,3,3
ESP-La Liga,2425,Athletic Club,Peio Canales,ESP,MF,19.0,2005.0,2.9,0,3,0,0.0,1.04,0.0,0.0,,0,0
ESP-La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21.0,2003.0,14.3,1,19,4,21.1,1.33,0.28,0.05,0.25,0,0
ESP-La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,27.0,1997.0,7.2,0,1,0,0.0,0.14,0.0,0.0,,0,0
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27.0,1997.0,21.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,29.0,1995.0,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,0,0
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,34.0,1990.0,22.7,0,16,4,25.0,0.7,0.18,0.0,0.0,0,0
ESP-La Liga,2425,Athletic Club,Álex Berenguer,ESP,"MF,FW",29.0,1995.0,26.0,6,52,19,36.5,2.0,0.73,0.12,0.32,0,1
ESP-La Liga,2425,Athletic Club,Álvaro djaló,GNB,"MF,FW",24.0,1999.0,7.3,1,15,3,20.0,2.05,0.41,0.07,0.33,0,0
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,35.0,1989.0,17.4,0,8,2,25.0,0.46,0.12,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20.0,2004.0,0.1,0,2,0,0.0,15.0,0.0,0.0,,0,0
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,28.0,1995.0,17.4,20,79,42,53.2,4.54,2.41,0.24,0.45,1,1
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",33.0,1991.0,27.4,8,50,18,36.0,1.82,0.66,0.14,0.39,1,2
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,35.0,1989.0,9.5,0,1,0,0.0,0.11,0.0,0.0,,0,0
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29.0,1995.0,21.9,2,10,4,40.0,0.46,0.18,0.2,0.5,0,0
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,24.0,2000.0,18.1,3,22,4,18.2,1.21,0.22,0.14,0.75,0,0
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,34.0,1989.0,9.7,1,5,2,40.0,0.51,0.21,0.2,0.5,0,0
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,21.0,2002.0,21.4,2,22,7,31.8,1.03,0.33,0.09,0.29,0,0
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31.0,1993.0,36.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,29.0,1994.0,19.8,0,9,0,0.0,0.45,0.0,0.0,,0,0
ESP-La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,29.0,1995.0,22.2,0,5,1,20.0,0.23,0.05,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30.0,1994.0,2.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,24.0,2000.0,27.9,17,73,40,54.8,2.62,1.43,0.18,0.33,4,4
ESP-La Liga,2425,Atlético Madrid,Koke,ESP,MF,32.0,1992.0,21.4,1,11,4,36.4,0.51,0.19,0.09,0.25,0,0
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",29.0,1995.0,27.9,2,16,5,31.3,0.57,0.18,0.13,0.4,0,0
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,26.0,1998.0,17.7,0,9,1,11.1,0.51,0.06,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21.0,2003.0,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,0,0
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,"DF,MF",30.0,1994.0,10.5,0,1,1,100.0,0.1,0.1,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,27.0,1996.0,23.9,1,11,3,27.3,0.46,0.13,0.09,0.33,0,0
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,30.0,1994.0,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,0,0
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",24.0,2000.0,5.7,0,14,4,28.6,2.44,0.7,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,BRA,MF,24.0,1999.0,17.2,3,45,18,40.0,2.61,1.04,0.07,0.17,0,0
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,28.0,1995.0,0.9,0,2,1,50.0,2.12,1.06,0.0,0.0,0,0
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,ARG,FW,29.0,1995.0,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,0,0
ESP-La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,20.0,2003.0,25.4,0,12,3,25.0,0.47,0.12,0.0,0.0,0,0
ESP-La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,28.0,1996.0,2.8,0,1,0,0.0,0.35,0.0,0.0,,0,0
ESP-La Liga,2425,Barcelona,Ansu Fati,ESP,MF,21.0,2002.0,2.6,0,12,5,41.7,4.64,1.93,0.0,0.0,0,0
ESP-La Liga,2425,Barcelona,Dani Olmo,ESP,MF,26.0,1998.0,13.5,10,42,17,40.5,3.12,1.26,0.19,0.47,2,2
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,ESP,MF,18.0,2005.0,0.4,0,2,0,0.0,4.86,0.0,0.0,,0,0
ESP-La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",23.0,2001.0,17.4,2,14,8,57.1,0.8,0.46,0.14,0.25,0,0
ESP-La Liga,2425,Barcelona,Fermin López,ESP,MF,21.0,2003.0,13.9,6,41,16,39.0,2.95,1.15,0.15,0.38,0,0
ESP-La Liga,2425,Barcelona,Ferran Torres,ESP,"FW,MF",24.0,2000.0,12.3,10,48,22,45.8,3.91,1.79,0.21,0.45,0,0
ESP-La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,27.0,1997.0,12.7,2,5,3,60.0,0.39,0.24,0.4,0.67,0,0
ESP-La Liga,2425,Barcelona,Gavi,ESP,MF,19.0,2004.0,12.1,1,11,1,9.1,0.91,0.08,0.09,1.0,0,0
ESP-La Liga,2425,Barcelona,Gerard Martín,ESP,DF,22.0,2002.0,11.5,1,7,2,28.6,0.61,0.17,0.14,0.5,0,0
ESP-La Liga,2425,Barcelona,Héctor Fort,ESP,DF,17.0,2006.0,6.5,0,6,1,16.7,0.92,0.15,0.0,0.0,0,0
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25.0,1999.0,15.5,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,33.0,1991.0,27.7,0,13,2,15.4,0.47,0.07,0.0,0.0,0,0
ESP-La Liga,2425,Barcelona,Jules Koundé,FRA,DF,25.0,1998.0,28.9,2,18,6,33.3,0.62,0.21,0.11,0.33,0,0
ESP-La Liga,2425,Barcelona,Lamine Yamal,ESP,"MF,FW",17.0,2007.0,31.7,9,144,47,32.6,4.54,1.48,0.06,0.19,0,0
ESP-La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17.0,2007.0,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,0,0
ESP-La Liga,2425,Barcelona,Marc Casado,ESP,MF,20.0,2003.0,17.9,1,14,1,7.1,0.78,0.06,0.07,1.0,0,0
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32.0,1992.0,7.5,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Barcelona,Pablo Torre,ESP,MF,21.0,2003.0,3.4,3,6,4,66.7,1.74,1.16,0.5,0.75,0,0
ESP-La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,17.0,2007.0,29.1,0,8,0,0.0,0.28,0.0,0.0,,0,0
ESP-La Liga,2425,Barcelona,Pau Victor,ESP,FW,22.0,2001.0,3.5,2,14,8,57.1,3.95,2.26,0.14,0.25,0,0
ESP-La Liga,2425,Barcelona,Pedri,ESP,MF,21.0,2002.0,32.0,4,24,11,45.8,0.75,0.34,0.17,0.36,0,0
ESP-La Liga,2425,Barcelona,Raphinha,BRA,"MF,FW",27.0,1996.0,31.5,18,114,43,37.7,3.61,1.36,0.14,0.37,2,2
ESP-La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,35.0,1988.0,29.6,27,115,48,41.7,3.88,1.62,0.21,0.5,3,4
ESP-La Liga,2425,Barcelona,Ronald Araújo,URU,DF,25.0,1999.0,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,0,0
ESP-La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,19.0,2005.0,1.9,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34.0,1990.0,15.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",25.0,1999.0,15.2,5,45,21,46.7,2.95,1.38,0.11,0.24,0,0
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,24.0,1999.0,7.8,3,17,9,52.9,2.19,1.16,0.18,0.33,0,0
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,31.0,1993.0,21.7,11,46,28,60.9,2.12,1.29,0.24,0.39,0,0
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29.0,1995.0,25.2,1,5,1,20.0,0.2,0.04,0.2,1.0,0,0
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,23.0,2001.0,13.1,0,3,1,33.3,0.23,0.08,0.0,0.0,0,0
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,21.0,2003.0,10.3,0,4,0,0.0,0.39,0.0,0.0,,0,0
ESP-La Liga,2425,Celta Vigo,Fer López,ESP,"FW,MF",20.0,2004.0,7.5,2,20,6,30.0,2.68,0.8,0.1,0.33,0,0
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,25.0,1999.0,26.9,2,23,4,17.4,0.86,0.15,0.09,0.5,0,0
ESP-La Liga,2425,Celta Vigo,Franco Cervi,ARG,"MF,FW",30.0,1994.0,3.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,20.0,2003.0,13.9,0,4,0,0.0,0.29,0.0,0.0,,0,0
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,MF,21.0,2003.0,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,0,0
ESP-La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",36.0,1987.0,19.4,10,52,24,46.2,2.68,1.24,0.1,0.21,5,6
ESP-La Liga,2425,Celta Vigo,Iker Losada,ESP,"MF,FW",22.0,2001.0,4.0,1,3,2,66.7,0.75,0.5,0.33,0.5,0,0
ESP-La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,21.0,2003.0,23.7,1,34,12,35.3,1.44,0.51,0.03,0.08,0,0
ESP-La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27.0,1997.0,4.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,DF,28.0,1995.0,6.8,0,4,2,50.0,0.59,0.29,0.0,0.0,0,0
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21.0,2003.0,27.9,3,12,5,41.7,0.43,0.18,0.25,0.6,0,0
ESP-La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,30.0,1994.0,5.7,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",28.0,1996.0,9.0,0,13,6,46.2,1.44,0.67,0.0,0.0,0,0
ESP-La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,28.0,1995.0,0.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,26.0,1998.0,0.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,33.0,1990.0,29.4,3,34,13,38.2,1.16,0.44,0.0,0.0,3,3
ESP-La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"MF,DF",28.0,1995.0,4.8,0,2,0,0.0,0.42,0.0,0.0,,0,0
ESP-La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23.0,2001.0,15.5,4,26,10,38.5,1.68,0.65,0.15,0.4,0,0
ESP-La Liga,2425,Celta Vigo,Sergio Carreira,ESP,MF,23.0,2000.0,18.4,0,13,3,23.1,0.71,0.16,0.0,0.0,0,0
ESP-La Liga,2425,Celta Vigo,Tadeo Allende,ARG,"FW,MF",25.0,1999.0,0.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,37.0,1987.0,34.0,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",20.0,2004.0,15.0,4,32,15,46.9,2.14,1.0,0.13,0.27,0,0
ESP-La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,20.0,2004.0,6.5,0,0,0,,0.0,0.0,,,0,0
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",25.0,1999.0,30.3,4,33,10,30.3,1.09,0.33,0.12,0.4,0,0
ESP-La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,20.0,2003.0,12.5,1,19,6,31.6,1.52,0.48,0.05,0.17,0,0
ESP-La Liga,2425,Espanyol,Alex Král,CZE,MF,26.0,1998.0,30.2,0,21,2,9.5,0.7,0.07,0.0,0.0,0,0
ESP-La Liga,2425,Espanyol,Antoniu,ESP,MF,21.0,2002.0,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,0,0
ESP-La Liga,2425,Espanyol,Brian Oliván,ESP,DF,30.0,1994.0,11.3,0,6,1,16.7,0.53,0.09,0.0,0.0,0,0
ESP-La Liga,2425,Espanyol,Carlos Romero,ESP,"DF,MF",22.0,2001.0,28.4,2,29,6,20.7,1.02,0.21,0.07,0.33,0,0
ESP-La Liga,2425,Espanyol,Edu Expósito,ESP,MF,27.0,1996.0,11.6,0,18,6,33.3,1.55,0.52,0.0,0.0,0,0
ESP-La Liga,2425,Espanyol,Fernando Calero,ESP,DF,28.0,1995.0,7.9,1,2,1,50.0,0.25,0.13,0.5,1.0,0,0
