league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,31.0,1992.0,5,5,450,5.0,3,0.6,16,13,81.3,2.0,3.0,0.0,3,60.0,0,0,0,0,,
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27.0,1997.0,33,33,2970,33.0,32,0.97,99,71,67.7,16.0,13.0,4.0,14,42.4,5,5,0,0,0.0,
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,22.0,2001.0,9,9,810,9.0,7,0.78,27,20,74.1,3.0,5.0,1.0,4,44.4,0,0,0,0,,
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,30.0,1994.0,29,29,2610,29.0,42,1.45,95,53,55.8,15.0,6.0,8.0,5,17.2,4,4,0,0,0.0,
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,29.0,1995.0,38,38,3420,38.0,58,1.53,177,127,67.2,8.0,10.0,20.0,9,23.7,10,8,1,1,11.1,
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,32.0,1992.0,2,1,126,1.4,2,1.43,6,4,66.7,1.0,0.0,0.0,1,100.0,0,0,0,0,,
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29.0,1995.0,37,37,3294,36.6,41,1.12,139,98,70.5,17.0,9.0,11.0,13,35.1,2,1,1,0,50.0,
ITA-Serie A,2425,Monza,Andrea Mazza,ITA,GK,20.0,2004.0,1,0,8,0.1,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22.0,2001.0,9,8,736,8.2,17,2.08,40,23,57.5,1.0,2.0,5.0,1,12.5,0,0,0,0,,
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22.0,2001.0,30,30,2676,29.7,52,1.75,145,93,64.1,2.0,7.0,21.0,2,6.7,4,2,2,0,50.0,
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27.0,1997.0,34,34,3005,33.4,25,0.75,84,59,70.2,21.0,9.0,4.0,17,50.0,4,1,2,1,66.7,
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22.0,2001.0,4,3,325,3.6,1,0.28,8,7,87.5,3.0,0.0,0.0,3,100.0,0,0,0,0,,
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28.0,1996.0,1,1,90,1.0,1,1.0,4,3,75.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,
