,,,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
league,season,team,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Netherlands,1,4,4,390,4.3,5,1.15,21,16,76.2,2,1,1,0,0.0,0,0,0,0,,/en/squads/5bb5024a/Netherlands-Men-Stats
INT-World Cup,2026,New Zealand,1,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,,/en/squads/259855f0/New-Zealand-Men-Stats
INT-World Cup,2026,Norway,2,6,6,570,6.3,11,1.74,31,20,64.5,4,0,2,0,0.0,2,1,1,0,50.0,/en/squads/599eba19/Norway-Men-Stats
INT-World Cup,2026,Panama,1,3,3,270,3.0,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,0,,/en/squads/6061a82d/Panama-Men-Stats
INT-World Cup,2026,Paraguay,1,5,5,480,5.3,6,1.13,29,23,79.3,2,1,2,2,40.0,1,1,0,0,0.0,/en/squads/d2043442/Paraguay-Men-Stats
INT-World Cup,2026,Portugal,1,5,5,450,5.0,3,0.6,22,19,86.4,2,2,1,2,40.0,0,0,0,0,,/en/squads/4a1b4ea8/Portugal-Men-Stats
INT-World Cup,2026,Qatar,1,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,/en/squads/9b696ed1/Qatar-Men-Stats
INT-World Cup,2026,Saudi Arabia,1,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,,/en/squads/6e84edac/Saudi-Arabia-Men-Stats
INT-World Cup,2026,Scotland,1,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,,/en/squads/602d3994/Scotland-Men-Stats
INT-World Cup,2026,Senegal,2,4,4,390,4.3,9,2.08,21,12,57.1,1,0,3,1,25.0,1,1,0,0,0.0,/en/squads/9ab5c684/Senegal-Men-Stats
INT-World Cup,2026,South Africa,1,4,4,360,4.0,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,/en/squads/506f1741/South-Africa-Men-Stats
INT-World Cup,2026,Spain,1,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,,/en/squads/b561dd30/Spain-Men-Stats
INT-World Cup,2026,Sweden,2,4,4,360,4.0,10,2.5,24,14,58.3,1,1,2,0,0.0,0,0,0,0,,/en/squads/296f69e7/Sweden-Men-Stats
INT-World Cup,2026,Switzerland,1,6,6,600,6.7,6,0.9,26,20,76.9,4,1,1,2,33.3,0,0,0,0,,/en/squads/81021a70/Switzerland-Men-Stats
INT-World Cup,2026,Tunisia,2,3,3,270,3.0,12,4.0,18,6,33.3,0,0,3,0,0.0,0,0,0,0,,/en/squads/a7c7562a/Tunisia-Men-Stats
INT-World Cup,2026,Türkiye,1,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,,/en/squads/ac6bcf92/Turkiye-Men-Stats
INT-World Cup,2026,USA,2,5,5,450,5.0,8,1.6,16,8,50.0,3,0,2,2,40.0,0,0,0,0,,/en/squads/0f66725b/United-States-Men-Stats
INT-World Cup,2026,Uruguay,2,3,3,270,3.0,4,1.33,8,4,50.0,0,2,1,0,0.0,0,0,0,0,,/en/squads/870e020f/Uruguay-Men-Stats
INT-World Cup,2026,Uzbekistan,2,3,3,270,3.0,11,3.67,17,6,35.3,0,0,3,0,0.0,1,1,0,0,0.0,/en/squads/cd389e75/Uzbekistan-Men-Stats
