,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
league,season,team,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Mexico,25,27.6,52.2,5,55,450,5.0,10,7,17,9,1,1,4,1,2.0,1.4,3.4,1.8,3.2,/en/squads/b009a548/Mexico-Men-Stats
INT-World Cup,2026,Morocco,23,26.0,59.0,6,66,570,6.3,10,9,19,10,0,0,7,0,1.58,1.42,3.0,1.58,3.0,/en/squads/af41ccda/Morocco-Men-Stats
INT-World Cup,2026,Netherlands,22,27.2,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62,/en/squads/5bb5024a/Netherlands-Men-Stats
INT-World Cup,2026,New Zealand,17,28.1,47.0,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.0,2.33,1.33,2.33,/en/squads/259855f0/New-Zealand-Men-Stats
INT-World Cup,2026,Norway,25,27.1,52.2,6,66,570,6.3,12,10,22,12,0,1,3,0,1.89,1.58,3.47,1.89,3.47,/en/squads/599eba19/Norway-Men-Stats
INT-World Cup,2026,Panama,20,28.8,45.7,3,33,270,3.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,/en/squads/6061a82d/Panama-Men-Stats
INT-World Cup,2026,Paraguay,24,28.0,30.0,5,55,480,5.3,3,3,6,3,0,0,9,1,0.56,0.56,1.13,0.56,1.13,/en/squads/d2043442/Paraguay-Men-Stats
INT-World Cup,2026,Portugal,22,27.7,58.4,5,55,450,5.0,7,4,11,6,1,1,7,0,1.4,0.8,2.2,1.2,2.0,/en/squads/4a1b4ea8/Portugal-Men-Stats
INT-World Cup,2026,Qatar,22,29.7,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,/en/squads/9b696ed1/Qatar-Men-Stats
INT-World Cup,2026,Saudi Arabia,18,28.6,38.3,3,33,270,3.0,1,0,1,1,0,0,6,0,0.33,0.0,0.33,0.33,0.33,/en/squads/6e84edac/Saudi-Arabia-Men-Stats
INT-World Cup,2026,Scotland,20,29.1,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.0,0.33,0.33,0.33,/en/squads/602d3994/Scotland-Men-Stats
INT-World Cup,2026,Senegal,22,28.5,55.3,4,44,390,4.3,10,9,19,10,0,0,3,0,2.31,2.08,4.38,2.31,4.38,/en/squads/9ab5c684/Senegal-Men-Stats
INT-World Cup,2026,South Africa,19,26.7,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.5,0.25,0.75,0.25,0.5,/en/squads/506f1741/South-Africa-Men-Stats
INT-World Cup,2026,Spain,22,26.3,64.1,8,88,750,8.3,13,10,23,12,1,1,6,0,1.56,1.2,2.76,1.44,2.64,/en/squads/b561dd30/Spain-Men-Stats
INT-World Cup,2026,Sweden,22,26.7,46.3,4,44,360,4.0,7,6,13,7,0,0,5,0,1.75,1.5,3.25,1.75,3.25,/en/squads/296f69e7/Sweden-Men-Stats
INT-World Cup,2026,Switzerland,23,29.4,54.0,6,66,600,6.7,10,6,16,8,2,2,8,1,1.5,0.9,2.4,1.2,2.1,/en/squads/81021a70/Switzerland-Men-Stats
INT-World Cup,2026,Tunisia,20,27.4,39.3,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,/en/squads/a7c7562a/Tunisia-Men-Stats
INT-World Cup,2026,Türkiye,23,26.6,66.3,3,33,270,3.0,3,3,6,3,0,0,2,0,1.0,1.0,2.0,1.0,2.0,/en/squads/ac6bcf92/Turkiye-Men-Stats
INT-World Cup,2026,USA,24,26.7,56.8,5,55,450,5.0,9,4,13,9,0,0,7,1,1.8,0.8,2.6,1.8,2.6,/en/squads/0f66725b/United-States-Men-Stats
INT-World Cup,2026,Uruguay,17,28.6,55.0,3,33,270,3.0,3,1,4,3,0,0,5,1,1.0,0.33,1.33,1.0,1.33,/en/squads/870e020f/Uruguay-Men-Stats
INT-World Cup,2026,Uzbekistan,23,26.9,38.3,3,33,270,3.0,2,1,3,2,0,0,4,0,0.67,0.33,1.0,0.67,1.0,/en/squads/cd389e75/Uzbekistan-Men-Stats
