league,season,team,player,nation,pos,age,born,90s,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,a_xag,kp,1_3,ppa,crspa
INT-World Cup,2026,Australia,Ajdin Hrustic,Australia,MF,29,1996,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Alessandro Circati,Australia,DF,22,2003,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Awer Mabil,Australia,"FW,MF",30,1995,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Aziz Behich,Australia,MF,35,1990,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Cameron Burgess,Australia,DF,30,1995,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Connor Metcalfe,Australia,MF,26,1999,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Cristian Volpato,Australia,MF,22,2003,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Harry Souttar,Australia,DF,27,1998,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Jackson Irvine,Australia,MF,33,1993,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Jacob Italiano,Australia,DF,24,2001,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Jason Geria,Australia,DF,33,1993,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Jordy Bos,Australia,"MF,DF",23,2002,3.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Kai Trewin,Australia,"DF,MF",25,2001,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Lucas Herrington,Australia,DF,18,2007,2.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Mathew Leckie,Australia,MF,35,1991,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Mathew Ryan,Australia,GK,34,1992,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Mo Touré,Australia,FW,22,2004,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Nestory Irankunda,Australia,"FW,MF",20,2006,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Nishan Velupillay,Australia,MF,25,2001,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Patrick Beach,Australia,GK,22,2003,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Australia,Paul Okon-Engstler,Australia,MF,21,2005,2.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Australia,Tete Yengi,Australia,FW,25,2000,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Alexander Prass,Austria,"DF,MF",25,2001,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Alexander Schlager,Austria,GK,30,1996,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Carney Chukwuemeka,Austria,MF,22,2003,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,David Alaba,Austria,DF,33,1992,3.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Austria,Florian Grillitsch,Austria,"DF,MF",30,1995,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Kevin Danso,Austria,DF,27,1998,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Konrad Laimer,Austria,"MF,DF",29,1997,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Austria,Marcel Sabitzer,Austria,MF,32,1994,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Marco Friedl,Austria,DF,28,1998,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Marko Arnautović,Austria,FW,37,1989,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Michael Gregoritsch,Austria,FW,32,1994,2.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Austria,Nicolas Seiwald,Austria,MF,25,2001,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Patrick Wimmer,Austria,"FW,MF",25,2001,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Paul Wanner,Austria,MF,20,2005,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Philipp Lienhart,Austria,DF,29,1996,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Phillipp Mwene,Austria,DF,32,1994,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Romano Schmid,Austria,"MF,FW",26,2000,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Saša Kalajdžić,Austria,FW,28,1997,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Stefan Posch,Austria,DF,29,1997,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Austria,Xaver Schlager,Austria,MF,28,1997,2.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Belgium,Alexis Saelemaekers,Belgium,MF,26,1999,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Amadou Onana,Belgium,MF,24,2001,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Arthur Theate,Belgium,DF,26,2000,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Axel Witsel,Belgium,"DF,MF",37,1989,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Brandon Mechele,Belgium,DF,33,1993,6.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Charles De Ketelaere,Belgium,"FW,MF",25,2001,3.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Belgium,Diego Moreira,Belgium,MF,21,2004,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Dodi Lukebakio,Belgium,MF,28,1997,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Hans Vanaken,Belgium,MF,33,1992,3.5,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Belgium,Jeremy Doku,Belgium,MF,24,2002,3.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Joaquin Seys,Belgium,DF,21,2005,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Kevin De Bruyne,Belgium,MF,34,1991,4.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Leandro Trossard,Belgium,"MF,FW",31,1994,5.6,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Belgium,Matias Fernandez-Pardo,Belgium,"FW,MF",21,2005,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Maxim De Cuyper,Belgium,DF,25,2000,4.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Nathan Ngoy,Belgium,DF,23,2003,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Nicolas Raskin,Belgium,MF,25,2001,3.8,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Belgium,Romelu Lukaku,Belgium,FW,33,1993,2.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Belgium,Senne Lammens,Belgium,GK,23,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Thibaut Courtois,Belgium,GK,34,1992,6.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Belgium,Thomas Meunier,Belgium,DF,34,1991,2.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Belgium,Timothy Castagne,Belgium,DF,30,1995,5.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Belgium,Youri Tielemans,Belgium,MF,29,1997,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Amar Dedić,Bosnia–Herz,DF,23,2002,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Amar Memić,Bosnia–Herz,MF,25,2001,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Amir Hadžiahmetović,Bosnia–Herz,MF,29,1997,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Arjan Malic,Bosnia–Herz,DF,20,2005,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Armin Gigovic,Bosnia–Herz,MF,24,2002,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Benjamin Tahirovic,Bosnia–Herz,MF,23,2003,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Dennis Hadžikadunić,Bosnia–Herz,DF,27,1998,0.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Bosnia–Herz,Dženis Burnić,Bosnia–Herz,MF,28,1998,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Edin Džeko,Bosnia–Herz,FW,40,1986,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Ermedin Demirović,Bosnia–Herz,FW,28,1998,3.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Ermin Mahmić,Bosnia–Herz,MF,21,2005,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Esmir Bajraktarevic,Bosnia–Herz,MF,21,2005,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Haris Tabaković,Bosnia–Herz,FW,31,1994,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Ivan Bašić,Bosnia–Herz,MF,24,2002,2.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Bosnia–Herz,Ivan Šunjić,Bosnia–Herz,MF,29,1996,2.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Jovo Lukić,Bosnia–Herz,FW,27,1998,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Kerim Alajbegović,Bosnia–Herz,MF,18,2007,3.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Nikola Katić,Bosnia–Herz,DF,29,1996,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Nikola Vasilj,Bosnia–Herz,GK,30,1995,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Samed Baždar,Bosnia–Herz,FW,22,2004,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Sead Kolašinac,Bosnia–Herz,DF,32,1993,3.7,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Bosnia–Herz,Stjepan Radeljić,Bosnia–Herz,DF,28,1997,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Bosnia–Herz,Tarik Muharemovic,Bosnia–Herz,DF,23,2003,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Alex Sandro,Brazil,"DF,MF",35,1991,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Alisson,Brazil,GK,33,1992,5.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Bruno Guimarães,Brazil,MF,28,1997,4.6,,,,,,,,,,,,,,,4,,,,,
INT-World Cup,2026,Brazil,Casemiro,Brazil,MF,34,1992,4.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Danilo,Brazil,DF,34,1991,4.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Danilo Santos,Brazil,MF,25,2001,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Douglas Santos,Brazil,DF,32,1994,4.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Endrick,Brazil,FW,19,2006,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Fabinho,Brazil,"DF,MF",32,1993,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Gabriel Magalhães,Brazil,DF,28,1997,5.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Brazil,Gabriel Martinelli,Brazil,MF,24,2001,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Igor Thiago,Brazil,FW,24,2001,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Lucas Paquetá,Brazil,MF,28,1997,2.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Brazil,Luiz Henrique,Brazil,"FW,MF",25,2001,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Marquinhos,Brazil,DF,32,1994,5.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Matheus Cunha,Brazil,FW,27,1999,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Neymar,Brazil,"FW,MF",34,1992,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Raphinha,Brazil,"MF,FW",29,1996,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Rayan,Brazil,"FW,MF",19,2006,3.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Brazil,Roger Ibanez,Brazil,DF,27,1998,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Brazil,Vinicius Júnior,Brazil,FW,25,2000,4.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Brazil,Éderson Silva,Brazil,MF,26,1999,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Dailon Livramento,Cabo Verde,FW,25,2001,1.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Deroy Duarte,Cabo Verde,MF,26,1999,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Diney,Cabo Verde,DF,31,1995,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Garry Rodrigues,Cabo Verde,MF,35,1990,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Gilson Benchimol,Cabo Verde,FW,24,2001,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Hélio Varela,Cabo Verde,FW,24,2002,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Jamiro Monteiro,Cabo Verde,MF,32,1993,3.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Jovane Cabral,Cabo Verde,FW,28,1998,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,João Paulo Fernandes,Cabo Verde,DF,28,1998,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Kevin Pina,Cabo Verde,MF,29,1997,3.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Laros Duarte,Cabo Verde,MF,29,1997,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Nuno da Costa,Cabo Verde,FW,35,1991,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Pico,Cabo Verde,DF,33,1992,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Ryan Mendes,Cabo Verde,"FW,MF",36,1990,3.7,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Cabo Verde,Sidny Lopes Cabral,Cabo Verde,DF,23,2002,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Steven Moreira,Cabo Verde,DF,31,1994,3.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Telmo Arcanjo,Cabo Verde,MF,24,2001,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Vozinha,Cabo Verde,GK,40,1986,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Wagner Pina,Cabo Verde,DF,23,2002,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Willy Semedo,Cabo Verde,FW,32,1994,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Cabo Verde,Yannick,Cabo Verde,MF,30,1995,0.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Canada,Ali Ahmed,Canada,MF,25,2000,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Alistair Johnston,Canada,DF,27,1998,5.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Alphonso Davies,Canada,"DF,FW",25,2000,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Cyle Larin,Canada,FW,31,1995,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Derek Cornelius,Canada,DF,28,1997,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Ismaël Koné,Canada,MF,23,2002,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Jacob Shaffelburg,Canada,MF,26,1999,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Jayden Nelson,Canada,"FW,MF",23,2002,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Jonathan David,Canada,FW,26,2000,4.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Jonathan Osorio,Canada,MF,34,1992,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Liam Millar,Canada,MF,26,1999,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Luc De Fougerolles,Canada,DF,20,2005,4.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Mathieu Choinière,Canada,MF,27,1999,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Maxime Crépeau,Canada,GK,32,1994,5.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Moïse Bombito,Canada,DF,26,2000,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Nathan Saliba,Canada,MF,22,2004,2.0,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Canada,Niko Sigur,Canada,MF,22,2003,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Promise David,Canada,FW,24,2001,0.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Canada,Richie Laryea,Canada,DF,31,1995,4.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Stephen Eustáquio,Canada,MF,29,1996,4.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Tajon Buchanan,Canada,MF,27,1999,4.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Canada,Tani Oluwaseyi,Canada,FW,26,2000,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Andrés Gómez,Colombia,MF,23,2002,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Camilo Vargas,Colombia,GK,37,1989,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Cucho,Colombia,"FW,MF",27,1999,0.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Colombia,Daniel Muñoz,Colombia,DF,30,1996,4.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Davinson Sánchez,Colombia,DF,30,1996,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Deiver Machado,Colombia,DF,32,1993,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Gustavo Puerta,Colombia,MF,22,2003,5.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Colombia,James Rodríguez,Colombia,"FW,MF",34,1991,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Jaminton Campaz,Colombia,"FW,MF",26,2000,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Jefferson Lerma,Colombia,MF,31,1994,4.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Jhon Arias,Colombia,MF,28,1997,4.2,,,,,,,,,,,,,,,0,,,,,
