league,season,team,player,nation,pos,age,born,90s,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,a_xag,kp,1_3,ppa,crspa
INT-World Cup,2026,Colombia,Jhon Córdoba,Colombia,FW,33,1993,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Jhon Lucumí,Colombia,DF,27,1998,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Johan Mojica,Colombia,DF,33,1992,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Juan Quintero,Colombia,"FW,MF",33,1993,1.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Colombia,Kevin Castaño,Colombia,MF,25,2000,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Luis Díaz,Colombia,"FW,MF",29,1997,5.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Colombia,Luis Suárez,Colombia,FW,28,1997,3.7,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Colombia,Richard Ríos,Colombia,MF,26,2000,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Santiago Arias,Colombia,DF,34,1992,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Colombia,Yerry Mina,Colombia,DF,31,1994,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Aaron Wan-Bissaka,Congo DR,DF,28,1997,3.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Arthur Masuaku,Congo DR,DF,32,1993,3.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Congo DR,Axel Tuanzebe,Congo DR,DF,28,1997,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Brian Cipenga,Congo DR,"MF,FW",28,1998,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Chancel Mbemba,Congo DR,DF,31,1994,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Congo DR,Charles Pickel,Congo DR,"DF,MF",29,1997,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Cédric Bakambu,Congo DR,FW,35,1991,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Edo Kayembe,Congo DR,MF,28,1998,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Fiston Mayele,Congo DR,FW,31,1994,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Gédéon Kalulu,Congo DR,DF,28,1997,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Joris Kayembe,Congo DR,"DF,FW",31,1994,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Lionel Mpasi,Congo DR,GK,31,1994,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Meschak Elia,Congo DR,"FW,MF",28,1997,0.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Congo DR,Nathanaël Mbuku,Congo DR,"MF,FW",24,2002,1.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Ngal'Ayel Mukau,Congo DR,MF,21,2004,2.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Noah Sadiki,Congo DR,MF,21,2004,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Samuel Moutoussamy,Congo DR,MF,29,1996,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Simon Banza,Congo DR,"FW,MF",29,1996,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Steve Kapuadi,Congo DR,DF,28,1998,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Theo Bongonda,Congo DR,"FW,MF",30,1995,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Congo DR,Yoane Wissa,Congo DR,FW,29,1996,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Andrej Kramarić,Croatia,"FW,MF",34,1991,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Ante Budimir,Croatia,FW,34,1991,1.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Dominik Livaković,Croatia,GK,31,1995,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Igor Matanović,Croatia,FW,23,2003,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Ivan Perišić,Croatia,"MF,DF",37,1989,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Croatia,Josip Stanišić,Croatia,"DF,MF",26,2000,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Croatia,Josip Šutalo,Croatia,DF,26,2000,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Joško Gvardiol,Croatia,DF,24,2002,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Luka Modrić,Croatia,MF,40,1985,3.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Croatia,Luka Sučić,Croatia,"FW,MF",23,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Luka Vušković,Croatia,DF,19,2007,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Marco Pašalić,Croatia,MF,25,2000,1.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Marin Pongračić,Croatia,DF,28,1997,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Mario Pašalić,Croatia,MF,31,1995,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Martin Baturina,Croatia,"MF,FW",23,2003,3.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Mateo Kovačić,Croatia,MF,32,1994,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Croatia,Nikola Vlašić,Croatia,MF,28,1997,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Petar Musa,Croatia,FW,28,1998,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Croatia,Petar Sučić,Croatia,"MF,FW",22,2003,3.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Curaçao,Armando Obispo,Curaçao,DF,27,1999,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Brandley Kuwas,Curaçao,"FW,MF",33,1992,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Deveron Fonville,Curaçao,DF,23,2003,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Eloy Room,Curaçao,GK,37,1989,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Gervane Kastaneer,Curaçao,"FW,MF",30,1996,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Godfried Roemeratoe,Curaçao,MF,26,1999,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Jearl Margaritha,Curaçao,"FW,MF",26,2000,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Jeremy Antonisse,Curaçao,"FW,MF",24,2002,0.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Joshua Brenet,Curaçao,DF,32,1994,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Juninho Bacuna,Curaçao,MF,28,1997,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Juriën Gaari,Curaçao,DF,32,1993,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Jürgen Locadia,Curaçao,FW,32,1993,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Kenji Gorré,Curaçao,"FW,MF",31,1994,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Leandro Bacuna,Curaçao,MF,34,1991,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Livano Comenencia,Curaçao,MF,22,2004,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Riechedly Bazoer,Curaçao,DF,29,1996,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Roshon van Eijma,Curaçao,DF,28,1998,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Sherel Floranus,Curaçao,DF,27,1998,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Shurandy Sambo,Curaçao,DF,24,2001,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Sontje Hansen,Curaçao,FW,24,2002,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Tahith Chong,Curaçao,MF,26,1999,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Curaçao,Tyrese Noslin,Curaçao,MF,23,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Adam Hložek,Czechia,FW,23,2002,1.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Alexandr Sojka,Czechia,"MF,DF",23,2003,1.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Czechia,David Douděra,Czechia,MF,28,1998,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,David Zima,Czechia,DF,25,2000,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Denis Višinský,Czechia,FW,23,2003,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Jaroslav Zelený,Czechia,MF,33,1992,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Ladislav Krejčí,Czechia,DF,27,1999,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Lukáš Provod,Czechia,FW,29,1996,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Lukáš Červ,Czechia,MF,25,2001,1.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Matej Kovar,Czechia,GK,26,2000,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Michal Sadílek,Czechia,MF,27,1999,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Mojmír Chytil,Czechia,FW,27,1999,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Patrik Schick,Czechia,FW,30,1996,2.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Pavel Šulc,Czechia,FW,25,2000,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Robin Hranáč,Czechia,DF,26,2000,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Tomáš Chorý,Czechia,FW,31,1995,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Tomáš Holeš,Czechia,DF,33,1993,1.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Tomáš Souček,Czechia,MF,31,1995,1.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Vladimír Coufal,Czechia,"MF,DF",33,1992,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Czechia,Vladimír Darida,Czechia,MF,35,1990,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Czechia,Štěpán Chaloupek,Czechia,DF,23,2003,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Amad Diallo,Côte d'Ivoire,"MF,FW",23,2002,2.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Ange-Yoan Bonny,Côte d'Ivoire,FW,22,2003,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Bazoumana Touré,Côte d'Ivoire,MF,20,2006,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Christ Inao Oulaï,Côte d'Ivoire,MF,20,2006,2.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Christopher Opéri,Côte d'Ivoire,DF,29,1997,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Elye Wahi,Côte d'Ivoire,FW,23,2003,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Emmanuel Agbadou,Côte d'Ivoire,DF,28,1997,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Evann Guessand,Côte d'Ivoire,"FW,MF",24,2001,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Franck Kessié,Côte d'Ivoire,MF,29,1996,3.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Ghislain Konan,Côte d'Ivoire,DF,30,1995,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Guéla Doué,Côte d'Ivoire,DF,23,2002,3.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Ibrahim Sangaré,Côte d'Ivoire,MF,28,1997,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Côte d'Ivoire,Jean Seri,Côte d'Ivoire,MF,34,1991,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Nicolas Pépé,Côte d'Ivoire,FW,31,1995,2.6,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Côte d'Ivoire,Odilon Kossounou,Côte d'Ivoire,DF,25,2001,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Oumar Diakité,Côte d'Ivoire,FW,22,2003,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Ousmane Diomande,Côte d'Ivoire,DF,22,2003,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Seko Fofana,Côte d'Ivoire,MF,31,1995,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Simon Adingra,Côte d'Ivoire,"FW,MF",24,2002,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Wilfried Singo,Côte d'Ivoire,DF,25,2000,1.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Côte d'Ivoire,Yahia Fofana,Côte d'Ivoire,GK,25,2000,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Côte d'Ivoire,Yan Diomandé,Côte d'Ivoire,"MF,FW",19,2006,3.7,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Ecuador,Alan Franco,Ecuador,DF,27,1998,2.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Alan Minda,Ecuador,MF,23,2003,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Enner Valencia,Ecuador,FW,36,1989,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Félix Torres Caicedo,Ecuador,DF,29,1997,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Gonzalo Plata,Ecuador,FW,25,2000,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Hernán Galíndez,Ecuador,GK,39,1987,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Jackson Porozo,Ecuador,DF,25,2000,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Joel Ordóñez,Ecuador,DF,22,2004,2.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,John Yeboah,Ecuador,MF,25,2000,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Jordy Alcivar,Ecuador,MF,26,1999,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Jordy Caicedo,Ecuador,FW,28,1997,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Kendry Páez,Ecuador,MF,19,2007,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Kevin Rodríguez,Ecuador,FW,26,2000,1.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Ecuador,Moisés Caicedo,Ecuador,MF,24,2001,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Nilson Angulo,Ecuador,MF,22,2003,2.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Pedro Vite,Ecuador,MF,24,2002,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Ecuador,Pervis Estupiñán,Ecuador,MF,28,1998,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Piero Hincapié,Ecuador,DF,24,2002,3.8,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Willian Pacho,Ecuador,DF,24,2001,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Yaimar Medina,Ecuador,"DF,MF",21,2004,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Ecuador,Ángelo Preciado,Ecuador,"DF,MF",28,1998,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Ahmed Fatouh,Egypt,DF,28,1998,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Emam Ashour,Egypt,MF,28,1998,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Haissem Hassan,Egypt,MF,24,2002,1.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Hamdy Fathy,Egypt,"DF,MF",31,1994,2.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Hamza Abdelkarim,Egypt,FW,18,2008,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Hossam Abdelmaguid,Egypt,DF,25,2001,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Ibrahim Adel,Egypt,MF,25,2001,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Karim Hafez,Egypt,DF,30,1996,1.9,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Mahmoud Saber,Egypt,MF,24,2001,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Marwan Attia,Egypt,MF,27,1998,4.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Mohamed Abdelmonem,Egypt,DF,27,1999,0.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Mohamed Hany,Egypt,DF,30,1996,5.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Mohamed Salah,Egypt,"FW,MF",33,1992,4.7,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Egypt,Mohanad Lasheen,Egypt,MF,30,1996,4.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Mostafa Shobeir,Egypt,GK,26,2000,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Mostafa Ziko,Egypt,"FW,MF",29,1997,4.1,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Omar Marmoush,Egypt,"FW,MF",27,1999,3.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Ramy Rabia,Egypt,DF,33,1993,4.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Trézéguet,Egypt,MF,31,1994,1.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Egypt,Yasser Ibrahim,Egypt,DF,33,1993,5.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Egypt,Zizo,Egypt,MF,30,1996,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Anthony Gordon,England,MF,25,2001,4.4,,,,,,,,,,,,,,,3,,,,,
INT-World Cup,2026,England,Bukayo Saka,England,MF,24,2001,4.0,,,,,,,,,,,,,,,3,,,,,
INT-World Cup,2026,England,Dan Burn,England,DF,34,1992,0.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Dean Henderson,England,GK,29,1997,1.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Declan Rice,England,MF,27,1999,6.2,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,England,Djed Spence,England,DF,25,2000,4.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Eberechi Eze,England,MF,27,1998,2.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Elliot Anderson,England,MF,23,2002,7.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Ezri Konsa,England,DF,28,1997,7.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Harry Kane,England,FW,32,1993,7.2,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Ivan Toney,England,FW,30,1996,0.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Jarell Quansah,England,DF,23,2003,2.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,John Stones,England,DF,32,1994,3.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Jordan Henderson,England,MF,35,1990,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Jordan Pickford,England,GK,32,1994,7.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Jude Bellingham,England,MF,22,2003,6.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Marc Guéhi,England,DF,25,2000,7.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Marcus Rashford,England,MF,28,1997,2.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Morgan Rogers,England,MF,23,2002,3.8,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,England,Nico O'Reilly,England,DF,21,2005,5.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Noni Madueke,England,MF,24,2002,3.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Ollie Watkins,England,"FW,MF",30,1995,0.6,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Reece James,England,DF,26,1999,3.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,England,Trevoh Chalobah,England,"DF,MF",26,1999,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Adrien Rabiot,France,MF,31,1995,6.5,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,France,Aurélien Tchouaméni,France,MF,26,2000,4.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,France,Bradley Barcola,France,MF,23,2002,4.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,France,Dayot Upamecano,France,DF,27,1998,7.3,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,France,Désiré Doué,France,MF,21,2005,4.4,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,France,Ibrahima Konaté,France,DF,27,1999,0.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Jean-Philippe Mateta,France,FW,28,1997,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Jules Koundé,France,DF,27,1998,6.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Kylian Mbappé,France,FW,27,1998,7.7,,,,,,,,,,,,,,,4,,,,,
INT-World Cup,2026,France,Lucas Digne,France,DF,32,1993,5.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Maghnes Akliouche,France,MF,24,2002,0.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Malo Gusto,France,DF,23,2003,1.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Manu Koné,France,MF,25,2001,4.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Marcus Thuram,France,"FW,MF",28,1997,0.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Maxence Lacroix,France,DF,26,2000,2.7,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Michael Olise,France,MF,24,2001,7.2,,,,,,,,,,,,,,,7,,,,,
INT-World Cup,2026,France,Mike Maignan,France,GK,30,1995,8.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Ousmane Dembélé,France,MF,29,1997,6.6,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,France,Rayan Cherki,France,MF,22,2003,1.4,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Theo Hernández,France,DF,28,1997,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,Warren Zaïre-Emery,France,MF,20,2006,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,France,William Saliba,France,DF,25,2001,5.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Aleksandar Pavlovic,Germany,MF,22,2004,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Angelo Stiller,Germany,MF,25,2001,0.5,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Antonio Rüdiger,Germany,DF,33,1993,2.9,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,David Raum,Germany,DF,28,1998,1.2,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Deniz Undav,Germany,FW,29,1996,1.7,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Germany,Felix Nmecha,Germany,MF,25,2000,3.0,,,,,,,,,,,,,,,1,,,,,
INT-World Cup,2026,Germany,Florian Wirtz,Germany,MF,23,2003,4.0,,,,,,,,,,,,,,,3,,,,,
INT-World Cup,2026,Germany,Jamal Musiala,Germany,MF,23,2003,3.0,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Jamie Leweling,Germany,"FW,MF",25,2001,0.3,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Jonathan Tah,Germany,DF,30,1996,4.1,,,,,,,,,,,,,,,0,,,,,
INT-World Cup,2026,Germany,Joshua Kimmich,Germany,DF,31,1995,3.9,,,,,,,,,,,,,,,2,,,,,
INT-World Cup,2026,Germany,Kai Havertz,Germany,FW,27,1999,3.9,,,,,,,,,,,,,,,0,,,,,
