league,season,team,player,nation,pos,age,born,90s,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_plusminus,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist
INT-World Cup,2026,Portugal,Diogo Costa,Portugal,GK,26,1999,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Qatar,Mahmoud Abunada,Qatar,GK,26,2000,3.0,10,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Saudi Arabia,Mohammed Al-Owais,Saudi Arabia,GK,34,1991,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Scotland,Angus Gunn,Scotland,GK,30,1996,3.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Senegal,Mory Diaw,Senegal,GK,32,1993,2.6,3,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Senegal,Édouard Mendy,Senegal,GK,34,1992,1.7,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,South Africa,Ronwen Williams,South Africa,GK,34,1992,4.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Spain,Unai Simón,Spain,GK,29,1997,8.3,1,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Sweden,Jacob Widell Zetterström,Sweden,GK,27,1998,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Sweden,Kristoffer Nordfeldt,Sweden,GK,36,1989,2.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Switzerland,Gregor Kobel,Switzerland,GK,28,1997,6.7,6,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Tunisia,Aymen Dahmen,Tunisia,GK,29,1997,2.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Tunisia,Mouhib Chamakh,Tunisia,GK,24,2001,1.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Türkiye,Uğurcan Çakır,Türkiye,GK,30,1996,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,USA,Matt Freese,USA,GK,27,1998,4.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,USA,Matt Turner,USA,GK,31,1994,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Uruguay,Fernando Muslera,Uruguay,GK,39,1986,2.5,4,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Uruguay,Sergio Rochet,Uruguay,GK,33,1993,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Uzbekistan,Abduvohid Nematov,Uzbekistan,GK,25,2001,2.0,8,1,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Uzbekistan,Utkir Yusupov,Uzbekistan,GK,35,1991,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
