season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-08-24 17:00:00,Barcelona,Robert Lewandowski,0.4488051831722259,92.4000015258789,48.29999923706055,Set Piece,,post,56,understat
2425,La Liga,2024-08-24 17:00:00,Barcelona,Robert Lewandowski,0.3765912652015686,91.59999847412108,47.29999923706054,Open Play,Right Foot,saved,63,understat
2425,La Liga,2024-08-24 17:00:00,Barcelona,Robert Lewandowski,0.020850770175457,75.0,58.900001525878906,Open Play,Right Foot,blocked,68,understat
2425,La Liga,2024-08-24 17:00:00,Barcelona,Robert Lewandowski,0.0352673158049583,98.90000152587892,59.599998474121094,Open Play,,missed,70,understat
2425,La Liga,2024-08-24 17:00:00,Barcelona,Robert Lewandowski,0.3877777755260467,88.5,45.70000076293945,Open Play,Left Foot,goal,74,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Dani Olmo,0.0110369473695755,70.19999694824219,44.0,Open Play,Right Foot,post,57,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Dani Olmo,0.014485727995634,77.5999984741211,29.60000038146972,Open Play,Right Foot,blocked,78,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Dani Olmo,0.0872543454170227,89.80000305175781,37.0,Open Play,Left Foot,goal,81,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Ferrán Torres,0.0667605549097061,89.5999984741211,38.79999923706054,Open Play,Right Foot,missed,22,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Ferrán Torres,0.0308404024690389,73.5999984741211,51.59999847412109,From Corner,Right Foot,blocked,35,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Iñigo Martínez,0.0670447424054145,91.4000015258789,43.79999923706055,From Corner,Left Foot,saved,18,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Jules Koundé,0.0270587094128131,81.5,31.0,Open Play,Right Foot,missed,18,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Jules Koundé,0.0590536072850227,94.09999847412108,32.79999923706054,Open Play,Right Foot,blocked,47,understat
2425,La Liga,2024-08-27 19:30:00,Barcelona,Lamine Yamal,0.0962572246789932,86.80000305175781,41.29999923706055,Open Play,Left Foot,blocked,10,understat
