,,,,nation,pos,age,Club,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Brazil,Alex Sandro,Brazil,"DF,MF",35,1. Flamengo,1991,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Alisson,Brazil,GK,33,1. Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Bruno Guimarães,Brazil,MF,28,1. Newcastle,1997,5,5,416,4.6,0,4,4,0,0,1,0,0,0.0,0.87,0.87,0.0,0.87
INT-World Cup,2026,Brazil,Casemiro,Brazil,MF,34,1. Manchester Utd,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0.0,0.24,0.24,0.24
INT-World Cup,2026,Brazil,Danilo,Brazil,DF,34,1. Flamengo,1991,5,4,405,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Danilo Santos,Brazil,MF,25,1. Botafogo–RJ,2001,4,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Douglas Santos,Brazil,DF,32,1. Zenit,1994,5,5,441,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Endrick,Brazil,FW,19,1. Lyon,2006,4,0,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Fabinho,Brazil,"DF,MF",32,1. Al-Ittihad,1993,3,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Gabriel Magalhães,Brazil,DF,28,1. Arsenal,1997,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2
INT-World Cup,2026,Brazil,Gabriel Martinelli,Brazil,MF,24,1. Arsenal,2001,4,1,143,1.6,1,0,1,1,0,0,0,0,0.63,0.0,0.63,0.63,0.63
INT-World Cup,2026,Brazil,Igor Thiago,Brazil,FW,24,1. Brentford,2001,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Lucas Paquetá,Brazil,MF,28,1. Flamengo,1997,4,4,233,2.6,0,1,1,0,0,0,0,0,0.0,0.39,0.39,0.0,0.39
INT-World Cup,2026,Brazil,Luiz Henrique,Brazil,"FW,MF",25,1. Zenit,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Marquinhos,Brazil,DF,32,1. PSG,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Matheus Cunha,Brazil,FW,27,1. Manchester Utd,1999,5,4,290,3.2,3,0,3,3,0,0,0,0,0.93,0.0,0.93,0.93,0.93
INT-World Cup,2026,Brazil,Neymar,Brazil,"FW,MF",34,1. Santos,1992,2,0,39,0.4,1,0,1,0,1,1,1,0,2.31,0.0,2.31,0.0,0.0
INT-World Cup,2026,Brazil,Raphinha,Brazil,"MF,FW",29,1. Barcelona,1996,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Rayan,Brazil,"FW,MF",19,1. Bournemouth,2006,4,3,288,3.2,0,1,1,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31
INT-World Cup,2026,Brazil,Roger Ibanez,Brazil,DF,27,1. Al-Ahli,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Brazil,Vinicius Júnior,Brazil,FW,25,1. Real Madrid,2000,5,5,440,4.9,4,1,5,4,0,0,0,0,0.82,0.2,1.02,0.82,1.02
INT-World Cup,2026,Brazil,Éderson Silva,Brazil,MF,26,1. Atalanta,1999,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Dailon Livramento,Cabo Verde,FW,25,1. Casa Pia,2001,3,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Deroy Duarte,Cabo Verde,MF,26,1. Ludogorets,1999,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34
INT-World Cup,2026,Cabo Verde,Diney,Cabo Verde,DF,31,1. Al Bataeh,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Garry Rodrigues,Cabo Verde,MF,35,1. Apollon Limassol,1990,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Gilson Benchimol,Cabo Verde,FW,24,1. Akron Tolyatti,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Hélio Varela,Cabo Verde,FW,24,1. Maccabi Tel Aviv,2002,3,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0.0,0.87,0.87,0.87
INT-World Cup,2026,Cabo Verde,Jamiro Monteiro,Cabo Verde,MF,32,1. Zwolle,1993,4,3,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Jovane Cabral,Cabo Verde,FW,28,1. Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,João Paulo Fernandes,Cabo Verde,DF,28,1. FCSB,1998,2,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Kevin Pina,Cabo Verde,MF,29,1. Krasnodar,1997,4,4,349,3.9,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26
INT-World Cup,2026,Cabo Verde,Laros Duarte,Cabo Verde,MF,29,1. Puskás Akad.,1997,4,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Nuno da Costa,Cabo Verde,FW,35,1. Başakşehir,1991,4,1,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Pico,Cabo Verde,DF,33,1. Shamrock,1992,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Ryan Mendes,Cabo Verde,"FW,MF",36,2. 76 Iğdır Belediyespor,1990,4,4,330,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27
INT-World Cup,2026,Cabo Verde,Sidny Lopes Cabral,Cabo Verde,DF,23,1. Benfica,2002,3,3,285,3.2,1,0,1,1,0,0,2,0,0.32,0.0,0.32,0.32,0.32
INT-World Cup,2026,Cabo Verde,Steven Moreira,Cabo Verde,DF,31,1. Columbus Crew,1994,4,3,301,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Telmo Arcanjo,Cabo Verde,MF,24,1. Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Vozinha,Cabo Verde,GK,40,2. Chaves,1986,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Wagner Pina,Cabo Verde,DF,23,1. Trabzonspor,2002,1,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Willy Semedo,Cabo Verde,FW,32,1. AC Omonia,1994,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Cabo Verde,Yannick,Cabo Verde,MF,30,2. Farense,1995,2,0,32,0.4,0,1,1,0,0,0,0,0,0.0,2.81,2.81,0.0,2.81
INT-World Cup,2026,Canada,Ali Ahmed,Canada,MF,25,2. Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Alistair Johnston,Canada,DF,27,1. Celtic,1998,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Alphonso Davies,Canada,"DF,FW",25,1. Bayern Munich,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Cyle Larin,Canada,FW,31,1. Mallorca,1995,4,2,190,2.1,2,0,2,2,0,0,2,0,0.95,0.0,0.95,0.95,0.95
INT-World Cup,2026,Canada,Derek Cornelius,Canada,DF,28,1. Marseille,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Ismaël Koné,Canada,MF,23,1. Sassuolo,2002,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Jacob Shaffelburg,Canada,MF,26,1. LAFC,1999,5,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Jayden Nelson,Canada,"FW,MF",23,1. Austin FC,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Jonathan David,Canada,FW,26,1. Juventus,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0.0,0.64,0.64,0.64
INT-World Cup,2026,Canada,Jonathan Osorio,Canada,MF,34,1. Toronto FC,1992,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Liam Millar,Canada,MF,26,2. Hull City,1999,3,2,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Luc De Fougerolles,Canada,DF,20,1. Fulham,2005,5,4,372,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Mathieu Choinière,Canada,MF,27,1. LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Maxime Crépeau,Canada,GK,32,1. Orlando City,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Moïse Bombito,Canada,DF,26,1. Nice,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Nathan Saliba,Canada,MF,22,1. Anderlecht,2004,3,2,182,2.0,1,2,3,1,0,0,1,0,0.49,0.99,1.48,0.49,1.48
INT-World Cup,2026,Canada,Niko Sigur,Canada,MF,22,1. Hajduk Split,2003,3,1,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Promise David,Canada,FW,24,1. Union SG,2001,4,0,80,0.9,1,1,2,1,0,0,0,0,1.13,1.13,2.25,1.13,2.25
INT-World Cup,2026,Canada,Richie Laryea,Canada,DF,31,1. Toronto FC,1995,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Stephen Eustáquio,Canada,MF,29,1. Porto,1996,5,4,392,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23
INT-World Cup,2026,Canada,Tajon Buchanan,Canada,MF,27,1. Villarreal,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Canada,Tani Oluwaseyi,Canada,FW,26,1. Villarreal,2000,5,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Andrés Gómez,Colombia,MF,23,1. Vasco da Gama,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Camilo Vargas,Colombia,GK,37,1. Atlas,1989,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Cucho,Colombia,"FW,MF",27,1. Real Betis,1999,2,0,50,0.6,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,1.8
INT-World Cup,2026,Colombia,Daniel Muñoz,Colombia,DF,30,1. Crystal Palace,1996,5,4,394,4.4,2,0,2,2,0,0,0,0,0.46,0.0,0.46,0.46,0.46
INT-World Cup,2026,Colombia,Davinson Sánchez,Colombia,DF,30,1. Galatasaray,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Deiver Machado,Colombia,DF,32,1. Nantes,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Gustavo Puerta,Colombia,MF,22,2. Racing Sant,2003,5,5,469,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19
INT-World Cup,2026,Colombia,James Rodríguez,Colombia,"FW,MF",34,1. Minnesota Utd,1991,5,5,313,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jaminton Campaz,Colombia,"FW,MF",26,1. Rosario Central,2000,3,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2
INT-World Cup,2026,Colombia,Jefferson Lerma,Colombia,MF,31,1. Crystal Palace,1994,5,5,410,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jhon Arias,Colombia,MF,28,1. Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24
INT-World Cup,2026,Colombia,Jhon Córdoba,Colombia,FW,33,1. Krasnodar,1993,3,2,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Jhon Lucumí,Colombia,DF,27,1. Bologna,1998,5,5,478,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Johan Mojica,Colombia,DF,33,1. Mallorca,1992,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Juan Quintero,Colombia,"FW,MF",33,1. River Plate,1993,4,0,121,1.3,0,1,1,0,0,0,0,0,0.0,0.74,0.74,0.0,0.74
INT-World Cup,2026,Colombia,Kevin Castaño,Colombia,MF,25,1. River Plate,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Luis Díaz,Colombia,"FW,MF",29,1. Bayern Munich,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38
INT-World Cup,2026,Colombia,Luis Suárez,Colombia,FW,28,1. Sporting CP,1997,5,3,331,3.7,0,1,1,0,0,0,1,0,0.0,0.27,0.27,0.0,0.27
INT-World Cup,2026,Colombia,Richard Ríos,Colombia,MF,26,1. Benfica,2000,5,0,140,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Santiago Arias,Colombia,DF,34,1. Independiente,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Colombia,Yerry Mina,Colombia,DF,31,1. Cagliari,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Aaron Wan-Bissaka,Congo DR,DF,28,1. West Ham,1997,4,4,354,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Arthur Masuaku,Congo DR,DF,32,1. Lens,1993,4,4,315,3.5,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29
INT-World Cup,2026,Congo DR,Axel Tuanzebe,Congo DR,DF,28,1. Burnley,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Brian Cipenga,Congo DR,"MF,FW",28,2. Castellón,1998,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62
INT-World Cup,2026,Congo DR,Chancel Mbemba,Congo DR,DF,31,1. Lille,1994,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2026,Congo DR,Charles Pickel,Congo DR,"DF,MF",29,1. Espanyol,1997,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Cédric Bakambu,Congo DR,FW,35,1. Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Edo Kayembe,Congo DR,MF,28,2. Watford,1998,3,2,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Fiston Mayele,Congo DR,FW,31,1. Pyramids FC,1994,2,0,42,0.5,1,0,1,1,0,0,0,0,2.14,0.0,2.14,2.14,2.14
INT-World Cup,2026,Congo DR,Gédéon Kalulu,Congo DR,DF,28,1. Aris Limassol,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Joris Kayembe,Congo DR,"DF,FW",31,1. Genk,1994,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Lionel Mpasi,Congo DR,GK,31,1. Le Havre,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Meschak Elia,Congo DR,"FW,MF",28,1. Alanyaspor,1997,2,0,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,0.0,1.96
INT-World Cup,2026,Congo DR,Nathanaël Mbuku,Congo DR,"MF,FW",24,2. Montpellier,2002,3,2,143,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Ngal'Ayel Mukau,Congo DR,MF,21,1. Lille,2004,4,3,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Noah Sadiki,Congo DR,MF,21,1. Sunderland,2004,4,2,259,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Samuel Moutoussamy,Congo DR,MF,29,1. Atromitos,1996,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Simon Banza,Congo DR,"FW,MF",29,1. Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Steve Kapuadi,Congo DR,DF,28,1. Widzew Łódź,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Theo Bongonda,Congo DR,"FW,MF",30,1. Spartak Moscow,1995,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Congo DR,Yoane Wissa,Congo DR,FW,29,1. Newcastle,1996,4,4,360,4.0,3,0,3,2,1,1,0,0,0.75,0.0,0.75,0.5,0.5
INT-World Cup,2026,Croatia,Andrej Kramarić,Croatia,"FW,MF",34,1. Hoffenheim,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Ante Budimir,Croatia,FW,34,1. Osasuna,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58
INT-World Cup,2026,Croatia,Dominik Livaković,Croatia,GK,31,1. Dinamo Zagreb,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Igor Matanović,Croatia,FW,23,1. Freiburg,2003,3,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Ivan Perišić,Croatia,"MF,DF",37,1. PSV,1989,4,4,360,4.0,1,1,2,1,0,0,2,0,0.25,0.25,0.5,0.25,0.5
INT-World Cup,2026,Croatia,Josip Stanišić,Croatia,"DF,MF",26,1. Bayern Munich,2000,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2026,Croatia,Josip Šutalo,Croatia,DF,26,1. Ajax,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Joško Gvardiol,Croatia,DF,24,1. Manchester City,2002,4,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Luka Modrić,Croatia,MF,40,1. Milan,1985,4,4,317,3.5,0,1,1,0,0,0,1,0,0.0,0.28,0.28,0.0,0.28
INT-World Cup,2026,Croatia,Luka Sučić,Croatia,"FW,MF",23,1. Real Sociedad,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Luka Vušković,Croatia,DF,19,1. Hamburger SV,2007,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Marco Pašalić,Croatia,MF,25,1. Orlando City,2000,3,1,99,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Marin Pongračić,Croatia,DF,28,1. Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Mario Pašalić,Croatia,MF,31,1. Atalanta,1995,4,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Croatia,Martin Baturina,Croatia,"MF,FW",23,1. Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28
INT-World Cup,2026,Croatia,Mateo Kovačić,Croatia,MF,32,1. Manchester City,1994,4,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Croatia,Nikola Vlašić,Croatia,MF,28,1. Torino,1997,3,2,189,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,0.48,0.48
INT-World Cup,2026,Croatia,Petar Musa,Croatia,FW,28,1. FC Dallas,1998,2,2,110,1.2,1,0,1,1,0,0,0,0,0.82,0.0,0.82,0.82,0.82
INT-World Cup,2026,Croatia,Petar Sučić,Croatia,"MF,FW",22,1. Inter,2003,4,3,289,3.2,1,1,2,1,0,0,1,0,0.31,0.31,0.62,0.31,0.62
INT-World Cup,2026,Curaçao,Armando Obispo,Curaçao,DF,27,1. PSV,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Brandley Kuwas,Curaçao,"FW,MF",33,1. Volendam,1992,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Deveron Fonville,Curaçao,DF,23,1. NEC Nijmegen,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Eloy Room,Curaçao,GK,37,2. Miami FC,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Gervane Kastaneer,Curaçao,"FW,MF",30,1. Terengganu City,1996,3,0,30,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Godfried Roemeratoe,Curaçao,MF,26,2. RKC Waalwijk,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jearl Margaritha,Curaçao,"FW,MF",26,2. Beveren,2000,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jeremy Antonisse,Curaçao,"FW,MF",24,1. AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Joshua Brenet,Curaçao,DF,32,1. Kayserispor,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Juninho Bacuna,Curaçao,MF,28,1. Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Juriën Gaari,Curaçao,DF,32,2. Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Jürgen Locadia,Curaçao,FW,32,2. Miami FC,1993,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Kenji Gorré,Curaçao,"FW,MF",31,1. Maccabi Haifa,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Leandro Bacuna,Curaçao,MF,34,2. 76 Iğdır Belediyespor,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Livano Comenencia,Curaçao,MF,22,1. Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,0.39,0.39
INT-World Cup,2026,Curaçao,Riechedly Bazoer,Curaçao,DF,29,1. Konyaspor,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Roshon van Eijma,Curaçao,DF,28,2. RKC Waalwijk,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Sherel Floranus,Curaçao,DF,27,1. Zwolle,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Curaçao,Shurandy Sambo,Curaçao,DF,24,1. Sparta R.,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
