league,season,game,team,player,league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Rafa Mir,4,2024,26987,146,2589,MR,8,83,0,0,1,0.015716101974248886,0.015716101974248886,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Thierry Correia,4,2024,26987,146,8058,DR,2,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-17 Valencia-Barcelona,Valencia,Yarek Gasiorowski,4,2024,26987,146,12139,DC,3,90,0,0,0,0.0,0.5927295684814453,0.5927295684814453,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Alex Berenguer,4,2024,26995,147,5091,AMR,11,78,0,0,1,0.041874345391988754,0.11574535816907883,0.017652442678809166,0,0.10303111374378204,2,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Ander Herrera,4,2024,26995,147,552,Sub,17,6,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Beñat Prados,4,2024,26995,147,9505,DMC,7,84,0,0,2,0.042708784341812134,0.12827688455581665,0.11062444746494293,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Dani Vivian,4,2024,26995,147,6766,DC,3,90,0,0,1,0.046812545508146286,0.11062444746494293,0.11062444746494293,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Gorka Guruzeta,4,2024,26995,147,7020,Sub,17,6,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Iñaki Williams,4,2024,26995,147,2399,FW,15,84,0,0,0,0.0,0.10965874046087265,0.0677843913435936,0,0.041874345391988754,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Malcom Adu,4,2024,26995,147,10981,Sub,17,12,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Mikel Jauregizar,4,2024,26995,147,12263,Sub,17,21,0,0,0,0.0,0.05013194680213928,0.05013194680213928,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Mikel Vesga,4,2024,26995,147,5077,DMC,7,69,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Nico Williams,4,2024,26995,147,9211,AML,13,90,0,0,3,0.1668430119752884,0.1844954639673233,0.0,0,0.017652442678809166,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Oihan Sancet,4,2024,26995,147,7779,AMC,12,69,1,0,1,0.7432776093482971,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Unai Gómez,4,2024,26995,147,11531,Sub,17,21,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Yeray Álvarez,4,2024,26995,147,5062,DC,3,90,0,0,1,0.058336291462183,0.20871736109256744,0.20871736109256744,0,0.05013194680213928,1,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Yuri,4,2024,26995,147,2229,DL,4,90,0,0,0,0.0,0.0,0.0,0,0.058336291462183,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Álex Padilla,4,2024,26995,147,12227,GK,1,90,0,0,0,0.0,0.0677843913435936,0.0677843913435936,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Athletic Club,Íñigo Lekue,4,2024,26995,147,2403,DR,2,90,0,0,0,0.0,0.11062444746494293,0.11062444746494293,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Eric Garcia,4,2024,26995,148,8045,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Fermín López,4,2024,26995,148,11822,Sub,17,21,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Ferrán Torres,4,2024,26995,148,6441,AML,13,69,0,0,1,0.01895844377577305,0.04842904955148697,0.04842904955148697,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Gerard Martín,4,2024,26995,148,12821,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Iñigo Martínez,4,2024,26995,148,2484,DC,3,90,0,0,0,0.0,0.425020307302475,0.425020307302475,0,0.01895844377577305,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Jules Koundé,4,2024,26995,148,6433,DR,2,90,0,0,0,0.0,0.4602876305580139,0.425020307302475,0,0.035267315804958344,1,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Lamine Yamal,4,2024,26995,148,11527,AMR,11,90,1,0,2,0.04396337643265724,0.9318961501121521,0.9318961501121521,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Marc Bernal,4,2024,26995,148,12820,DMC,7,89,0,0,0,0.0,0.5495081543922424,0.5495081543922424,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Marc-André ter Stegen,4,2024,26995,148,2090,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Pau Cubarsí,4,2024,26995,148,12005,DC,3,90,0,0,0,0.0,0.425020307302475,0.425020307302475,0,0.0,0,1,0
ESP-La Liga,2425,2024-08-24 Barcelona-Athletic Club,Barcelona,Pau Victor,4,2024,26995,148,10953,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0
