league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ESP-La Liga,2425,2025-04-05 Barcelona-Real Betis,4,2024,27272,2025-04-05 19:00:00,148,153,Barcelona,Real Betis,BET,BAR,1,1,1.46844,0.249939,True,True,https://understat.com/match/27272
ESP-La Liga,2425,2025-04-12 Leganes-Barcelona,4,2024,27288,2025-04-12 19:00:00,159,148,Leganes,Barcelona,BAR,LEG,0,1,0.5988,1.10105,True,True,https://understat.com/match/27288
ESP-La Liga,2425,2025-04-19 Barcelona-Celta Vigo,4,2024,27292,2025-04-19 14:15:00,148,152,Barcelona,Celta Vigo,CEL,BAR,4,3,2.56587,2.50499,True,True,https://understat.com/match/27292
ESP-La Liga,2425,2025-04-22 Barcelona-Mallorca,4,2024,27305,2025-04-22 19:30:00,148,239,Barcelona,Mallorca,MAL,BAR,1,0,3.43457,0.326579,True,True,https://understat.com/match/27305
ESP-La Liga,2425,2025-05-03 Real Valladolid-Barcelona,4,2024,27316,2025-05-03 19:00:00,231,148,Real Valladolid,Barcelona,BAR,VAL,1,2,0.745612,2.21168,True,True,https://understat.com/match/27316
ESP-La Liga,2425,2025-05-11 Barcelona-Real Madrid,4,2024,27324,2025-05-11 14:15:00,148,150,Barcelona,Real Madrid,RMA,BAR,4,3,4.10632,2.5616,True,True,https://understat.com/match/27324
ESP-La Liga,2425,2025-05-15 Espanyol-Barcelona,4,2024,27332,2025-05-15 19:30:00,141,148,Espanyol,Barcelona,BAR,ESP,0,2,1.51531,0.735877,True,True,https://understat.com/match/27332
ESP-La Liga,2425,2025-05-18 Barcelona-Villarreal,4,2024,27343,2025-05-18 17:00:00,148,154,Barcelona,Villarreal,VIL,BAR,2,3,1.569,1.96183,True,True,https://understat.com/match/27343
ESP-La Liga,2425,2025-05-25 Athletic Club-Barcelona,4,2024,27353,2025-05-25 19:00:00,147,148,Athletic Club,Barcelona,BAR,ATH,0,3,0.750806,3.36402,True,True,https://understat.com/match/27353
ESP-La Liga,2526,2025-08-16 Mallorca-Barcelona,4,2025,29160,2025-08-16 17:30:00,239,148,Mallorca,Barcelona,BAR,MAL,0,3,0.529217,2.0243,True,True,https://understat.com/match/29160
ESP-La Liga,2526,2025-08-23 Levante-Barcelona,4,2025,29171,2025-08-23 19:30:00,151,148,Levante,Barcelona,BAR,LEV,2,3,2.68812,2.48128,True,True,https://understat.com/match/29171
ESP-La Liga,2526,2025-08-31 Rayo Vallecano-Barcelona,4,2025,29188,2025-08-31 19:30:00,145,148,Rayo Vallecano,Barcelona,BAR,RVL,1,1,1.87124,2.35774,True,True,https://understat.com/match/29188
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,4,2025,29194,2025-09-14 19:00:00,148,146,Barcelona,Valencia,VAL,BAR,6,0,3.46022,0.12495,True,True,https://understat.com/match/29194
ESP-La Liga,2526,2025-09-21 Barcelona-Getafe,4,2025,29199,2025-09-21 19:00:00,148,142,Barcelona,Getafe,GET,BAR,3,0,2.96429,0.215949,True,True,https://understat.com/match/29199
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,4,2025,29213,2025-09-25 19:30:00,289,148,Real Oviedo,Barcelona,BAR,OVI,1,3,1.45014,2.07001,True,True,https://understat.com/match/29213
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,4,2025,29220,2025-09-28 16:30:00,148,140,Barcelona,Real Sociedad,SOC,BAR,2,1,3.00954,0.957079,True,True,https://understat.com/match/29220
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,4,2025,29233,2025-10-05 14:15:00,138,148,Sevilla,Barcelona,BAR,SEV,4,1,2.89414,2.4823,True,True,https://understat.com/match/29233
ESP-La Liga,2526,2025-10-18 Barcelona-Girona,4,2025,29240,2025-10-18 14:15:00,148,223,Barcelona,Girona,GIR,BAR,2,1,2.41958,1.69375,True,True,https://understat.com/match/29240
ESP-La Liga,2526,2025-10-26 Real Madrid-Barcelona,4,2025,29254,2025-10-26 15:15:00,150,148,Real Madrid,Barcelona,BAR,RMA,2,1,3.41322,1.12434,True,True,https://understat.com/match/29254
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,4,2025,29260,2025-11-02 17:30:00,148,207,Barcelona,Elche,ELC,BAR,3,1,2.8073,0.549079,True,True,https://understat.com/match/29260
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,4,2025,29274,2025-11-09 20:00:00,152,148,Celta Vigo,Barcelona,BAR,CEL,2,4,0.512253,3.42936,True,True,https://understat.com/match/29274
