league,season,team,players_used,age,playing_time_mp,playing_time_min,playing_time_mn_mp,playing_time_min_pct,playing_time_90s,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_plusminus,team_success_plusminus90,url
INT-World Cup,2026,Qatar,22,29.7,3,270,90,100,3.0,33,75,17,15,27,28,0.33,2,10,-8,-2.67,/en/squads/9b696ed1/Qatar-Men-Stats
INT-World Cup,2026,Saudi Arabia,18,28.6,3,270,90,100,3.0,33,79,18,15,24,30,0.67,1,5,-4,-1.33,/en/squads/6e84edac/Saudi-Arabia-Men-Stats
INT-World Cup,2026,Scotland,20,29.1,3,270,90,100,3.0,33,84,18,15,14,30,1.0,1,4,-3,-1.0,/en/squads/602d3994/Scotland-Men-Stats
INT-World Cup,2026,Senegal,22,28.5,4,390,98,100,4.3,44,84,23,21,27,37,0.75,10,9,1,0.23,/en/squads/9ab5c684/Senegal-Men-Stats
INT-World Cup,2026,South Africa,19,26.7,4,360,90,100,4.0,44,83,30,13,21,42,1.0,2,4,-2,-0.5,/en/squads/506f1741/South-Africa-Men-Stats
INT-World Cup,2026,Spain,22,26.3,8,750,94,100,8.3,88,84,50,38,22,82,2.75,14,1,13,1.56,/en/squads/b561dd30/Spain-Men-Stats
INT-World Cup,2026,Sweden,22,26.7,4,360,90,100,4.0,44,82,24,20,17,39,1.0,7,10,-3,-0.75,/en/squads/296f69e7/Sweden-Men-Stats
INT-World Cup,2026,Switzerland,23,29.4,6,600,100,100,6.7,66,89,33,32,20,51,1.83,10,6,4,0.6,/en/squads/81021a70/Switzerland-Men-Stats
INT-World Cup,2026,Tunisia,20,27.4,3,270,90,100,3.0,33,82,18,15,18,28,0.0,2,12,-10,-3.33,/en/squads/a7c7562a/Tunisia-Men-Stats
INT-World Cup,2026,Türkiye,23,26.6,3,270,90,100,3.0,33,82,18,15,17,30,1.0,3,5,-2,-0.67,/en/squads/ac6bcf92/Turkiye-Men-Stats
INT-World Cup,2026,USA,24,26.7,5,450,90,100,5.0,55,84,32,22,15,48,1.8,11,8,3,0.6,/en/squads/0f66725b/United-States-Men-Stats
INT-World Cup,2026,Uruguay,17,28.6,3,270,90,100,3.0,33,80,20,12,27,29,0.67,3,4,-1,-0.33,/en/squads/870e020f/Uruguay-Men-Stats
INT-World Cup,2026,Uzbekistan,23,26.9,3,270,90,100,3.0,33,80,18,15,22,30,0.0,2,11,-9,-3.0,/en/squads/cd389e75/Uzbekistan-Men-Stats
