,,,players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url,Playing Time
,,,Unnamed: 3_level_1,MP,Starts,Min,Unnamed: 7_level_1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Unnamed: 23_level_1,90s
league,season,team,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Torino,2,38,38,3420,38.0,45,1.18,180,133,75.0,10,14,14,10,26.3,7,3,4,0,57.1,/en/squads/105360fe/2024-2025/Torino-Stats,
ITA-Serie A,2425,Udinese,3,38,38,3420,38.0,56,1.47,164,113,65.9,12,8,18,9,23.7,8,7,0,1,0.0,/en/squads/04eea015/2024-2025/Udinese-Stats,
ITA-Serie A,2425,Venezia,3,38,38,3420,38.0,56,1.47,188,134,70.2,5,14,19,6,15.8,11,10,1,0,9.1,/en/squads/af5d5982/2024-2025/Venezia-Stats,
ITA-Serie A,2526,Atalanta,2,38,38,3420,38.0,36,0.95,152,115,76.3,15,14,9,13,34.2,4,2,2,0,50.0,/en/squads/922493f3/2025-2026/Atalanta-Stats,
ITA-Serie A,2526,Bologna,3,38,38,3415,38.0,49,1.29,141,92,65.2,16,8,14,12,31.6,4,4,0,0,0.0,/en/squads/1d8099f8/2025-2026/Bologna-Stats,
ITA-Serie A,2526,Cagliari,1,38,38,3420,38.0,53,1.39,175,121,69.7,11,10,17,8,21.1,2,2,0,0,0.0,/en/squads/c4260e09/2025-2026/Cagliari-Stats,
ITA-Serie A,2526,Como,1,38,38,3420,38.0,29,0.76,116,86,75.0,20,11,7,19,50.0,6,5,1,0,16.7,/en/squads/28c9c3cd/2025-2026/Como-Stats,
ITA-Serie A,2526,Cremonese,2,38,38,3420,38.0,57,1.5,195,138,70.8,8,10,20,11,28.9,6,4,2,0,33.3,/en/squads/9aad3a77/2025-2026/Cremonese-Stats,
ITA-Serie A,2526,Fiorentina,3,38,38,3420,38.0,50,1.32,176,125,71.6,9,15,14,10,26.3,6,5,1,0,16.7,/en/squads/421387cf/2025-2026/Fiorentina-Stats,
ITA-Serie A,2526,Genoa,3,38,38,3418,38.0,52,1.37,163,111,68.1,10,11,17,9,23.7,7,7,0,0,0.0,/en/squads/658bf2de/2025-2026/Genoa-Stats,
ITA-Serie A,2526,Hellas Verona,2,38,38,3420,38.0,61,1.61,157,95,61.1,3,12,23,6,15.8,5,2,3,0,60.0,/en/squads/0e72edf2/2025-2026/Hellas-Verona-Stats,
ITA-Serie A,2526,Inter,3,38,38,3420,38.0,35,0.92,111,75,68.5,27,6,5,18,47.4,4,4,0,0,0.0,/en/squads/d609edc0/2025-2026/Internazionale-Stats,
ITA-Serie A,2526,Juventus,2,38,38,3420,38.0,34,0.89,108,73,68.5,19,12,7,16,42.1,3,1,0,2,0.0,/en/squads/e0652b02/2025-2026/Juventus-Stats,
ITA-Serie A,2526,Lazio,3,38,38,3420,38.0,40,1.05,158,116,74.7,14,12,12,15,39.5,5,3,2,0,40.0,/en/squads/7213da33/2025-2026/Lazio-Stats,
ITA-Serie A,2526,Lecce,1,38,38,3420,38.0,50,1.32,158,108,68.4,10,8,20,10,26.3,6,4,2,0,33.3,/en/squads/ffcbe334/2025-2026/Lecce-Stats,
ITA-Serie A,2526,Milan,2,38,38,3420,38.0,35,0.92,145,110,75.9,20,10,8,15,39.5,8,5,2,1,28.6,/en/squads/dc56fe14/2025-2026/Milan-Stats,
ITA-Serie A,2526,Napoli,3,38,38,3420,38.0,36,0.95,110,73,67.3,23,7,8,15,39.5,10,7,3,0,30.0,/en/squads/d48ad4ff/2025-2026/Napoli-Stats,
ITA-Serie A,2526,Parma,3,38,38,3420,38.0,46,1.21,160,113,71.3,11,12,15,13,34.2,6,5,1,0,16.7,/en/squads/eab4234c/2025-2026/Parma-Stats,
ITA-Serie A,2526,Pisa,3,38,38,3420,38.0,71,1.87,179,108,60.3,2,12,24,5,13.2,6,5,0,1,0.0,/en/squads/4cceedfc/2025-2026/Pisa-Stats,
ITA-Serie A,2526,Roma,1,38,38,3420,38.0,31,0.82,138,107,77.5,23,4,11,18,47.4,1,1,0,0,0.0,/en/squads/cf74a709/2025-2026/Roma-Stats,
ITA-Serie A,2526,Sassuolo,3,38,38,3420,38.0,50,1.32,183,133,72.7,14,7,17,8,21.1,6,5,1,0,16.7,/en/squads/e2befd26/2025-2026/Sassuolo-Stats,
ITA-Serie A,2526,Torino,2,38,38,3420,38.0,63,1.66,169,106,62.7,12,9,17,12,31.6,4,4,0,0,0.0,/en/squads/105360fe/2025-2026/Torino-Stats,
ITA-Serie A,2526,Udinese,3,38,38,3416,38.0,53,1.4,150,97,64.7,14,8,16,11,28.9,7,6,1,0,14.3,/en/squads/04eea015/2025-2026/Udinese-Stats,
GER-Bundesliga,2425,Augsburg,2,34,34,3060,34.0,51,1.5,156,107,67.3,11,10,13,11,32.4,5,5,0,0,0.0,/en/squads/0cdc4311/2024-2025/Augsburg-Stats,
GER-Bundesliga,2425,Bayern Munich,4,34,34,3060,34.0,32,0.94,80,48,60.0,25,7,2,16,47.1,2,1,0,1,0.0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats,
GER-Bundesliga,2425,Bochum,2,34,34,3060,34.0,68,2.0,153,83,55.6,5,8,21,5,14.7,6,3,2,1,40.0,/en/squads/b42c6323/2024-2025/Bochum-Stats,
GER-Bundesliga,2425,Dortmund,2,34,34,3060,34.0,51,1.5,140,89,63.6,17,6,11,7,20.6,4,4,0,0,0.0,/en/squads/add600ae/2024-2025/Dortmund-Stats,
GER-Bundesliga,2425,Frankfurt,2,34,34,3060,34.0,46,1.35,163,117,71.8,17,9,8,9,26.5,3,1,2,0,66.7,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats,
GER-Bundesliga,2425,Freiburg,2,34,34,3060,34.0,53,1.56,150,96,64.7,16,7,11,11,32.4,4,2,2,0,50.0,/en/squads/a486e511/2024-2025/Freiburg-Stats,
GER-Bundesliga,2425,Gladbach,4,34,34,3056,34.0,57,1.68,191,135,70.2,13,6,15,7,20.6,8,7,1,0,12.5,/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats,
GER-Bundesliga,2425,Heidenheim,2,34,34,3060,34.0,64,1.88,171,107,62.6,8,5,21,9,26.5,6,6,0,0,0.0,/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats,
GER-Bundesliga,2425,Hoffenheim,2,34,34,3060,34.0,68,2.0,173,105,60.7,7,11,16,4,11.8,6,3,3,0,50.0,/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats,
GER-Bundesliga,2425,Holstein Kiel,2,34,34,3060,34.0,80,2.35,195,117,59.0,6,7,21,2,5.9,7,6,1,0,14.3,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats,
GER-Bundesliga,2425,Leverkusen,2,34,34,3060,34.0,43,1.26,138,95,68.8,19,12,3,9,26.5,4,4,0,0,0.0,/en/squads/c7a9f859/2024-2025/Leverkusen-Stats,
GER-Bundesliga,2425,Mainz 05,2,34,34,3060,34.0,43,1.26,150,106,71.3,14,10,10,9,26.5,5,4,1,0,20.0,/en/squads/a224b06a/2024-2025/Mainz-05-Stats,
GER-Bundesliga,2425,RB Leipzig,2,34,34,3060,34.0,48,1.41,158,109,69.6,13,12,9,14,41.2,3,2,1,0,33.3,/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats,
GER-Bundesliga,2425,St Pauli,2,34,34,3060,34.0,41,1.21,140,96,70.7,8,8,18,9,26.5,5,1,4,0,80.0,/en/squads/54864664/2024-2025/St-Pauli-Stats,
GER-Bundesliga,2425,Stuttgart,1,34,34,3060,34.0,53,1.56,136,83,61.0,14,8,12,7,20.6,3,2,1,0,33.3,/en/squads/598bc722/2024-2025/Stuttgart-Stats,
GER-Bundesliga,2425,Union Berlin,2,34,34,3060,34.0,50,1.47,139,86,64.0,10,11,13,8,23.5,6,2,4,0,66.7,/en/squads/7a41008f/2024-2025/Union-Berlin-Stats,
GER-Bundesliga,2425,Werder Bremen,1,34,34,3060,34.0,57,1.68,159,102,64.2,14,9,11,10,29.4,3,3,0,0,0.0,/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats,
GER-Bundesliga,2425,Wolfsburg,2,34,34,3060,34.0,54,1.59,160,106,66.3,11,10,13,6,17.6,3,2,1,0,33.3,/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats,
GER-Bundesliga,2526,Augsburg,1,34,34,3060,34.0,61,1.79,166,105,63.3,12,7,15,5,14.7,7,6,1,0,14.3,/en/squads/0cdc4311/2025-2026/Augsburg-Stats,
GER-Bundesliga,2526,Bayern Munich,3,34,34,3060,34.0,36,1.06,105,69,65.7,28,5,1,12,35.3,3,2,0,1,0.0,/en/squads/054efa67/2025-2026/Bayern-Munich-Stats,
GER-Bundesliga,2526,Dortmund,1,34,34,3060,34.0,34,1.0,122,88,72.1,22,7,5,15,44.1,5,5,0,0,0.0,/en/squads/add600ae/2025-2026/Dortmund-Stats,
GER-Bundesliga,2526,Frankfurt,2,34,34,3060,34.0,65,1.91,164,99,60.4,11,11,12,7,20.6,3,3,0,0,0.0,/en/squads/f0ac8ee6/2025-2026/Eintracht-Frankfurt-Stats,
GER-Bundesliga,2526,Freiburg,1,34,34,3060,34.0,57,1.68,157,100,63.7,13,8,13,6,17.6,1,0,1,0,100.0,/en/squads/a486e511/2025-2026/Freiburg-Stats,
GER-Bundesliga,2526,Gladbach,1,34,34,3060,34.0,53,1.56,189,136,72.0,9,11,14,13,38.2,5,5,0,0,0.0,/en/squads/32f3ee20/2025-2026/Monchengladbach-Stats,
GER-Bundesliga,2526,Hamburger SV,2,34,34,3060,34.0,54,1.59,165,111,67.3,9,11,14,6,17.6,11,6,3,2,33.3,/en/squads/26790c6a/2025-2026/Hamburger-SV-Stats,
GER-Bundesliga,2526,Heidenheim,2,34,34,3060,34.0,72,2.12,187,115,61.5,6,8,20,1,2.9,6,5,0,1,0.0,/en/squads/18d9d2a7/2025-2026/Heidenheim-Stats,
GER-Bundesliga,2526,Hoffenheim,1,34,34,3060,34.0,52,1.53,150,98,65.3,18,7,9,7,20.6,7,5,0,2,0.0,/en/squads/033ea6b8/2025-2026/Hoffenheim-Stats,
GER-Bundesliga,2526,Köln,1,34,34,3060,34.0,63,1.85,155,92,59.4,7,11,16,3,8.8,7,5,2,0,28.6,/en/squads/bc357bf7/2025-2026/Koln-Stats,
GER-Bundesliga,2526,Leverkusen,2,34,34,3060,34.0,47,1.38,167,120,71.9,17,8,9,8,23.5,7,7,0,0,0.0,/en/squads/c7a9f859/2025-2026/Leverkusen-Stats,
GER-Bundesliga,2526,Mainz 05,3,34,34,3058,34.0,53,1.56,169,116,68.6,10,10,14,4,11.8,2,2,0,0,0.0,/en/squads/a224b06a/2025-2026/Mainz-05-Stats,
GER-Bundesliga,2526,RB Leipzig,2,34,34,3060,34.0,47,1.38,130,82,63.8,20,5,9,11,32.4,3,2,1,0,33.3,/en/squads/acbb6a5b/2025-2026/RB-Leipzig-Stats,
GER-Bundesliga,2526,St Pauli,1,34,34,3060,34.0,60,1.76,183,123,67.2,6,8,20,5,14.7,6,3,2,1,40.0,/en/squads/54864664/2025-2026/St-Pauli-Stats,
GER-Bundesliga,2526,Stuttgart,1,34,34,3060,34.0,49,1.44,157,107,68.8,18,8,8,11,32.4,10,9,1,0,10.0,/en/squads/598bc722/2025-2026/Stuttgart-Stats,
GER-Bundesliga,2526,Union Berlin,3,34,34,3060,34.0,58,1.71,150,90,61.3,10,9,15,7,20.6,6,6,0,0,0.0,/en/squads/7a41008f/2025-2026/Union-Berlin-Stats,
GER-Bundesliga,2526,Werder Bremen,2,34,34,3060,34.0,60,1.76,171,111,64.9,8,8,18,6,17.6,6,6,0,0,0.0,/en/squads/62add3bf/2025-2026/Werder-Bremen-Stats,
GER-Bundesliga,2526,Wolfsburg,1,34,34,3060,34.0,69,2.03,189,120,63.5,7,8,19,2,5.9,12,7,3,2,30.0,/en/squads/4eaa11d7/2025-2026/Wolfsburg-Stats,
NED-Eredivisie,2425,AZ Alkmaar,2,34,34,3060,,37,1.09,97,61,61.9,16,9,9,12,35.3,3,1,1,1,50.0,/en/squads/3986b791/2024-2025/AZ-Alkmaar-Stats,34.0
NED-Eredivisie,2425,Ajax,3,34,34,3060,,32,0.94,114,83,71.9,24,6,4,16,47.1,0,0,0,0,,/en/squads/19c3f8c4/2024-2025/Ajax-Stats,34.0
NED-Eredivisie,2425,Almere City,2,34,34,3060,,64,1.88,178,118,64.0,4,10,20,7,20.6,0,0,0,0,,/en/squads/2b41acb5/2024-2025/Almere-City-Stats,34.0
NED-Eredivisie,2425,Feyenoord,3,34,34,3060,,38,1.12,119,80,68.1,20,8,6,10,29.4,3,2,1,0,33.3,/en/squads/fb4ca611/2024-2025/Feyenoord-Stats,34.0
NED-Eredivisie,2425,Fortuna Sittard,2,34,34,3060,,54,1.59,166,111,67.5,11,8,15,10,29.4,4,3,1,0,25.0,/en/squads/bd08295c/2024-2025/Fortuna-Sittard-Stats,34.0
NED-Eredivisie,2425,Go Ahead Eagles,2,34,34,3060,,55,1.62,169,115,67.5,14,9,11,9,26.5,4,4,0,0,0.0,/en/squads/e33d6108/2024-2025/Go-Ahead-Eagles-Stats,34.0
NED-Eredivisie,2425,Groningen,2,34,34,3060,,53,1.56,147,95,63.9,10,9,15,7,20.6,6,5,1,0,16.7,/en/squads/bec05adb/2024-2025/Groningen-Stats,34.0
NED-Eredivisie,2425,Heerenveen,2,34,34,3060,,57,1.68,171,116,66.7,12,7,15,6,17.6,4,4,0,0,0.0,/en/squads/193ff7aa/2024-2025/Heerenveen-Stats,34.0
NED-Eredivisie,2425,Heracles Almelo,1,34,34,3060,,63,1.85,185,126,65.9,9,11,14,6,17.6,6,6,0,0,0.0,/en/squads/c882b88e/2024-2025/Heracles-Almelo-Stats,34.0
NED-Eredivisie,2425,NAC Breda,3,34,34,3060,,58,1.71,172,115,66.3,8,9,17,5,14.7,7,7,0,0,0.0,/en/squads/8ed04be8/2024-2025/NAC-Breda-Stats,34.0
NED-Eredivisie,2425,NEC Nijmegen,2,34,34,3060,,46,1.35,166,124,72.3,12,7,15,10,29.4,2,2,0,0,0.0,/en/squads/fc629994/2024-2025/NEC-Nijmegen-Stats,34.0
NED-Eredivisie,2425,PSV,2,34,34,3060,,39,1.15,102,63,61.8,25,4,5,9,26.5,2,2,0,0,0.0,/en/squads/e334d850/2024-2025/PSV-Eindhoven-Stats,34.0
NED-Eredivisie,2425,RKC Waalwijk,4,34,34,3060,,74,2.18,196,124,62.2,6,7,21,4,11.8,8,8,0,0,0.0,/en/squads/bb14adb3/2024-2025/RKC-Waalwijk-Stats,34.0
NED-Eredivisie,2425,Sparta R.,1,34,34,3060,,43,1.26,150,108,71.3,9,12,13,6,17.6,5,4,1,0,20.0,/en/squads/146a68ce/2024-2025/Sparta-Rotterdam-Stats,34.0
NED-Eredivisie,2425,Twente,2,34,34,3060,,49,1.44,120,71,59.2,15,9,10,11,32.4,2,2,0,0,0.0,/en/squads/a1f721d3/2024-2025/Twente-Stats,34.0
NED-Eredivisie,2425,Utrecht,2,34,34,3060,,45,1.32,150,106,70.0,18,10,6,9,26.5,4,4,0,0,0.0,/en/squads/2a428619/2024-2025/Utrecht-Stats,34.0
NED-Eredivisie,2425,Willem II,1,34,34,3060,,56,1.65,181,128,69.1,6,8,20,5,14.7,6,6,0,0,0.0,/en/squads/f0479d7b/2024-2025/Willem-II-Stats,34.0
NED-Eredivisie,2425,Zwolle,2,34,34,3060,,51,1.5,160,110,68.1,10,11,13,6,17.6,6,3,0,3,0.0,/en/squads/e3db180b/2024-2025/Zwolle-Stats,34.0
NED-Eredivisie,2526,AZ Alkmaar,3,34,34,3060,,51,1.5,155,104,67.1,14,10,10,9,26.5,4,3,0,1,0.0,/en/squads/3986b791/2025-2026/AZ-Alkmaar-Stats,34.0
NED-Eredivisie,2526,Ajax,3,34,34,3060,,41,1.21,151,110,72.8,14,14,6,10,29.4,5,5,0,0,0.0,/en/squads/19c3f8c4/2025-2026/Ajax-Stats,34.0
NED-Eredivisie,2526,Excelsior,3,34,34,3060,,56,1.65,186,130,69.9,10,8,16,6,17.6,5,4,0,1,0.0,/en/squads/740cb7d4/2025-2026/Excelsior-Stats,34.0
NED-Eredivisie,2526,Feyenoord,2,34,34,3060,,44,1.29,133,89,66.9,19,8,7,10,29.4,3,3,0,0,0.0,/en/squads/fb4ca611/2025-2026/Feyenoord-Stats,34.0
NED-Eredivisie,2526,Fortuna Sittard,2,34,34,3060,,63,1.85,190,127,66.8,11,6,17,3,8.8,2,1,1,0,50.0,/en/squads/bd08295c/2025-2026/Fortuna-Sittard-Stats,34.0
NED-Eredivisie,2526,Go Ahead Eagles,1,34,34,3060,,53,1.56,201,148,73.6,8,14,12,9,26.5,3,3,0,0,0.0,/en/squads/e33d6108/2025-2026/Go-Ahead-Eagles-Stats,34.0
NED-Eredivisie,2526,Groningen,2,34,34,3060,,45,1.32,138,93,67.4,14,6,14,10,29.4,3,3,0,0,0.0,/en/squads/bec05adb/2025-2026/Groningen-Stats,34.0
NED-Eredivisie,2526,Heerenveen,3,34,34,3060,,53,1.56,182,128,70.9,14,9,11,5,14.7,3,3,0,0,0.0,/en/squads/193ff7aa/2025-2026/Heerenveen-Stats,34.0
NED-Eredivisie,2526,Heracles Almelo,3,34,34,3060,,85,2.5,229,144,62.9,5,4,25,2,5.9,9,8,1,0,11.1,/en/squads/c882b88e/2025-2026/Heracles-Almelo-Stats,34.0
NED-Eredivisie,2526,NAC Breda,2,34,34,3060,,58,1.71,178,119,67.4,6,11,17,6,17.6,3,3,0,0,0.0,/en/squads/8ed04be8/2025-2026/NAC-Breda-Stats,34.0
NED-Eredivisie,2526,NEC Nijmegen,3,34,34,3060,,53,1.56,167,113,68.3,16,11,7,5,14.7,5,4,1,0,20.0,/en/squads/fc629994/2025-2026/NEC-Nijmegen-Stats,34.0
NED-Eredivisie,2526,PSV,3,34,34,3060,,45,1.32,138,93,67.4,27,3,4,7,20.6,4,3,0,1,0.0,/en/squads/e334d850/2025-2026/PSV-Eindhoven-Stats,34.0
NED-Eredivisie,2526,Sparta R.,1,34,34,3060,,62,1.82,198,135,68.7,12,7,15,11,32.4,3,1,2,0,66.7,/en/squads/146a68ce/2025-2026/Sparta-Rotterdam-Stats,34.0
NED-Eredivisie,2526,Telstar,2,34,34,3060,,55,1.62,208,153,73.6,9,10,15,5,14.7,4,3,0,1,0.0,/en/squads/9babc1f9/2025-2026/Telstar-Stats,34.0
NED-Eredivisie,2526,Twente,2,34,34,3060,,40,1.18,123,82,67.5,15,13,6,8,23.5,3,2,0,1,0.0,/en/squads/a1f721d3/2025-2026/Twente-Stats,34.0
NED-Eredivisie,2526,Utrecht,2,34,34,3060,,42,1.24,156,114,73.1,15,8,11,9,26.5,3,1,1,1,50.0,/en/squads/2a428619/2025-2026/Utrecht-Stats,34.0
NED-Eredivisie,2526,Volendam,2,34,34,3060,,55,1.62,207,152,73.4,8,8,18,3,8.8,3,3,0,0,0.0,/en/squads/8783f4ee/2025-2026/Volendam-Stats,34.0
NED-Eredivisie,2526,Zwolle,3,34,34,3060,,71,2.09,210,138,66.2,9,10,15,6,17.6,3,3,0,0,0.0,/en/squads/e3db180b/2025-2026/Zwolle-Stats,34.0
POR-Primeira Liga,2425,AVS Futebol,2,34,34,3060,,60,1.76,175,115,65.7,5,12,17,8,23.5,4,3,1,0,25.0,/en/squads/e5ce5a65/2024-2025/AVS-Futebol-Stats,34.0
POR-Primeira Liga,2425,Arouca,2,34,34,3060,,49,1.44,140,93,65.0,9,11,14,8,23.5,9,9,0,0,0.0,/en/squads/0d36ddd4/2024-2025/Arouca-Stats,34.0
POR-Primeira Liga,2425,Benfica,2,34,34,3060,,28,0.82,106,76,73.6,25,5,4,15,44.1,4,2,2,0,50.0,/en/squads/a77c513e/2024-2025/Benfica-Stats,34.0
POR-Primeira Liga,2425,Boavista,4,34,34,3060,,59,1.74,173,117,65.9,6,6,22,7,20.6,6,6,0,0,0.0,/en/squads/37b7e9e2/Boavista-Stats,34.0
POR-Primeira Liga,2425,Braga,2,34,34,3060,,30,0.88,123,94,75.6,19,9,6,15,44.1,3,3,0,0,0.0,/en/squads/69d84c29/2024-2025/Braga-Stats,34.0
POR-Primeira Liga,2425,Casa Pia,3,34,34,3060,,44,1.29,163,120,73.0,12,9,13,7,20.6,8,7,0,1,0.0,/en/squads/b20a2b76/2024-2025/Casa-Pia-Stats,34.0
POR-Primeira Liga,2425,Estoril,3,34,34,3060,,53,1.56,151,97,64.9,12,10,12,7,20.6,8,7,1,0,12.5,/en/squads/00c41b75/2024-2025/Estoril-Stats,34.0
POR-Primeira Liga,2425,Estrela,4,34,34,3060,,50,1.47,149,99,66.4,7,8,19,7,20.6,7,5,2,0,28.6,/en/squads/0cb9f756/2024-2025/Estrela-Stats,34.0
POR-Primeira Liga,2425,Famalicão,3,34,34,3060,,39,1.15,138,99,71.7,12,11,11,13,38.2,5,4,1,0,20.0,/en/squads/2de656d5/2024-2025/Famalicao-Stats,34.0
POR-Primeira Liga,2425,Farense,2,34,34,3060,,46,1.35,147,102,68.7,6,9,19,7,20.6,8,6,1,1,14.3,/en/squads/489c9cd9/Farense-Stats,34.0
POR-Primeira Liga,2425,Gil Vicente FC,2,34,34,3060,,47,1.38,128,82,63.3,8,10,16,7,20.6,7,6,0,1,0.0,/en/squads/6a329209/2024-2025/Gil-Vicente-FC-Stats,34.0
POR-Primeira Liga,2425,Moreirense,3,34,34,3060,,50,1.47,137,87,63.5,10,10,14,7,20.6,5,5,0,0,0.0,/en/squads/e4502862/2024-2025/Moreirense-Stats,34.0
POR-Primeira Liga,2425,Nacional,2,34,34,3060,,50,1.47,156,106,67.9,9,7,18,8,23.5,11,9,0,2,0.0,/en/squads/5c9eb756/2024-2025/Nacional-Stats,34.0
POR-Primeira Liga,2425,Porto,2,34,34,3060,,30,0.88,93,62,67.7,22,5,7,16,47.1,8,6,2,0,25.0,/en/squads/5e876ee6/2024-2025/Porto-Stats,34.0
POR-Primeira Liga,2425,Rio Ave,3,34,34,3060,,55,1.62,169,119,67.5,9,11,14,5,14.7,3,3,0,0,0.0,/en/squads/eea856da/2024-2025/Rio-Ave-Stats,34.0
POR-Primeira Liga,2425,Santa Clara,1,34,34,3060,,32,0.94,114,81,71.9,17,6,11,11,32.4,6,4,1,1,20.0,/en/squads/f5b64cb1/2024-2025/Santa-Clara-Stats,34.0
POR-Primeira Liga,2425,Sporting CP,3,34,34,3060,,27,0.79,73,48,63.0,25,7,2,15,44.1,4,4,0,0,0.0,/en/squads/13dc44fd/2024-2025/Sporting-CP-Stats,34.0
POR-Primeira Liga,2425,Vit. Guimarães,1,34,34,3060,,37,1.09,100,63,63.0,14,12,8,13,38.2,7,5,0,2,0.0,/en/squads/3f319bc9/2024-2025/Vitoria-Guimaraes-Stats,34.0
POR-Primeira Liga,2526,AVS Futebol,4,34,34,3060,,67,1.97,184,116,63.6,3,12,19,5,14.7,7,6,0,1,0.0,/en/squads/e5ce5a65/AVS-Futebol-Stats,34.0
POR-Primeira Liga,2526,Alverca,2,34,34,3060,,52,1.53,149,97,65.1,10,9,15,6,17.6,6,4,1,1,20.0,/en/squads/8bbf8a25/2025-2026/Alverca-Stats,34.0
POR-Primeira Liga,2526,Arouca,4,34,34,3060,,64,1.88,154,90,58.4,12,6,16,7,20.6,9,7,1,1,12.5,/en/squads/0d36ddd4/2025-2026/Arouca-Stats,34.0
POR-Primeira Liga,2526,Benfica,2,34,34,3060,,25,0.74,107,82,76.6,23,11,0,14,41.2,4,2,2,0,50.0,/en/squads/a77c513e/2025-2026/Benfica-Stats,34.0
POR-Primeira Liga,2526,Braga,3,34,34,3060,,36,1.06,110,74,67.3,16,11,7,12,35.3,6,3,2,1,40.0,/en/squads/69d84c29/2025-2026/Braga-Stats,34.0
POR-Primeira Liga,2526,Casa Pia,3,34,34,3060,,59,1.74,155,95,61.9,6,12,16,7,20.6,12,11,0,1,0.0,/en/squads/b20a2b76/2025-2026/Casa-Pia-Stats,34.0
POR-Primeira Liga,2526,Estoril,2,34,34,3060,,57,1.68,149,92,61.7,10,9,15,5,14.7,8,8,0,0,0.0,/en/squads/00c41b75/2025-2026/Estoril-Stats,34.0
POR-Primeira Liga,2526,Estrela,2,34,34,3060,,56,1.65,153,97,63.4,6,12,16,8,23.5,12,10,2,0,16.7,/en/squads/0cb9f756/2025-2026/Estrela-Stats,34.0
POR-Primeira Liga,2526,Famalicão,1,34,34,3060,,29,0.85,124,93,76.6,15,11,8,17,50.0,7,6,1,0,14.3,/en/squads/2de656d5/2025-2026/Famalicao-Stats,34.0
POR-Primeira Liga,2526,Gil Vicente FC,3,34,34,3056,,38,1.12,121,83,68.6,13,11,10,12,35.3,7,4,3,0,42.9,/en/squads/6a329209/2025-2026/Gil-Vicente-FC-Stats,34.0
POR-Primeira Liga,2526,Moreirense,3,34,34,3060,,49,1.44,150,101,67.3,12,7,15,9,26.5,13,12,1,0,7.7,/en/squads/e4502862/2025-2026/Moreirense-Stats,34.0
POR-Primeira Liga,2526,Nacional,2,34,34,3060,,45,1.32,147,102,69.4,9,7,18,8,23.5,9,4,4,1,50.0,/en/squads/5c9eb756/2025-2026/Nacional-Stats,34.0
POR-Primeira Liga,2526,Porto,3,34,34,3060,,18,0.53,80,62,77.5,28,4,2,21,61.8,2,1,1,0,50.0,/en/squads/5e876ee6/2025-2026/Porto-Stats,34.0
POR-Primeira Liga,2526,Rio Ave,3,34,34,3060,,57,1.68,172,115,66.9,8,12,14,6,17.6,3,3,0,0,0.0,/en/squads/eea856da/2025-2026/Rio-Ave-Stats,34.0
POR-Primeira Liga,2526,Santa Clara,2,34,34,3060,,41,1.21,122,81,66.4,9,9,16,10,29.4,7,6,1,0,14.3,/en/squads/f5b64cb1/2025-2026/Santa-Clara-Stats,34.0
POR-Primeira Liga,2526,Sporting CP,2,34,34,3060,,24,0.71,101,77,76.2,25,7,2,15,44.1,5,4,1,0,20.0,/en/squads/13dc44fd/2025-2026/Sporting-CP-Stats,34.0
POR-Primeira Liga,2526,Tondela,1,34,34,3060,,55,1.62,169,113,67.5,6,10,18,7,20.6,10,8,1,1,11.1,/en/squads/e442fa76/Tondela-Stats,34.0
POR-Primeira Liga,2526,Vit. Guimarães,2,34,34,3060,,51,1.5,157,106,67.5,12,6,16,10,29.4,5,4,0,1,0.0,/en/squads/3f319bc9/2025-2026/Vitoria-Guimaraes-Stats,34.0
