,,,players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url,Playing Time
,,,Unnamed: 3_level_1,MP,Starts,Min,Unnamed: 7_level_1,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Unnamed: 23_level_1,90s
league,season,team,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Fulham,1,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0,/en/squads/fd962109/2025-2026/Fulham-Stats,
ENG-Premier League,2526,Leeds United,2,38,38,3420,38.0,56,1.47,157,101,64.3,11,14,13,8,21.1,6,6,0,0,0.0,/en/squads/5bfb9659/2025-2026/Leeds-United-Stats,
ENG-Premier League,2526,Liverpool,3,38,38,3420,38.0,53,1.39,152,99,65.1,17,9,12,10,26.3,4,3,1,0,25.0,/en/squads/822bd0ba/2025-2026/Liverpool-Stats,
ENG-Premier League,2526,Manchester City,2,38,38,3420,38.0,35,0.92,126,89,72.2,23,9,6,16,42.1,2,1,1,0,50.0,/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats,
ENG-Premier League,2526,Manchester Utd,2,38,38,3420,38.0,50,1.32,142,91,64.8,20,11,7,8,21.1,4,4,0,0,0.0,/en/squads/19538871/2025-2026/Manchester-United-Stats,
ENG-Premier League,2526,Newcastle,2,38,38,3420,38.0,55,1.45,168,113,67.3,14,7,17,8,21.1,5,5,0,0,0.0,/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats,
ENG-Premier League,2526,Nottingham,4,38,38,3420,38.0,51,1.34,158,107,67.7,11,11,16,9,23.7,6,5,1,0,16.7,/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats,
ENG-Premier League,2526,Sunderland,2,38,38,3420,38.0,48,1.26,166,118,71.1,14,12,12,11,28.9,3,2,1,0,33.3,/en/squads/8ef52968/2025-2026/Sunderland-Stats,
ENG-Premier League,2526,Tottenham,2,38,38,3420,38.0,57,1.5,150,93,62.0,10,11,17,9,23.7,3,3,0,0,0.0,/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats,
ENG-Premier League,2526,West Ham,2,38,38,3420,38.0,65,1.71,195,129,66.7,10,9,19,7,18.4,7,6,0,1,0.0,/en/squads/7c21e445/2025-2026/West-Ham-United-Stats,
ENG-Premier League,2526,Wolves,3,38,38,3420,38.0,68,1.79,179,111,62.0,3,11,24,4,10.5,5,5,0,0,0.0,/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats,
ESP-La Liga,2425,Alavés,3,38,38,3419,38.0,48,1.26,132,86,63.6,10,12,16,9,23.7,11,11,0,0,0.0,/en/squads/8d6fd021/2024-2025/Alaves-Stats,
ESP-La Liga,2425,Athletic Club,3,38,38,3417,38.0,29,0.76,113,83,74.3,19,13,6,15,39.5,5,3,2,0,40.0,/en/squads/2b390eca/2024-2025/Athletic-Club-Stats,
ESP-La Liga,2425,Atlético Madrid,2,38,38,3420,38.0,30,0.79,116,88,74.1,22,10,6,17,44.7,5,5,0,0,0.0,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats,
ESP-La Liga,2425,Barcelona,3,38,38,3420,38.0,39,1.03,108,69,63.9,28,4,6,13,34.2,4,4,0,0,0.0,/en/squads/206d90db/2024-2025/Barcelona-Stats,
ESP-La Liga,2425,Celta Vigo,2,38,38,3420,38.0,57,1.5,145,89,60.7,16,7,15,8,21.1,4,3,1,0,25.0,/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats,
ESP-La Liga,2425,Espanyol,1,38,38,3420,38.0,51,1.34,193,141,73.6,11,9,18,8,21.1,6,4,2,0,33.3,/en/squads/a8661628/2024-2025/Espanyol-Stats,
ESP-La Liga,2425,Getafe,1,38,38,3420,38.0,39,1.03,126,86,69.0,11,9,18,9,23.7,9,8,1,0,11.1,/en/squads/7848bd64/2024-2025/Getafe-Stats,
ESP-La Liga,2425,Girona,3,38,38,3420,38.0,60,1.58,164,102,63.4,11,8,19,8,21.1,6,3,3,0,50.0,/en/squads/9024a00a/2024-2025/Girona-Stats,
ESP-La Liga,2425,Las Palmas,2,38,38,3420,38.0,61,1.61,182,120,66.5,8,8,22,4,10.5,10,5,4,1,44.4,/en/squads/0049d422/2024-2025/Las-Palmas-Stats,
ESP-La Liga,2425,Leganés,2,38,38,3420,38.0,56,1.47,175,122,68.0,9,13,16,11,28.9,8,7,0,1,0.0,/en/squads/7c6f2c78/2024-2025/Leganes-Stats,
ESP-La Liga,2425,Mallorca,2,38,38,3420,38.0,44,1.16,165,122,73.3,13,9,16,9,23.7,3,3,0,0,0.0,/en/squads/2aa12281/2024-2025/Mallorca-Stats,
ESP-La Liga,2425,Osasuna,2,38,38,3420,38.0,52,1.37,187,136,72.2,12,16,10,9,23.7,7,7,0,0,0.0,/en/squads/03c57e2b/2024-2025/Osasuna-Stats,
ESP-La Liga,2425,Rayo Vallecano,2,38,38,3420,38.0,45,1.18,153,107,70.6,13,13,12,10,26.3,8,6,2,0,25.0,/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats,
ESP-La Liga,2425,Real Betis,3,38,38,3420,38.0,50,1.32,141,92,64.5,16,12,10,7,18.4,4,4,0,0,0.0,/en/squads/fc536746/2024-2025/Real-Betis-Stats,
ESP-La Liga,2425,Real Madrid,3,38,38,3420,38.0,38,1.0,126,89,69.8,26,6,6,15,39.5,3,3,0,0,0.0,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats,
ESP-La Liga,2425,Real Sociedad,2,38,38,3420,38.0,46,1.21,142,94,67.6,13,7,18,13,34.2,7,5,2,0,28.6,/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats,
ESP-La Liga,2425,Sevilla,2,38,38,3420,38.0,55,1.45,148,93,62.8,10,11,17,10,26.3,6,5,1,0,16.7,/en/squads/ad2be733/2024-2025/Sevilla-Stats,
ESP-La Liga,2425,Valencia,2,38,38,3420,38.0,54,1.42,148,95,63.5,11,13,14,8,21.1,9,6,2,1,25.0,/en/squads/dcc91a7b/2024-2025/Valencia-Stats,
ESP-La Liga,2425,Valladolid,3,38,38,3420,38.0,90,2.37,204,115,55.9,4,4,30,5,13.2,7,7,0,0,0.0,/en/squads/17859612/2024-2025/Valladolid-Stats,
ESP-La Liga,2425,Villarreal,2,38,38,3420,38.0,51,1.34,160,110,68.1,20,10,8,7,18.4,8,7,0,1,0.0,/en/squads/2a8183b3/2024-2025/Villarreal-Stats,
ESP-La Liga,2526,Alavés,1,38,38,3420,38.0,56,1.47,153,97,63.4,11,10,17,5,13.2,5,5,0,0,0.0,/en/squads/8d6fd021/2025-2026/Alaves-Stats,
ESP-La Liga,2526,Athletic Club,2,38,38,3420,38.0,58,1.53,159,101,63.5,13,6,19,6,15.8,6,3,2,1,40.0,/en/squads/2b390eca/2025-2026/Athletic-Club-Stats,
ESP-La Liga,2526,Atlético Madrid,2,38,38,3420,38.0,44,1.16,141,97,68.8,21,6,11,14,36.8,6,5,0,1,0.0,/en/squads/db3b9613/2025-2026/Atletico-Madrid-Stats,
ESP-La Liga,2526,Barcelona,2,38,38,3420,38.0,36,0.95,132,96,72.7,31,1,6,15,39.5,5,4,1,0,20.0,/en/squads/206d90db/2025-2026/Barcelona-Stats,
ESP-La Liga,2526,Celta Vigo,1,38,38,3420,38.0,48,1.26,159,111,69.8,14,12,12,10,26.3,11,6,2,3,25.0,/en/squads/f25da7fb/2025-2026/Celta-Vigo-Stats,
ESP-La Liga,2526,Elche,2,38,38,3420,38.0,57,1.5,176,119,67.6,10,13,15,8,21.1,7,6,0,1,0.0,/en/squads/6c8b07df/2025-2026/Elche-Stats,
ESP-La Liga,2526,Espanyol,2,38,38,3420,38.0,55,1.45,190,135,71.1,12,10,16,10,26.3,5,5,0,0,0.0,/en/squads/a8661628/2025-2026/Espanyol-Stats,
ESP-La Liga,2526,Getafe,1,38,38,3420,38.0,38,1.0,154,115,75.3,15,6,17,12,31.6,4,1,2,1,66.7,/en/squads/7848bd64/2025-2026/Getafe-Stats,
ESP-La Liga,2526,Girona,3,38,38,3418,38.0,55,1.45,178,123,69.1,9,14,15,6,15.8,6,5,0,1,0.0,/en/squads/9024a00a/2025-2026/Girona-Stats,
ESP-La Liga,2526,Levante,2,38,38,3420,38.0,61,1.61,196,135,68.9,11,9,18,9,23.7,4,3,1,0,25.0,/en/squads/9800b6a1/2025-2026/Levante-Stats,
ESP-La Liga,2526,Mallorca,2,38,38,3420,38.0,57,1.5,171,114,66.7,11,9,18,6,15.8,8,6,1,1,14.3,/en/squads/2aa12281/2025-2026/Mallorca-Stats,
ESP-La Liga,2526,Osasuna,2,38,38,3420,38.0,50,1.32,172,122,70.9,11,9,18,7,18.4,9,9,0,0,0.0,/en/squads/03c57e2b/2025-2026/Osasuna-Stats,
ESP-La Liga,2526,Oviedo,2,38,38,3420,38.0,60,1.58,209,149,71.3,6,11,21,10,26.3,7,5,2,0,28.6,/en/squads/ab358912/2025-2026/Oviedo-Stats,
ESP-La Liga,2526,Rayo Vallecano,2,38,38,3420,38.0,44,1.16,154,110,71.4,12,14,12,12,31.6,8,6,2,0,25.0,/en/squads/98e8af82/2025-2026/Rayo-Vallecano-Stats,
ESP-La Liga,2526,Real Betis,3,38,38,3420,38.0,48,1.26,170,122,71.8,15,15,8,10,26.3,7,4,2,1,33.3,/en/squads/fc536746/2025-2026/Real-Betis-Stats,
ESP-La Liga,2526,Real Madrid,2,38,38,3420,38.0,35,0.92,121,86,71.1,27,5,6,14,36.8,4,4,0,0,0.0,/en/squads/53a2f082/2025-2026/Real-Madrid-Stats,
ESP-La Liga,2526,Real Sociedad,2,38,38,3420,38.0,61,1.61,167,106,63.5,11,13,14,3,7.9,5,5,0,0,0.0,/en/squads/e31d1cd9/2025-2026/Real-Sociedad-Stats,
ESP-La Liga,2526,Sevilla,2,38,38,3420,38.0,60,1.58,159,99,62.3,12,7,19,6,15.8,11,9,1,1,10.0,/en/squads/ad2be733/2025-2026/Sevilla-Stats,
ESP-La Liga,2526,Valencia,2,38,38,3420,38.0,55,1.45,160,104,65.6,13,10,15,9,23.7,8,6,1,1,14.3,/en/squads/dcc91a7b/2025-2026/Valencia-Stats,
ESP-La Liga,2526,Villarreal,2,38,38,3420,38.0,46,1.21,148,102,68.9,22,6,10,8,21.1,8,7,1,0,12.5,/en/squads/2a8183b3/2025-2026/Villarreal-Stats,
FRA-Ligue 1,2425,Angers,2,34,34,3060,34.0,53,1.56,190,137,72.1,10,6,18,7,20.6,5,4,0,1,0.0,/en/squads/69236f98/2024-2025/Angers-Stats,
FRA-Ligue 1,2425,Auxerre,2,34,34,3060,34.0,51,1.5,173,123,70.5,11,9,14,10,29.4,8,6,2,0,25.0,/en/squads/5ae09109/2024-2025/Auxerre-Stats,
FRA-Ligue 1,2425,Brest,2,34,34,3060,34.0,59,1.74,141,83,58.2,15,5,14,10,29.4,10,8,1,1,11.1,/en/squads/fb08dbb3/2024-2025/Brest-Stats,
FRA-Ligue 1,2425,Le Havre,2,34,34,3060,34.0,71,2.09,175,104,59.4,10,4,20,4,11.8,6,5,1,0,16.7,/en/squads/5c2737db/2024-2025/Le-Havre-Stats,
FRA-Ligue 1,2425,Lens,3,34,34,3060,34.0,39,1.15,142,102,72.5,15,7,12,13,38.2,9,8,1,0,11.1,/en/squads/fd4e0f7d/2024-2025/Lens-Stats,
FRA-Ligue 1,2425,Lille,1,34,34,3060,34.0,36,1.06,126,91,71.4,17,9,8,11,32.4,4,4,0,0,0.0,/en/squads/cb188c0c/2024-2025/Lille-Stats,
FRA-Ligue 1,2425,Lyon,2,34,34,3060,34.0,46,1.35,166,120,72.3,17,6,11,10,29.4,3,3,0,0,0.0,/en/squads/d53c0b06/2024-2025/Lyon-Stats,
FRA-Ligue 1,2425,Marseille,1,34,34,3060,34.0,47,1.38,135,87,65.2,20,5,9,5,14.7,6,3,3,0,50.0,/en/squads/5725cc7b/2024-2025/Marseille-Stats,
FRA-Ligue 1,2425,Monaco,2,34,34,3060,34.0,41,1.21,128,87,68.0,18,7,9,11,32.4,3,3,0,0,0.0,/en/squads/fd6114db/2024-2025/Monaco-Stats,
FRA-Ligue 1,2425,Montpellier,2,34,34,3060,34.0,79,2.32,194,117,59.3,4,4,26,1,2.9,9,8,1,0,11.1,/en/squads/281b0e73/2024-2025/Montpellier-Stats,
FRA-Ligue 1,2425,Nantes,3,34,34,3060,34.0,52,1.53,148,99,64.9,8,12,14,6,17.6,8,7,0,1,0.0,/en/squads/d7a486cd/2024-2025/Nantes-Stats,
FRA-Ligue 1,2425,Nice,1,34,34,3060,34.0,41,1.21,161,120,74.5,17,9,8,8,23.5,3,2,1,0,33.3,/en/squads/132ebc33/2024-2025/Nice-Stats,
FRA-Ligue 1,2425,PSG,3,34,34,3060,34.0,35,1.03,103,69,66.0,26,6,2,7,20.6,3,3,0,0,0.0,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats,
FRA-Ligue 1,2425,Reims,1,34,34,3060,34.0,47,1.38,179,131,73.7,8,9,17,7,20.6,5,4,1,0,20.0,/en/squads/7fdd64e0/2024-2025/Reims-Stats,
FRA-Ligue 1,2425,Rennes,3,34,34,3060,34.0,50,1.47,138,87,63.8,13,2,19,11,32.4,6,3,3,0,50.0,/en/squads/b3072e00/2024-2025/Rennes-Stats,
FRA-Ligue 1,2425,Saint-Étienne,1,34,34,3060,34.0,77,2.26,209,132,63.2,8,6,20,5,14.7,15,13,2,0,13.3,/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats,
FRA-Ligue 1,2425,Strasbourg,2,34,34,3060,34.0,44,1.29,169,126,74.0,16,9,9,10,29.4,9,8,1,0,11.1,/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats,
FRA-Ligue 1,2425,Toulouse,3,34,34,3060,34.0,43,1.26,110,67,60.9,11,9,14,10,29.4,2,1,1,0,50.0,/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats,
FRA-Ligue 1,2526,Angers,3,34,34,3060,34.0,48,1.41,183,134,73.8,9,9,16,10,29.4,6,3,2,1,40.0,/en/squads/69236f98/2025-2026/Angers-Stats,
FRA-Ligue 1,2526,Auxerre,2,34,34,3058,34.0,44,1.29,154,110,71.4,8,10,16,9,26.5,5,3,2,0,40.0,/en/squads/5ae09109/2025-2026/Auxerre-Stats,
FRA-Ligue 1,2526,Brest,2,34,34,3056,34.0,58,1.71,160,102,63.8,10,9,15,9,26.5,5,4,1,0,20.0,/en/squads/fb08dbb3/2025-2026/Brest-Stats,
FRA-Ligue 1,2526,Le Havre,3,34,34,3060,34.0,44,1.29,141,97,68.8,7,14,13,8,23.5,8,6,2,0,25.0,/en/squads/5c2737db/2025-2026/Le-Havre-Stats,
FRA-Ligue 1,2526,Lens,2,34,34,3060,34.0,35,1.03,115,80,69.6,22,4,8,12,35.3,6,3,2,1,40.0,/en/squads/fd4e0f7d/2025-2026/Lens-Stats,
FRA-Ligue 1,2526,Lille,2,34,34,3060,34.0,37,1.09,112,74,67.0,18,7,9,13,38.2,4,2,1,1,33.3,/en/squads/cb188c0c/2025-2026/Lille-Stats,
FRA-Ligue 1,2526,Lorient,2,34,34,3060,34.0,51,1.5,135,84,62.2,11,12,11,7,20.6,6,4,0,2,0.0,/en/squads/d2c87802/2025-2026/Lorient-Stats,
FRA-Ligue 1,2526,Lyon,2,34,34,3060,34.0,40,1.18,132,91,69.7,18,6,10,15,44.1,5,2,3,0,60.0,/en/squads/d53c0b06/2025-2026/Lyon-Stats,
FRA-Ligue 1,2526,Marseille,2,34,34,3060,34.0,45,1.32,134,89,66.4,18,5,11,9,26.5,6,5,0,1,0.0,/en/squads/5725cc7b/2025-2026/Marseille-Stats,
