player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_bigChancesCreated,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_wasFouled,ss_dispossessed,ss_possessionLost,ss_successfulDribbles,ss_touches,ss_aerialDuelsWon,ss_totalDuelsWon,ss_minutesPlayed,season_nineties,age,league,team,seasons,fifa_value_eur,fifa_contract_end,fifa_pace,fifa_release_clause_eur,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,fifa_best_position,fifa_defensive_work_rate,fifa_stamina,fifa_aggression,pos,team_poss,np_xg_p90,npxg_per_shot,xa_p90,xg_chain_p90,key_passes_p90,big_chances_created_p90,press_won_att3rd_p90,ball_recov_p90,fouled_p90,dispossessed_p90,dribbles_p90,box_shot_share,np_g_minus_xg,FINISH,LINK,PRESS,HOLDUP,SPACE,gates_passed,score,role
Jeong Woo-yeong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,25.0,GER-Bundesliga,Union Berlin,2,4000000.0,2028.0,76.0,7500000.0,,,,CAM,,75.0,55.0,"MF,FW",40.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-1.9704731245288212,-2.347158190412207,,-0.7923766982582044,0,,wide/AM
Karl Etta Eyong,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,1.0,2.0,46.0,18.9,21.0,ESP-La Liga,Villarreal,2,12500000.0,2029.0,80.0,30000000.0,100.0,50.0,0.0,ST,,73.0,71.0,FW,46.05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.052910052910052914,0.0,0.0,0.5,0.0,,-1.9704731245288212,-2.347158190412207,1.2693851570216643,-0.488869479351532,1,,CF
Lee Kang-in,7.469039410352707,13.416728226467967,32.700470270588994,78.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,24.0,FRA-Ligue 1,PSG,2,29000000.0,2028.0,72.0,55800000.0,,,,CAM,,73.0,72.0,"MF,FW",68.4,0.2109898138517714,0.0957569155173424,0.37900362221660927,0.9237420980392371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.530960589647293,-0.6847720092892237,1.0831622347066858,-2.347158190412207,,-1.0958839171648767,1,,wide/AM
Mama Samba Baldé,6.358260685577989,2.833387702703476,10.113561248406768,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,29.0,FRA-Ligue 1,Brest,2,3000000.0,2027.0,88.0,6000000.0,,,,LW,,75.0,73.0,"FW,MF",45.95,0.29991795686688627,0.10423378173078669,0.13365036333506963,0.4770547758682438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-2.3582606855779886,-0.28130685477382494,-0.687792021147417,-2.347158190412207,,0.11814495846181272,0,,wide/AM
Mathias Pereira Lage,0.0,0.0,0.0,0.0,0.0,50.0,79.0,13.0,47.0,24.0,143.0,60.0,41.0,574.0,25.0,1707.0,85.0,238.0,3626.0,39.9,28.0,FRA-Ligue 1,Brest,2,3100000.0,2028.0,84.0,5600000.0,43.786795626577,47.881188899400996,69.78397747907451,RW,,86.0,44.0,"MF,FW",45.95,0.0,,0.0,0.0,1.1779448621553885,0.32581453634085217,0.6015037593984962,3.5839598997493733,1.5037593984962407,1.0275689223057645,0.6265664160401003,0.6329113924050633,0.0,,-1.3396827408487255,0.301677102079452,0.41933737151807754,0.17492713016330816,2,,wide/AM
Miguel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,24.0,ESP-La Liga,Leganés,1,,,,,,,,,,,,FW,42.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,-1.9704731245288212,-2.347158190412207,,-0.5816896482404653,0,,?
Musa Al-Taamari,9.594095591455698,8.328953762538731,25.347895494662225,105.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3,28.0,FRA-Ligue 1,Montpellier,2,,,,,,,,,,,,"MF,FW",45.3,0.22157264645394223,0.09137233896624475,0.19235459035886215,0.5854017435256865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.594095591455698,-0.6849796518626684,-0.2620653008620402,-2.347158190412207,,-0.5816896482404653,0,,?
Oliver McBurnie,6.037325001321733,3.4504245165735483,10.23814307153225,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,28.0,ESP-La Liga,Las Palmas,1,,,,,,,,,,,,FW,50.7,0.2959473039863595,0.18866640629130416,0.16913845669478178,0.5018697584084436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3.037325001321733,0.4589699043388043,-0.4857802980817701,-2.347158190412207,,-0.5816896482404653,0,,?
Peque,2.712985484860837,1.9529281035065653,8.569182446226478,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,22.0,ESP-La Liga,Sevilla,2,8500000.0,2028.0,77.0,19600000.0,,,,CAM,,72.0,49.0,"MF,FW",50.75,0.115446190845142,0.07979369073120109,0.08310332355347086,0.3646460615415522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.287014515139163,-1.1795483745110382,-1.080371205915788,-2.347158190412207,,-0.7164998935315363,0,,wide/AM
Raúl,1.585894649848342,1.222257788758725,20.319209448993206,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,24.0,ESP-La Liga,Osasuna,2,,,,,,,,,,,,FW,46.45,0.07969319848484131,0.09328792057931423,0.061419989384860554,1.0210658014569451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.41410535015165806,-1.1906364338628432,-0.2901059459506999,-2.347158190412207,,-0.5816896482404653,0,,?
Toni Martínez,0.0,0.0,0.0,0.0,0.0,104.0,139.0,6.0,35.0,33.0,115.0,50.0,47.0,573.0,26.0,1553.0,258.0,372.0,3738.0,41.4,28.0,ESP-La Liga,Alavés,2,11000000.0,2028.0,78.0,24200000.0,54.3096269153895,47.430441898527,59.3847357100955,ST,,75.0,69.0,FW,46.7,0.0,,0.0,0.0,0.8454106280193237,0.14492753623188406,0.7971014492753623,2.7777777777777777,1.2077294685990339,1.1352657004830917,0.6280193236714976,0.7482014388489209,0.0,,-1.5789276564935253,0.6767264715426249,0.48960313089387963,-0.2794982445373192,2,,CF
