player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,us_np_xg_adj,us_xa_adj,us_xg_chain_adj,us_shots_adj,ss_shotsFromInsideTheBox_adj,ss_totalShots_adj,ss_bigChancesCreated_adj,ss_keyPasses_adj,ss_possessionWonAttThird_adj,ss_ballRecovery_adj,ss_tackles_adj,ss_wasFouled_adj,ss_dispossessed_adj,ss_aerialDuelsWon_adj,ss_successfulDribbles_adj,ss_touches_adj,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,ss_topSpeed,ss_numberOfSprints,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,sprints_p90,goals_p90,ga_p90,ss_shotsFromInsideTheBox_padj90,us_np_xg_padj90,ss_possessionWonAttThird_padj90,ss_ballRecovery_padj90,ss_tackles_padj90,ss_wasFouled_padj90,ss_dispossessed_padj90,us_xa_padj90,us_xg_chain_padj90,ss_keyPasses_padj90,ss_bigChancesCreated_padj90,ss_successfulDribbles_padj90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Iliman Ndiaye,10.19399249739945,6.365733444690705,26.972875125706196,80.0,11.0,58.0,80.0,15.0,10.0,6.0,48.0,42.0,350.0,123.0,89.0,108.0,19.0,141.0,2822.0,15.0,3,11.822089646613456,7.258043549648018,31.024619153031715,92.24401312924942,66.96992330106843,92.24401312924942,11.401865559165355,55.01393308101953,48.15698161235221,303.2965235173824,107.02862985685071,103.47936832233648,124.05841176273572,16.5439672801636,162.8007334963325,3249.2232307331615,57.9,57.9,25.0,ENG-Premier League,Everton,"MF,FW",2,36500000.0,72100000.0,2029.0,86.0,87.0,79.0,35.18,507.0,66.0,86.0,59.0,80.0,RM,82.0,83.0,26.516942474389502,50.928951623770004,84.451295001315,19.1389063482085,0.17606204658720984,0.1274249062174931,1.381692573402418,1.001727115716753,0.725,0.7253886010362695,6.0449050086355784,2.1243523316062176,1.53713298791019,0.3281519861830743,1.8652849740932642,0.10994358280985675,0.4658527655562383,0.8290155440414508,0.17271157167530224,2.435233160621762,0.8060075026005507,8.756476683937825,0.2590673575129534,0.31088082901554404,1.1566480708301976,0.20418116833529285,0.8317267981407982,5.238281926034238,1.8485082876830867,1.787208433891822,2.1426323275083887,0.12535481087474987,0.5358310734547792,0.9501542846462786,0.19692341207539474,2.811757055204361,True,59.0,22.0,91.0,55.0,51.0,72.0,56.2,22.0,False
Rodrigo Muniz,11.383613789454103,1.742494654841721,12.524309318512678,72.0,9.0,66.0,71.0,8.0,2.0,11.0,15.0,10.0,29.0,18.0,49.0,36.0,145.0,11.0,703.0,9.0,2,10.692890810163401,1.6396488878563202,11.762530281821505,67.66654215561908,62.02404665835771,66.73155171584852,1.8808318324204578,14.111664219593106,9.404159162102289,30.83231083844581,19.153374233128833,46.00984870058545,33.78986726629215,154.12474437627813,10.339149601872844,660.9007955146436,21.799999999999997,21.799999999999997,24.0,ENG-Premier League,Fulham,FW,2,11500000.0,22700000.0,2030.0,68.0,68.0,78.0,35.4,214.0,78.0,71.0,77.0,78.0,ST,76.0,81.0,52.299843014128996,46.3721210296555,54.06926406926401,11.8189102564105,0.5221841187822983,0.15810574707575142,3.3027522935779823,3.027522935779817,0.9295774647887324,0.4587155963302753,1.3302752293577984,0.8256880733944956,2.247706422018349,6.651376146788992,1.6513761467889911,0.07993094746980373,0.5745096017666367,0.6880733944954129,0.09174311926605505,0.5045871559633028,-2.3836137894541025,9.816513761467892,0.4128440366972478,0.5045871559633028,2.8451397549705377,0.4904995784478625,0.43138344780285737,1.414326185249808,0.8785951483086621,2.1105435183754797,1.5499939112978052,0.07521325173652846,0.5395656092578672,0.6473240467703261,0.08627668956057147,0.474272917517103,True,56.0,93.0,26.0,76.0,21.0,50.0,56.1,21.0,True
Ollie Watkins,35.93784612324089,6.692425791174173,40.64644593372941,167.0,30.0,153.0,167.0,31.0,11.0,46.0,48.0,27.0,92.0,32.0,65.0,93.0,88.0,36.0,1671.0,32.0,11,33.71281810215826,6.317897596423138,38.10384892176252,156.9196194479783,143.9979091763925,156.9196194479783,10.420675922340836,45.152054870291494,25.22131755074949,98.21676891615543,34.48670756646217,61.094120250013816,87.572266165164,93.2351738241309,33.35914597046296,1566.8754798384866,60.4,60.4,29.0,ENG-Premier League,Aston Villa,FW,2,30500000.0,58000000.0,2028.0,77.0,77.0,84.0,35.01,591.0,76.0,77.0,84.0,85.0,ST,82.0,82.0,39.989759344598,37.322557749387,73.42183250111651,19.162363740677,0.5949974523715379,0.21519668337269993,2.7649006622516556,2.533112582781457,0.9161676646706587,0.4470198675496689,1.5231788079470199,0.5298013245033113,1.076158940397351,1.456953642384106,1.5397350993377483,0.11080175150950618,0.6729544028763148,0.794701986754967,0.18211920529801326,0.5960264900662252,-5.937846123240888,9.78476821192053,0.5298013245033113,0.7119205298013245,2.3840713439800085,0.5581592401019579,0.4175714826283028,1.6261054456317126,0.5709719795771883,1.0114920571194341,1.4498719563768874,0.10460095358316454,0.6308584258569954,0.7475505773227069,0.17252774705862312,0.5523037412328305,True,89.0,89.0,21.0,36.0,43.0,46.0,56.0,21.0,False
Mikel Oyarzabal,18.14873036928475,8.858953930437565,34.40441262163222,122.0,13.0,98.0,122.0,20.0,17.0,27.0,57.0,37.0,141.0,54.0,64.0,74.0,72.0,45.0,2073.0,24.0,7,16.975284978754576,8.315979676780849,32.170039824984094,114.38773668992805,91.59913258983892,114.38773668992805,16.027500597839083,53.66891671558078,34.693178112567665,150.37423312883436,57.92842535787321,60.03137024717929,69.20917846040132,77.22085889570553,42.49608687145373,1940.8477575599472,55.1,55.1,28.0,ESP-La Liga,Real Sociedad,FW,2,,,,,,,34.35,671.0,,,,,,,,32.831275033378,47.5332068311195,75.5598455598455,19.958787165146,0.3293780466294873,0.1487600849941373,2.2141560798548094,1.778584392014519,0.8032786885245902,0.6715063520871143,2.558983666061706,0.9800362976406534,1.161524500907441,1.306715063520871,1.3430127041742286,0.16077956316583603,0.6243995031149223,1.0344827586206897,0.308529945553539,0.8166969147005444,-5.148730369284749,12.17785843920145,0.4355716878402904,0.5626134301270417,1.6624161994526119,0.3080813970735858,0.6296402561264549,2.7291149388173204,1.051332583627463,1.0894985525803864,1.2560649448348695,0.15092522099420777,0.5838482726857367,0.9740275265985622,0.290880228635918,0.7712538452169461,True,72.0,49.0,58.0,49.0,58.0,44.0,55.9,44.0,False
Amad Diallo,10.475873640738428,10.403144674375653,30.946167511865497,101.0,10.0,70.0,100.0,9.0,14.0,7.0,90.0,39.0,222.0,76.0,66.0,60.0,23.0,80.0,2734.0,10.0,9,9.73660434074198,9.667795351983653,28.811774289450604,93.8374912214359,65.0520663389336,92.89529468964398,12.993506563664848,83.41697369131867,35.92850737399384,239.18609406952964,81.90593047034764,61.39599157257847,55.54556750040517,24.738241308793455,74.22043109502458,2538.7987466911563,47.1,47.1,23.0,ENG-Premier League,Manchester Utd,"MF,FW",2,,,,,,,35.24,662.0,,,,,,,,40.3125,50.4421853045705,86.945477813931,10.3974307507027,0.22241769937873518,0.10372152119542997,2.1443736730360934,1.4861995753715498,0.7,0.8280254777070063,4.713375796178344,1.613588110403397,1.4012738853503184,0.4883227176220807,1.2738853503184713,0.2208735599655128,0.6570311573644478,1.910828025477707,0.29723991507430997,1.6985138004246283,-0.47587364073842764,14.0552016985138,0.21231422505307854,0.4033970276008492,1.3811479052852145,0.20672196052530742,0.762813320042332,5.078261020584494,1.7389794155063194,1.3035242372097338,1.1793114118981989,0.2052610478128164,0.6117149530668918,1.7710610125545365,0.27587062767865916,1.575805331104556,True,23.0,25.0,87.0,63.0,81.0,77.0,55.9,23.0,False
Lucas Stassin,8.409047394990921,3.849006508477032,12.509913020767272,44.0,12.0,36.0,44.0,11.0,7.0,2.0,18.0,8.0,37.0,16.0,26.0,20.0,17.0,21.0,754.0,12.0,4,8.7304122635893,3.996102298609912,12.987998868694682,45.68152866242038,37.37579617834395,45.68152866242038,7.2675159235668785,18.687898089171973,8.305732484076433,35.63803680981596,15.411042944785278,26.993630573248407,20.76433121019108,16.37423312883436,21.802547770700635,782.8152866242037,21.0,21.0,19.0,FRA-Ligue 1,Saint-Étienne,FW,1,,,,,,,,0.0,,,,,,,,34.69387755102,42.567567567568,76.545842217484,27.272727272727,0.400430828332901,0.19111471352252093,2.0952380952380953,1.7142857142857142,0.8181818181818182,0.38095238095238093,1.7619047619047619,0.7619047619047619,1.2380952380952381,0.8095238095238095,0.9523809523809523,0.183286024213192,0.5957101438460606,0.8571428571428571,0.3333333333333333,1.0,3.590952605009079,0.0,0.5714285714285714,0.7619047619047619,1.7797998180163783,0.4157339173137761,0.39551107067030633,1.697049371895998,0.733859187846918,1.2854109796784956,0.9887776766757658,0.19029058564809104,0.6184761366045086,0.8898999090081892,0.346072186836518,1.0382165605095541,True,91.0,64.0,21.0,50.0,66.0,34.0,55.9,21.0,True
Sergio Camello,7.825776964426041,3.9012207817286253,12.808636520057917,59.0,8.0,43.0,59.0,7.0,7.0,9.0,36.0,16.0,81.0,20.0,24.0,45.0,15.0,30.0,837.0,8.0,3,7.278263860804915,3.6392856681672923,11.927177176884719,54.9454292376941,40.03472586272348,54.9454292376941,6.557244346427085,33.50930421735751,14.910703374970623,87.44171779141105,21.550102249488752,22.25467560874202,41.86276324590104,16.006134969325156,27.83425586145809,779.290214935194,21.7,21.7,24.0,ESP-La Liga,Rayo Vallecano,"FW,MF",2,4700000.0,10200000.0,2027.0,76.0,76.0,73.0,35.24,230.0,58.0,75.0,75.0,75.0,CAM,73.0,78.0,29.1505791505795,43.58010410642,81.1418936069915,13.9467592592595,0.3606348831532738,0.13264028753264476,2.71889400921659,1.9815668202764978,0.7288135593220338,0.7373271889400922,3.7327188940092166,0.9216589861751152,1.1059907834101383,0.6912442396313364,2.0737327188940093,0.17977975952666478,0.5902597474681068,1.6589861751152075,0.3225806451612903,1.3824884792626728,0.17422303557395935,10.599078341013826,0.3686635944700461,0.5069124423963134,1.8449182425218194,0.3354038645532219,0.6871291877866647,4.029572248452122,0.9930922695616937,1.0255610879604617,1.9291595965853017,0.16770901696623466,0.5496395012389271,1.5442075676201619,0.3021771588215247,1.2826846019105111,True,46.0,54.0,72.0,33.0,70.0,68.0,55.8,33.0,True
Federico Viñas,8.392383448779583,3.027751691639424,8.796410974115133,60.0,7.0,49.0,57.0,9.0,5.0,10.0,27.0,7.0,89.0,50.0,69.0,55.0,93.0,49.0,1058.0,9.0,1,8.902116066059037,3.2116498421077617,9.330683224169848,63.64425162689805,51.9761388286334,60.46203904555314,5.303687635574837,28.63991323210412,7.425162689804772,83.9038854805726,47.13701431492843,73.19088937093275,58.34056399132321,87.67484662576688,51.9761388286334,1122.2603036876355,27.1,27.1,27.0,ESP-La Liga,Oviedo,"FW,MF",1,6500000.0,14800000.0,2027.0,77.0,75.0,72.0,35.43,491.0,86.0,75.0,80.0,74.0,ST,75.0,76.0,46.733668341709,56.610169491525,71.953578336557,15.789473684211,0.3096820460804274,0.13987305747965972,2.214022140221402,1.8081180811808117,0.8596491228070176,0.25830258302583026,3.284132841328413,1.8450184501845017,2.5461254612546123,3.431734317343173,2.029520295202952,0.11172515467304146,0.32459081085295693,0.9963099630996309,0.18450184501845018,1.8081180811808117,-1.392383448779583,18.118081180811807,0.33210332103321033,0.36900369003690037,1.917938702163594,0.328491367751256,0.27399124316622775,3.0960843350764793,1.7393732219530784,2.7007708254956735,2.152788339163218,0.11851106428441925,0.3443056540284076,1.0568233664983069,0.19570803083301982,1.917938702163594,True,51.0,63.0,36.0,79.0,36.0,84.0,55.7,36.0,False
Oumar Diakité,5.367392040789127,1.737616403028369,10.243458840996029,27.0,4.0,26.0,27.0,4.0,2.0,7.0,11.0,12.0,59.0,20.0,25.0,38.0,25.0,20.0,655.0,4.0,1,5.9515979772015495,1.9267447190042457,11.358393136614644,29.93877551020408,28.829931972789115,29.93877551020408,2.217687074829932,12.197278911564624,13.306122448979592,53.20858895705521,18.03680981595092,27.72108843537415,42.13605442176871,22.54601226993865,22.17687074829932,726.2925170068028,18.1,18.1,20.0,FRA-Ligue 1,Reims,FW,1,,,,,,,,0.0,,,,,,,,29.411764705882,37.790697674419,83.673469387755,14.814814814815,0.29654099672868106,0.19879229780700472,1.4917127071823204,1.43646408839779,0.9629629629629629,0.6629834254143646,3.2596685082872927,1.1049723756906076,1.3812154696132595,1.3812154696132595,2.0994475138121547,0.09600090624466126,0.565936952541217,0.6077348066298343,0.11049723756906077,1.1049723756906076,-1.3673920407891273,0.0,0.22099447513812154,0.2762430939226519,1.5928139211485697,0.32881756780119054,0.7351448866839553,2.9397010473511167,0.996508829610548,1.5315518472582401,2.3279588078325255,0.10644998447537268,0.6275355324096488,0.6738828127936256,0.12252414778065923,1.225241477806592,True,78.0,58.0,67.0,34.0,44.0,40.0,55.7,34.0,True
Brahim Díaz,8.051312699913979,6.93565227277577,25.370969254523516,43.0,5.0,35.0,43.0,5.0,11.0,8.0,53.0,17.0,113.0,40.0,71.0,59.0,5.0,49.0,1705.0,5.0,8,6.539299795339446,5.659646488250848,20.631476126191473,34.9966052646224,28.470799710612717,34.9966052646224,8.991351772497078,43.276323112026276,13.873459847515164,138.48875255623722,49.13087934560327,57.934893427569705,48.15843118704436,6.139059304703476,39.976682063553895,1390.0469280427403,29.4,29.4,25.0,ESP-La Liga,Real Madrid,"FW,MF",2,,,,,,,35.78,247.0,,,,,,,,18.8235294117645,52.786978122548504,89.4925290308105,10.47619047619035,0.27385417346646185,0.18723983023055765,1.4625850340136055,1.1904761904761905,0.813953488372093,0.5782312925170068,3.8435374149659864,1.3605442176870748,2.414965986394558,0.17006802721088435,2.0068027210884356,0.23590653989033233,0.8629581379089631,1.8027210884353742,0.3741496598639456,1.6666666666666667,-3.0513126999139786,8.401360544217688,0.17006802721088435,0.44217687074829937,0.9683945479800244,0.22242516310678387,0.4718863893712641,4.710501787627116,1.6711183450885467,1.970574606379922,1.6380418771103524,0.19250498259356627,0.7017508886459685,1.4719837793206216,0.3058282915815333,1.3597510905970713,True,61.0,24.0,59.0,57.0,82.0,73.0,55.7,24.0,False
Jorge de Frutos,18.39760907366872,7.478993365075439,30.115911828354,115.0,15.0,98.0,115.0,16.0,12.0,23.0,63.0,35.0,180.0,68.0,72.0,73.0,34.0,60.0,1971.0,16.0,4,17.038758223745653,6.967499758060998,27.969581093900224,106.76692998788843,90.81491711708455,106.76692998788843,11.222805907554365,58.60150400404923,32.65893092789096,192.8466257668712,73.03476482617587,66.85949492940941,67.9326271263038,36.646216768916155,55.85944792928288,1837.0767982067646,55.099999999999994,55.099999999999994,28.0,ESP-La Liga,Rayo Vallecano,"FW,MF",2,,,,,,,35.77,655.0,,,,,,,,37.377450980392,41.066842389835,74.9503424732285,13.705738705739,0.33389490151848855,0.15997920933624973,2.087114337568058,1.7785843920145192,0.8521739130434782,0.6352087114337569,3.266787658802178,1.2341197822141563,1.3067150635208713,0.6170598911070782,1.32486388384755,0.13573490680717676,0.5465682727468967,1.1433756805807624,0.21778584392014522,1.088929219600726,-3.3976090736687183,11.887477313974593,0.29038112522686027,0.3629764065335754,1.6481836137401915,0.3092333615924801,0.5927210694717052,3.4999387616492053,1.3254948244315041,1.2134209606063415,1.232897044034552,0.12645190123522684,0.5076149018856666,1.0635481670426359,0.20368068797739322,1.0137830840160234,True,64.0,52.0,62.0,45.0,47.0,72.0,55.5,45.0,False
Williot Swedberg,10.604115275666118,4.3347863629460335,18.096103586256504,55.0,9.0,45.0,55.0,8.0,7.0,11.0,26.0,14.0,77.0,51.0,66.0,34.0,10.0,20.0,1133.0,9.0,10,9.974809452055178,4.06964322505221,17.003178837045883,51.50950604122246,42.21259772565743,51.50950604122246,6.617892679459843,24.299395877754087,13.177860696517413,82.3721881390593,54.06952965235175,62.1821250888415,32.061300639658846,10.830265848670757,18.82551528073916,1063.3664712153518,29.1,29.1,21.0,ESP-La Liga,Celta Vigo,"FW,MF",2,11500000.0,26500000.0,2029.0,74.0,75.0,72.0,34.93,297.0,56.0,77.0,60.0,72.0,CAM,75.0,82.0,23.641304347826,47.2520395019325,76.93340494092351,17.1195652173915,0.3644025867926501,0.19280209592120215,1.8900343642611683,1.5463917525773194,0.8181818181818182,0.4810996563573883,2.6460481099656357,1.7525773195876289,2.268041237113402,0.3436426116838488,1.1683848797250858,0.1489617306854307,0.6218592297682647,0.8934707903780068,0.24054982817869414,0.6872852233676976,-1.6041152756661177,10.206185567010309,0.30927835051546393,0.6529209621993127,1.4506047328404614,0.3427769571152982,0.45284744661571863,2.830659386221969,1.8580594382251459,2.136842786558127,1.1017629085793417,0.13985028264784224,0.5843016782489994,0.8350307861771163,0.22741899242130045,0.6469249237367409,True,70.0,49.0,48.0,62.0,52.0,48.0,55.3,48.0,False
Amine Adli,6.384001225233078,2.1955463867634535,11.52044546790421,39.0,5.0,30.0,40.0,5.0,2.0,8.0,27.0,13.0,91.0,51.0,31.0,15.0,52.0,23.0,1176.0,5.0,1,5.8095653264799605,2.0052829327476336,10.436524582935654,35.215214840589084,26.730852484220748,36.0412283541026,1.8020614177051302,24.702915115714518,11.48834762906619,98.8159509202454,55.04294478527608,28.90717551383719,13.74051221880563,57.37014314928426,20.19858593623563,1072.6651055996115,20.7,20.7,25.0,GER-Bundesliga,Leverkusen,"MF,FW",2,14000000.0,27700000.0,2030.0,84.0,87.0,77.0,34.83,317.0,67.0,71.0,74.0,78.0,ST,77.0,80.0,48.7647690655205,50.579268292683,79.156132324073,12.5,0.30840585629145306,0.16369233910854047,1.884057971014493,1.4492753623188406,0.75,0.6280193236714976,4.396135265700483,2.4637681159420293,1.497584541062802,2.5120772946859904,0.7246376811594203,0.10606504283881418,0.556543259319044,1.3043478260869565,0.0966183574879227,1.1111111111111112,-1.384001225233078,15.31400966183575,0.24154589371980678,0.2898550724637681,1.2913455306386834,0.2806553297816406,0.5549926390853233,4.7737174357606476,2.6590794582258974,1.3964819088810236,0.6637928608118662,0.09687357163032047,0.5041799315427852,1.1933775418219574,0.08705610713551354,0.975777098368871,True,58.0,32.0,69.0,76.0,40.0,59.0,55.1,32.0,True
Jonathan Ikone,7.061513680964708,3.032117278315127,13.497572872787714,50.0,5.0,42.0,50.0,5.0,7.0,9.0,19.0,16.0,89.0,37.0,32.0,38.0,9.0,33.0,1037.0,5.0,1,6.595459179684942,2.9048189733027314,12.636099263706718,46.64606227106227,39.033424908424905,46.64606227106227,6.717032967032967,18.06135531135531,14.926739926739927,94.9079754601227,39.852760736196316,30.00274725274725,35.30173992673993,9.619631901840492,30.898351648351646,972.4024725274725,21.9,18.2,27.0,ITA-Serie A,Como,"MF,FW",2,6000000.0,11400000.0,2027.0,80.0,82.0,64.0,33.85,204.0,50.0,76.0,39.0,72.0,RW,75.0,75.0,32.887700534759,46.609109109109,83.239946636173,10.0,0.3224435470760141,0.14123027361929416,2.2831050228310503,1.9178082191780823,0.84,0.7305936073059361,4.06392694063927,1.6894977168949772,1.4611872146118723,0.4109589041095891,1.7351598173515983,0.1384528437586816,0.6163275284377951,0.8675799086757991,0.31963470319634707,1.5068493150684932,-2.0615136809647083,9.315068493150685,0.22831050228310504,0.27397260273972607,1.7823481693344707,0.30116251962031704,0.6815862980246542,4.333697509594644,1.8197607642098776,1.3699884590295548,1.6119515948283072,0.132640135767248,0.5769908339592109,0.8247194206098316,0.30671383411109443,1.4108836369110342,True,34.0,55.0,80.0,50.0,56.0,46.0,54.8,34.0,True
Issa Soumaré,16.167380928061903,7.092116344720125,22.680806905031204,120.0,12.0,87.0,120.0,11.0,12.0,24.0,57.0,31.0,193.0,61.0,134.0,75.0,223.0,42.0,2214.0,13.0,9,17.243130475218315,7.643830222490802,24.240107981561337,129.07012501298613,93.28397290973044,129.07012501298613,12.787507606152204,62.004655212502286,33.7008642567738,177.49079754601223,56.562372188139065,145.22989625950459,81.13995320052044,207.04089979550105,45.26187425484444,2395.652219512316,53.9,53.9,24.0,FRA-Ligue 1,Le Havre,"MF,FW",2,4200000.0,8700000.0,2029.0,83.0,83.0,68.0,35.52,488.0,62.0,70.0,82.0,70.0,ST,73.0,76.0,60.337378194520994,47.0400260443435,67.507188709452,11.008758683177,0.2999514086838943,0.13472817440051585,2.226345083487941,1.614100185528757,0.725,0.575139146567718,3.580705009276438,1.1317254174397031,2.4860853432282006,4.137291280148423,1.391465677179963,0.13157915296326764,0.42079419118796296,1.0575139146567718,0.22263450834879406,0.7792207792207793,-4.1673809280619025,9.053803339517625,0.24118738404452691,0.40816326530612246,1.7306859537983383,0.3199096563120281,0.6252479453946902,3.292964704007648,1.0493946602623203,2.694432212606764,1.5053794656868356,0.14181503195715775,0.4497237102330489,1.150364660714328,0.23724503907518005,0.8397379268060193,True,35.0,46.0,62.0,82.0,47.0,58.0,54.7,35.0,False
Daniel Mosquera,8.264279957860708,2.847558567300439,12.100528923794625,73.0,5.0,63.0,73.0,4.0,4.0,7.0,18.0,13.0,75.0,16.0,23.0,32.0,98.0,23.0,793.0,5.0,3,10.390800251318485,3.551481365419413,15.213844405297744,91.48594238111767,78.85028346638899,91.48594238111767,4.959967603841259,22.50844614138609,16.237764665046857,60.00000000000001,12.8159509202454,28.77912761772533,39.726888811755174,78.07975460122701,28.731979636700217,991.1165683211848,21.9,21.9,25.0,ITA-Serie A,Hellas Verona,FW,2,2500000.0,4700000.0,2028.0,69.0,64.0,77.0,34.78,140.0,82.0,70.0,73.0,70.0,ST,71.0,74.0,38.0655770380705,31.462858675248,71.4342502782635,4.3859649122807,0.37736438163747527,0.11320931449124258,3.3333333333333335,2.8767123287671237,0.863013698630137,0.5936073059360731,3.4246575342465757,0.7305936073059361,1.0502283105022832,4.474885844748859,1.4611872146118723,0.13002550535618443,0.5525355672965583,0.8219178082191781,0.18264840182648404,1.0502283105022832,-3.2642799578607082,6.392694063926941,0.22831050228310504,0.36529680365296807,3.6004695646752967,0.47446576490038744,0.7414504413263405,2.7397260273972606,0.58520323836737,1.31411541633449,1.8140131877513779,0.16216809887759878,0.694696091566107,1.0277829288304152,0.22648253898818535,1.3119625404885944,True,21.0,90.0,61.0,33.0,62.0,51.0,54.6,21.0,True
Andrej Ilic,15.265192305669188,5.095585748553276,17.641160069033504,98.0,11.0,94.0,100.0,11.0,7.0,18.0,36.0,13.0,66.0,6.0,40.0,45.0,223.0,8.0,1128.0,12.0,10,18.59871057362497,6.200442372591568,21.485290668665485,119.37317164179103,114.5075,121.8120895522388,8.514925373134329,43.827537313432835,15.831679104477612,54.192229038854805,4.924335378323109,48.70537313432836,54.7935447761194,183.1083844580777,9.737425373134329,1374.071753731343,35.5,35.5,25.0,GER-Bundesliga,Union Berlin,FW,2,5500000.0,10300000.0,2027.0,71.0,70.0,73.0,34.4,432.0,84.0,67.0,79.0,77.0,ST,74.0,76.0,47.039199332777,27.155887230514,56.6335094041565,15.9722222222222,0.4300054170611039,0.1557672684251958,2.76056338028169,2.647887323943662,0.94,0.36619718309859156,1.8591549295774648,0.16901408450704225,1.1267605633802817,6.28169014084507,1.267605633802817,0.1435376267198106,0.496934086451648,1.0140845070422535,0.19718309859154928,0.22535211267605634,-4.2651923056691885,12.169014084507042,0.3380281690140845,0.6197183098591549,3.22556338028169,0.5239073401021118,0.4459627916754257,1.5265416630663324,0.13871367262881998,1.3719823418120665,1.5434801345385745,0.17466034852370615,0.6052194554553658,1.2345785158713474,0.2398570527643473,0.2742936724826571,True,59.0,95.0,19.0,44.0,61.0,32.0,54.6,19.0,False
Kai Havertz,16.72613048925996,4.405855203047395,20.539365377277136,71.0,11.0,62.0,71.0,10.0,5.0,21.0,28.0,10.0,55.0,24.0,31.0,31.0,82.0,12.0,1107.0,11.0,6,14.411775686217478,3.7975032924349463,17.68603342108119,61.154713382941324,53.39723479041244,61.154713382941324,4.312249934562315,24.147075870321206,8.616881052985827,63.854805725971374,27.84458077709612,26.70242680327562,26.70242680327562,95.24130879345604,10.33568597389971,953.4156040833115,27.3,27.3,26.0,ENG-Premier League,Arsenal,"FW,MF",2,38000000.0,73200000.0,2028.0,72.0,71.0,80.0,34.88,120.0,75.0,78.0,81.0,84.0,ST,82.0,84.0,42.6518883415435,39.285714285714,76.968352451723,14.0461215932915,0.6126787725003647,0.2355793026656332,2.600732600732601,2.271062271062271,0.8732394366197183,0.3663003663003663,2.0146520146520146,0.8791208791208791,1.1355311355311355,3.0036630036630036,1.1355311355311355,0.16138663747426354,0.7523577061273676,1.0256410256410255,0.18315018315018314,0.43956043956043955,-5.726130489259958,4.395604395604395,0.40293040293040294,0.6227106227106227,1.955942666315474,0.5279038712900175,0.3156366686075394,2.339003872746204,1.0199480138130446,0.9781108719148579,0.9781108719148579,0.1391026847045768,0.6478400520542561,0.8845082736381394,0.15795787306089065,0.3785965558205022,True,79.0,78.0,25.0,45.0,53.0,29.0,54.5,25.0,False
Ansgar Knauff,8.939077816903591,8.310043331235647,23.542605210095644,64.0,8.0,49.0,65.0,8.0,11.0,8.0,45.0,18.0,124.0,54.0,40.0,32.0,32.0,37.0,1466.0,8.0,6,8.444316797780239,7.900514653854511,22.270498531537967,59.74619352478507,45.74614230839583,60.63528443387598,10.443687580025607,42.66384122919334,17.046573989390893,131.23108384458078,56.292433537832316,38.21838668373879,30.062721785256997,33.93251533742332,35.361488933601606,1383.8082824218036,32.4,32.4,23.0,GER-Bundesliga,Frankfurt,"MF,FW",2,15000000.0,26600000.0,2028.0,89.0,88.0,75.0,36.31,357.0,55.0,71.0,48.0,73.0,RM,77.0,81.0,33.621453900709,44.4505494505495,69.56999372253651,12.380952380952,0.27589746348467875,0.1396730908891186,1.9753086419753088,1.5123456790123457,0.7538461538461538,0.5555555555555556,3.8271604938271606,1.6666666666666667,1.234567901234568,0.9876543209876544,0.9876543209876544,0.2564828188652978,0.7266236175955446,1.3888888888888888,0.3395061728395062,1.1419753086419753,-0.9390778169035912,11.018518518518519,0.2469135802469136,0.4320987654320988,1.4119179724813529,0.2606270616598839,0.5261288268330523,4.050342093968543,1.7374207882047012,1.179579835917864,0.9278617834955863,0.24384304487205283,0.6873610657882089,1.3167852231232513,0.3223360364205434,1.0914039794321484,True,47.0,34.0,62.0,51.0,78.0,76.0,54.5,34.0,False
