player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,goals_p90,ga_p90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Mikel Oyarzabal,18.14873036928475,8.858953930437565,34.40441262163222,122.0,13.0,98.0,122.0,20.0,17.0,27.0,57.0,37.0,141.0,54.0,64.0,74.0,72.0,45.0,2073.0,24.0,7,55.1,55.1,28.0,ESP-La Liga,Real Sociedad,FW,2,,,,,,,,,,,,,,32.831275033378,47.5332068311195,75.5598455598455,19.958787165146,0.3293780466294873,0.1487600849941373,2.2141560798548094,1.778584392014519,0.8032786885245902,0.6715063520871143,2.558983666061706,0.9800362976406534,1.161524500907441,1.306715063520871,1.3430127041742286,0.16077956316583603,0.6243995031149223,1.0344827586206897,0.308529945553539,0.8166969147005444,-5.148730369284749,0.4355716878402904,0.5626134301270417,True,72.0,53.0,58.0,49.0,62.0,46.0,57.6,46.0,False
Alexander Sørloth,33.6391639187932,2.528296507894993,37.4410529686138,147.0,32.0,136.0,147.0,33.0,4.0,38.0,23.0,18.0,75.0,23.0,29.0,61.0,192.0,24.0,1392.0,33.0,2,39.4,39.4,29.0,ESP-La Liga,Atlético Madrid,FW,2,36500000.0,76700000.0,2028.0,77.0,72.0,84.0,90.0,83.0,86.0,84.0,ST,83.0,83.0,62.07845262411951,32.318399304045,66.758620689655,22.2170513775135,0.8537858862637868,0.22883784978770885,3.730964467005076,3.451776649746193,0.9251700680272109,0.4568527918781726,1.9035532994923858,0.583756345177665,0.7360406091370558,4.873096446700508,1.5482233502538072,0.06416996212931454,0.9502805321983199,0.583756345177665,0.10152284263959391,0.6091370558375635,-1.6391639187932014,0.8375634517766498,0.8883248730964467,True,94.0,98.0,26.0,36.0,34.0,32.0,57.5,26.0,False
Jonathan Ikone,7.061513680964708,3.032117278315127,13.497572872787714,50.0,5.0,42.0,50.0,5.0,7.0,9.0,19.0,16.0,89.0,37.0,32.0,38.0,9.0,33.0,1037.0,5.0,1,21.9,18.2,27.0,ITA-Serie A,Como,"MF,FW",2,6000000.0,11400000.0,2027.0,80.0,82.0,64.0,50.0,76.0,39.0,72.0,RW,75.0,75.0,32.887700534759,46.609109109109,83.239946636173,10.0,0.3224435470760141,0.14123027361929416,2.2831050228310503,1.9178082191780823,0.84,0.7305936073059361,4.06392694063927,1.6894977168949772,1.4611872146118723,0.4109589041095891,1.7351598173515983,0.1384528437586816,0.6163275284377951,0.8675799086757991,0.31963470319634707,1.5068493150684932,-2.0615136809647083,0.22831050228310504,0.27397260273972607,True,34.0,58.0,81.0,51.0,59.0,61.0,57.4,34.0,True
Mohamed Amoura,18.546773119829595,8.281053001061082,30.98853289335966,136.0,15.0,93.0,135.0,18.0,11.0,21.0,60.0,34.0,152.0,67.0,31.0,35.0,45.0,53.0,2088.0,18.0,12,48.7,48.7,25.0,GER-Bundesliga,Wolfsburg,"FW,MF",2,28500000.0,50600000.0,2029.0,90.0,94.0,83.0,45.0,79.0,63.0,85.0,CAM,80.0,83.0,32.7825159914715,41.4363354037265,71.194418615396,13.333333333333,0.38083723038664463,0.1363733317634529,2.792607802874743,1.9096509240246407,0.6888888888888889,0.6981519507186857,3.121149897330595,1.3757700205338808,0.6365503080082136,0.9240246406570841,0.7186858316221766,0.170042156079283,0.6363148438061532,1.2320328542094454,0.22587268993839835,1.0882956878850103,-3.546773119829595,0.36960985626283366,0.6160164271047227,True,58.0,53.0,69.0,35.0,62.0,82.0,57.2,35.0,False
Jorge de Frutos,18.39760907366872,7.478993365075439,30.115911828354,115.0,15.0,98.0,115.0,16.0,12.0,23.0,63.0,35.0,180.0,68.0,72.0,73.0,34.0,60.0,1971.0,16.0,4,55.099999999999994,55.099999999999994,28.0,ESP-La Liga,Rayo Vallecano,"FW,MF",2,,,,,,,,,,,,,,37.377450980392,41.066842389835,74.9503424732285,13.705738705739,0.33389490151848855,0.15997920933624973,2.087114337568058,1.7785843920145192,0.8521739130434782,0.6352087114337569,3.266787658802178,1.2341197822141563,1.3067150635208713,0.6170598911070782,1.32486388384755,0.13573490680717676,0.5465682727468967,1.1433756805807624,0.21778584392014522,1.088929219600726,-3.3976090736687183,0.29038112522686027,0.3629764065335754,True,64.0,57.0,64.0,46.0,52.0,61.0,57.2,46.0,False
Leandro Trossard,15.495272054336965,12.031402107328176,32.5242274813354,125.0,14.0,90.0,125.0,12.0,21.0,17.0,77.0,32.0,184.0,58.0,85.0,91.0,12.0,63.0,2604.0,14.0,13,50.5,50.5,30.0,ENG-Premier League,Arsenal,"FW,MF",2,35000000.0,64800000.0,2027.0,80.0,87.0,83.0,55.0,84.0,65.0,83.0,LW,83.0,83.0,25.7894736842105,46.5925770601805,78.7769020985845,11.215932914046,0.3068370703829102,0.12396217643469572,2.4752475247524752,1.7821782178217822,0.72,0.6336633663366337,3.6435643564356437,1.1485148514851484,1.683168316831683,0.2376237623762376,1.801980198019802,0.23824558628372627,0.6440441085412951,1.5247524752475248,0.4158415841584158,1.2475247524752475,-1.495272054336965,0.27722772277227725,0.5346534653465347,True,45.0,46.0,65.0,51.0,81.0,63.0,57.0,45.0,False
Matias Fernandez-Pardo,12.734380466863513,7.462456257082522,25.336734913289547,91.0,10.0,70.0,91.0,11.0,11.0,18.0,52.0,24.0,87.0,32.0,61.0,46.0,5.0,56.0,1542.0,12.0,7,38.1,38.1,20.0,FRA-Ligue 1,Lille,"MF,FW",2,16500000.0,34700000.0,2029.0,92.0,90.0,71.0,73.0,76.0,51.0,70.0,RM,76.0,84.0,10.22727272727265,46.3098204313085,80.1744986092815,14.5780051150895,0.33423570779169326,0.13993824688861004,2.388451443569554,1.837270341207349,0.7692307692307693,0.6299212598425197,2.283464566929134,0.8398950131233596,1.601049868766404,0.13123359580052493,1.2073490813648293,0.19586499362421317,0.6650061657031376,1.3648293963254592,0.2887139107611548,1.4698162729658792,-2.734380466863513,0.31496062992125984,0.4986876640419947,True,49.0,54.0,49.0,51.0,74.0,88.0,56.9,49.0,False
Giovanni Simeone,13.447973367758095,2.8556667892262335,17.705806088633835,91.0,12.0,73.0,92.0,11.0,3.0,16.0,31.0,24.0,103.0,18.0,57.0,59.0,43.0,28.0,1058.0,12.0,1,29.5,29.5,30.0,ITA-Serie A,Napoli,FW,2,7500000.0,0.0,,71.0,73.0,78.0,71.0,75.0,76.0,80.0,ST,76.0,76.0,26.115123194562,42.1519112695585,72.2400261608895,10.808179162609349,0.4558635039917998,0.14777992711822083,3.0847457627118646,2.4745762711864407,0.7934782608695652,0.8135593220338984,3.4915254237288136,0.6101694915254238,1.9322033898305084,1.4576271186440677,2.0,0.09680226404156723,0.6001968165638588,1.0508474576271187,0.1016949152542373,0.9491525423728814,-1.4479733677580953,0.4067796610169492,0.4406779661016949,True,51.0,78.0,71.0,45.0,40.0,31.0,56.8,31.0,False
Patrik Schick,28.683081859722733,4.085145927965641,31.860096774995327,140.0,32.0,127.0,141.0,34.0,6.0,25.0,25.0,13.0,52.0,15.0,43.0,46.0,108.0,20.0,1332.0,37.0,3,40.8,40.8,29.0,GER-Bundesliga,Leverkusen,FW,2,54000000.0,91800000.0,2030.0,72.0,72.0,86.0,85.0,85.0,88.0,87.0,ST,85.0,85.0,50.730837789660995,37.018821526530004,79.4457220944575,26.328502415459,0.7030167122481062,0.20487915614087668,3.431372549019608,3.1127450980392157,0.900709219858156,0.3186274509803922,1.2745098039215688,0.36764705882352944,1.053921568627451,2.647058823529412,1.1274509803921569,0.10012612568543239,0.7808847248773365,0.6127450980392157,0.14705882352941177,0.4901960784313726,3.3169181402772665,0.9068627450980393,0.9803921568627452,True,93.0,95.0,10.0,48.0,45.0,21.0,56.5,10.0,False
Kai Havertz,16.72613048925996,4.405855203047395,20.539365377277136,71.0,11.0,62.0,71.0,10.0,5.0,21.0,28.0,10.0,55.0,24.0,31.0,31.0,82.0,12.0,1107.0,11.0,6,27.3,27.3,26.0,ENG-Premier League,Arsenal,"FW,MF",2,38000000.0,73200000.0,2028.0,72.0,71.0,80.0,75.0,78.0,81.0,84.0,ST,82.0,84.0,42.6518883415435,39.285714285714,76.968352451723,14.0461215932915,0.6126787725003647,0.2355793026656332,2.600732600732601,2.271062271062271,0.8732394366197183,0.3663003663003663,2.0146520146520146,0.8791208791208791,1.1355311355311355,3.0036630036630036,1.1355311355311355,0.16138663747426354,0.7523577061273676,1.0256410256410255,0.18315018315018314,0.43956043956043955,-5.726130489259958,0.40293040293040294,0.6227106227106227,True,79.0,84.0,24.0,47.0,61.0,18.0,56.4,18.0,False
Ollie Watkins,35.93784612324089,6.692425791174173,40.64644593372941,167.0,30.0,153.0,167.0,31.0,11.0,46.0,48.0,27.0,92.0,32.0,65.0,93.0,88.0,36.0,1671.0,32.0,11,60.4,60.4,29.0,ENG-Premier League,Aston Villa,FW,2,30500000.0,58000000.0,2028.0,77.0,77.0,84.0,76.0,77.0,84.0,85.0,ST,82.0,82.0,39.989759344598,37.322557749387,73.42183250111651,19.162363740677,0.5949974523715379,0.21519668337269993,2.7649006622516556,2.533112582781457,0.9161676646706587,0.4470198675496689,1.5231788079470199,0.5298013245033113,1.076158940397351,1.456953642384106,1.5397350993377483,0.11080175150950618,0.6729544028763148,0.794701986754967,0.18211920529801326,0.5960264900662252,-5.937846123240888,0.5298013245033113,0.7119205298013245,True,89.0,90.0,23.0,36.0,47.0,35.0,56.4,23.0,False
Keinan Davis,9.914743635803461,6.778708007186651,18.928485959768295,79.0,8.0,71.0,79.0,12.0,8.0,8.0,51.0,25.0,109.0,20.0,59.0,65.0,97.0,47.0,1196.0,12.0,5,34.7,34.7,27.0,ITA-Serie A,Udinese,FW,2,4600000.0,8300000.000000001,2027.0,68.0,66.0,76.0,81.0,73.0,74.0,75.0,ST,74.0,74.0,45.583479626721,41.928439884241,77.26527265272651,13.44827586206895,0.28572748229981154,0.12550308399751217,2.276657060518732,2.0461095100864553,0.8987341772151899,0.7204610951008645,3.141210374639769,0.5763688760806917,1.7002881844380402,2.795389048991354,1.8731988472622476,0.19535181576906774,0.5454895089270402,1.4697406340057635,0.23054755043227665,1.3544668587896251,-1.914743635803461,0.34582132564841495,0.48991354466858783,True,44.0,62.0,60.0,58.0,66.0,31.0,56.1,31.0,False
M'Bala Nzola,14.95495918020606,2.4542331555858254,19.270295165479183,86.0,8.0,75.0,86.0,9.0,2.0,19.0,40.0,25.0,107.0,13.0,39.0,85.0,81.0,33.0,1154.0,10.0,1,33.2,27.9,28.0,ITA-Serie A,Pisa,FW,2,3100000.0,0.0,,83.0,81.0,73.0,92.0,69.0,71.0,71.0,ST,73.0,73.0,52.281052281052496,31.8651105375375,77.1865815344075,11.5111838516095,0.45045057771705,0.17389487418844257,2.5903614457831323,2.259036144578313,0.872093023255814,0.753012048192771,3.22289156626506,0.39156626506024095,1.1746987951807228,2.439759036144578,2.5602409638554215,0.0739226854092116,0.5804305772734694,1.2048192771084336,0.06024096385542168,0.9939759036144578,-6.95495918020606,0.3012048192771084,0.33132530120481923,True,54.0,79.0,62.0,38.0,38.0,57.0,56.0,38.0,False
Omar Marmoush,12.703840959817171,8.563992083072662,21.76031967252493,107.0,16.0,74.0,107.0,16.0,14.0,11.0,47.0,16.0,71.0,25.0,76.0,52.0,10.0,56.0,1135.0,18.0,12,37.0,23.900000000000002,26.0,ENG-Premier League,Manchester City,"FW,MF",2,39500000.0,73100000.0,2029.0,89.0,87.0,83.0,67.0,82.0,69.0,83.0,LW,83.0,83.0,33.333333333333,53.067075996293,83.31443688586549,14.7402597402595,0.34334705296803164,0.11872748560576796,2.891891891891892,2.0,0.6915887850467289,0.43243243243243246,1.9189189189189189,0.6756756756756757,2.054054054054054,0.2702702702702703,1.4054054054054055,0.23145924548845034,0.5881167479060792,1.2702702702702702,0.3783783783783784,1.5135135135135136,3.296159040182829,0.4864864864864865,0.8108108108108109,True,52.0,54.0,26.0,68.0,76.0,83.0,55.9,26.0,False
Noah Okafor,8.526762707158923,3.0234501250088215,14.537953482940795,48.0,9.0,38.0,49.0,8.0,5.0,9.0,27.0,12.0,72.0,28.0,20.0,42.0,16.0,53.0,928.0,9.0,1,22.3,21.9,25.0,ITA-Serie A,Milan,"FW,MF",2,10000000.0,19800000.0,2029.0,88.0,87.0,78.0,79.0,76.0,63.0,76.0,CAM,76.0,79.0,36.931818181818,40.8333333333335,78.10240963855401,15.00000000000005,0.3823660406797723,0.17764088973247757,2.1524663677130045,1.704035874439462,0.7755102040816326,0.5381165919282511,3.2286995515695067,1.2556053811659191,0.8968609865470851,0.7174887892376681,1.8834080717488788,0.13558072309456598,0.6519261651542957,1.210762331838565,0.22421524663677128,2.3766816143497755,0.47323729284107685,0.40358744394618834,0.44843049327354256,True,70.0,55.0,53.0,30.0,61.0,87.0,55.9,30.0,True
Dominic Solanke,15.241229880601168,3.0587939582765102,21.006265353411436,80.0,11.0,75.0,80.0,12.0,7.0,15.0,20.0,22.0,72.0,40.0,45.0,64.0,66.0,30.0,1091.0,12.0,3,35.6,35.6,27.0,ENG-Premier League,Tottenham,FW,2,23000000.0,43700000.0,2030.0,71.0,68.0,81.0,84.0,78.0,83.0,83.0,ST,80.0,80.0,37.8887697257545,43.51068827813,72.7193674471975,15.0,0.4281244348483474,0.1905153735075146,2.2471910112359548,2.1067415730337076,0.9375,0.6179775280898876,2.0224719101123596,1.1235955056179774,1.2640449438202246,1.8539325842696628,1.797752808988764,0.08592117860327275,0.5900636335227931,0.5617977528089887,0.19662921348314605,0.8426966292134831,-4.241229880601168,0.33707865168539325,0.42134831460674155,True,76.0,78.0,50.0,45.0,34.0,25.0,55.8,25.0,False
Tammy Abraham,8.268648373894393,2.6209846297279,12.001561899669467,37.0,4.0,33.0,37.0,5.0,6.0,13.0,19.0,2.0,18.0,21.0,12.0,14.0,42.0,5.0,474.0,5.0,4,16.3,16.3,27.0,ENG-Premier League,Aston Villa,FW,2,11500000.0,21900000.0,2030.0,76.0,74.0,76.0,81.0,80.0,78.0,79.0,ST,77.0,77.0,48.069738480697,46.7105263157895,63.1818181818185,16.468253968254,0.5072790413432143,0.22347698307822686,2.2699386503067482,2.0245398773006134,0.8918918918918919,0.12269938650306748,1.1042944785276072,1.2883435582822085,0.7361963190184049,2.576687116564417,0.8588957055214723,0.1607966030507914,0.7362921410840163,1.165644171779141,0.36809815950920244,0.3067484662576687,-4.268648373894393,0.3067484662576687,0.5521472392638036,True,77.0,76.0,17.0,58.0,65.0,22.0,55.7,17.0,True
Ansgar Knauff,8.939077816903591,8.310043331235647,23.542605210095644,64.0,8.0,49.0,65.0,8.0,11.0,8.0,45.0,18.0,124.0,54.0,40.0,32.0,32.0,37.0,1466.0,8.0,6,32.4,32.4,23.0,GER-Bundesliga,Frankfurt,"MF,FW",2,15000000.0,26600000.0,2028.0,89.0,88.0,75.0,55.0,71.0,48.0,73.0,RM,77.0,81.0,33.621453900709,44.4505494505495,69.56999372253651,12.380952380952,0.27589746348467875,0.1396730908891186,1.9753086419753088,1.5123456790123457,0.7538461538461538,0.5555555555555556,3.8271604938271606,1.6666666666666667,1.234567901234568,0.9876543209876544,0.9876543209876544,0.2564828188652978,0.7266236175955446,1.3888888888888888,0.3395061728395062,1.1419753086419753,-0.9390778169035912,0.2469135802469136,0.4320987654320988,True,47.0,38.0,63.0,51.0,77.0,79.0,55.7,38.0,False
Álvaro Rodríguez,13.482805619947612,4.499548209831119,17.582416084595025,99.0,9.0,85.0,101.0,8.0,8.0,18.0,38.0,19.0,84.0,34.0,68.0,65.0,238.0,55.0,1536.0,9.0,5,34.0,34.0,21.0,ESP-La Liga,Getafe,FW,2,5000000.0,12000000.0,2029.0,80.0,78.0,71.0,79.0,61.0,77.0,69.0,ST,72.0,83.0,55.7625534188035,43.5168195718655,56.0151415351335,8.60526315789475,0.3965531064690474,0.1361899557570466,2.911764705882353,2.5,0.8415841584158416,0.5588235294117647,2.4705882352941178,1.0,2.0,7.0,1.911764705882353,0.132339653230327,0.5171298848410302,1.1176470588235294,0.23529411764705882,1.6176470588235294,-4.482805619947612,0.2647058823529412,0.4117647058823529,True,32.0,77.0,47.0,69.0,46.0,59.0,55.6,32.0,False
Lucas Stassin,8.409047394990921,3.849006508477032,12.509913020767272,44.0,12.0,36.0,44.0,11.0,7.0,2.0,18.0,8.0,37.0,16.0,26.0,20.0,17.0,21.0,754.0,12.0,4,21.0,21.0,19.0,FRA-Ligue 1,Saint-Étienne,FW,1,,,,,,,,,,,,,,34.69387755102,42.567567567568,76.545842217484,27.272727272727,0.400430828332901,0.19111471352252093,2.0952380952380953,1.7142857142857142,0.8181818181818182,0.38095238095238093,1.7619047619047619,0.7619047619047619,1.2380952380952381,0.8095238095238095,0.9523809523809523,0.183286024213192,0.5957101438460606,0.8571428571428571,0.3333333333333333,1.0,3.590952605009079,0.5714285714285714,0.7619047619047619,True,91.0,59.0,22.0,49.0,60.0,57.0,55.6,22.0,True
Williot Swedberg,10.604115275666118,4.3347863629460335,18.096103586256504,55.0,9.0,45.0,55.0,8.0,7.0,11.0,26.0,14.0,77.0,51.0,66.0,34.0,10.0,20.0,1133.0,9.0,10,29.1,29.1,21.0,ESP-La Liga,Celta Vigo,"FW,MF",2,11500000.0,26500000.0,2029.0,74.0,75.0,72.0,56.0,77.0,60.0,72.0,CAM,75.0,82.0,23.641304347826,47.2520395019325,76.93340494092351,17.1195652173915,0.3644025867926501,0.19280209592120215,1.8900343642611683,1.5463917525773194,0.8181818181818182,0.4810996563573883,2.6460481099656357,1.7525773195876289,2.268041237113402,0.3436426116838488,1.1683848797250858,0.1489617306854307,0.6218592297682647,0.8934707903780068,0.24054982817869414,0.6872852233676976,-1.6041152756661177,0.30927835051546393,0.6529209621993127,True,70.0,52.0,48.0,62.0,57.0,31.0,55.5,31.0,False
Brennan Johnson,13.756037529557942,4.229735616594553,21.717198653146625,77.0,13.0,69.0,77.0,13.0,5.0,11.0,38.0,26.0,119.0,68.0,41.0,29.0,23.0,28.0,1618.0,13.0,4,43.4,36.6,24.0,ENG-Premier League,Crystal Palace,"MF,FW",2,24000000.0,47400000.0,2030.0,86.0,87.0,81.0,52.0,78.0,58.0,82.0,RM,79.0,82.0,37.962962962963,47.437304075235,70.900230146432,14.5330112721415,0.3169593900819802,0.17864983804620704,1.7741935483870968,1.5898617511520738,0.8961038961038961,0.599078341013825,2.741935483870968,1.566820276497696,0.9447004608294931,0.5299539170506913,0.6682027649769585,0.09745934600448279,0.5003962823305674,0.8755760368663594,0.1152073732718894,0.6451612903225806,-0.7560375295579416,0.2995391705069125,0.391705069124424,True,73.0,53.0,59.0,54.0,32.0,63.0,55.5,32.0,False
Sergio Camello,7.825776964426041,3.9012207817286253,12.808636520057917,59.0,8.0,43.0,59.0,7.0,7.0,9.0,36.0,16.0,81.0,20.0,24.0,45.0,15.0,30.0,837.0,8.0,3,21.7,21.7,24.0,ESP-La Liga,Rayo Vallecano,"FW,MF",2,4700000.0,10200000.0,2027.0,76.0,76.0,73.0,58.0,75.0,75.0,75.0,CAM,73.0,78.0,29.1505791505795,43.58010410642,81.1418936069915,13.9467592592595,0.3606348831532738,0.13264028753264476,2.71889400921659,1.9815668202764978,0.7288135593220338,0.7373271889400922,3.7327188940092166,0.9216589861751152,1.1059907834101383,0.6912442396313364,2.0737327188940093,0.17977975952666478,0.5902597474681068,1.6589861751152075,0.3225806451612903,1.3824884792626728,0.17422303557395935,0.3686635944700461,0.5069124423963134,True,46.0,57.0,73.0,33.0,72.0,47.0,55.4,33.0,True
Khvicha Kvaratskhelia,10.652869913727045,9.448160573840141,25.93579437583685,115.0,11.0,79.0,115.0,10.0,14.0,9.0,63.0,22.0,100.0,39.0,59.0,43.0,12.0,63.0,2005.0,13.0,7,39.7,29.5,24.0,ITA-Serie A,Napoli,"FW,MF",2,125000000.0,240600000.0,2029.0,86.0,85.0,82.0,80.0,85.0,62.0,89.0,CAM,88.0,91.0,40.217391304348,48.115020697812,85.59175796106,11.153846153846,0.2683342547538298,0.09263365142371344,2.896725440806045,1.9899244332493702,0.6869565217391305,0.5541561712846347,2.5188916876574305,0.9823677581863979,1.486146095717884,0.30226700251889166,1.0831234256926952,0.23798893133098592,0.6532945686608778,1.5869017632241813,0.3526448362720403,1.5869017632241813,0.34713008627295494,0.327455919395466,0.5037783375314862,True,34.0,46.0,46.0,67.0,83.0,77.0,55.3,34.0,False
Domenico Berardi,4.499643106944859,5.058273881673813,13.033610694110394,40.0,6.0,29.0,40.0,8.0,8.0,4.0,33.0,13.0,78.0,26.0,34.0,18.0,13.0,11.0,1023.0,8.0,4,21.8,21.8,30.0,ITA-Serie A,Sassuolo,FW,1,29500000.0,53100000.0,2029.0,82.0,84.0,80.0,61.0,78.0,62.0,83.0,RW,82.0,82.0,40.625,45.751633986928,76.970633693972,20.0,0.20640564710756235,0.11249107767362147,1.8348623853211008,1.3302752293577982,0.725,0.5963302752293578,3.5779816513761467,1.1926605504587156,1.5596330275229358,0.5963302752293578,0.8256880733944953,0.2320309120033859,0.5978720501885502,1.5137614678899083,0.36697247706422015,0.5045871559633027,1.500356893055141,0.36697247706422015,0.5504587155963303,True,54.0,27.0,62.0,68.0,76.0,48.0,55.1,27.0,True
Hugo Duro,18.801358252763748,3.187305051833391,21.78787235915661,84.0,19.0,83.0,85.0,21.0,4.0,20.0,31.0,25.0,85.0,29.0,88.0,44.0,106.0,10.0,1392.0,21.0,2,46.1,46.1,25.0,ESP-La Liga,Valencia,FW,2,13500000.0,29400000.0,2028.0,73.0,74.0,80.0,76.0,79.0,81.0,80.0,ST,77.0,79.0,34.1098484848485,46.9079939668175,70.406945594467,25.1133786848075,0.40783857381266264,0.22382569348528272,1.822125813449024,1.8004338394793926,0.9764705882352941,0.5422993492407809,1.843817787418655,0.6290672451193058,1.9088937093275486,2.299349240780911,0.9544468546637743,0.06913893821764405,0.47262196006847307,0.6724511930585683,0.08676789587852494,0.21691973969631237,0.19864174723625183,0.455531453362256,0.4989154013015184,True,91.0,69.0,34.0,68.0,21.0,17.0,54.9,17.0,False
Alexis Saelemaekers,6.669963735155761,7.788266032002866,30.627100109122694,68.0,10.0,38.0,68.0,7.0,11.0,6.0,78.0,31.0,239.0,107.0,96.0,32.0,19.0,72.0,3154.0,10.0,6,47.4,46.4,26.0,ITA-Serie A,Roma,"MF,FW",2,23000000.0,39100000.0,2031.0,80.0,83.0,68.0,54.0,75.0,60.0,75.0,RM,80.0,80.0,60.2272727272725,57.588325652842,85.1124365830245,17.48837209302325,0.14071653449695698,0.09808770198758472,1.4345991561181435,0.8016877637130801,0.5588235294117647,0.6540084388185654,5.042194092827004,2.257383966244726,2.0253164556962027,0.4008438818565401,0.6751054852320675,0.1643094099578664,0.646141352513137,1.6455696202531647,0.2320675105485232,1.518987341772152,3.3300362648442388,0.2109704641350211,0.33755274261603374,True,34.0,5.0,78.0,92.0,73.0,63.0,54.7,5.0,False
Julián Álvarez,17.850954642053694,12.72399190440774,42.61423349380493,126.0,19.0,77.0,128.0,21.0,19.0,15.0,89.0,30.0,126.0,46.0,27.0,73.0,18.0,60.0,2406.0,25.0,8,49.0,49.0,25.0,ESP-La Liga,Atlético Madrid,FW,2,91000000.0,197900000.0,2030.0,86.0,87.0,86.0,72.0,86.0,77.0,88.0,CAM,86.0,89.0,24.861111111111,40.204497489265506,80.9847335846445,18.893893893894,0.364305196776606,0.14167424319090233,2.5714285714285716,1.5714285714285714,0.6015625,0.6122448979591837,2.5714285714285716,0.9387755102040817,0.5510204081632653,0.3673469387755102,1.489795918367347,0.2596733041715865,0.8696782345674476,1.816326530612245,0.3877551020408163,1.2244897959183674,1.1490453579463065,0.5102040816326531,0.673469387755102,True,72.0,41.0,52.0,20.0,89.0,74.0,54.5,20.0,False
Rodrigo Muniz,11.383613789454103,1.742494654841721,12.524309318512678,72.0,9.0,66.0,71.0,8.0,2.0,11.0,15.0,10.0,29.0,18.0,49.0,36.0,145.0,11.0,703.0,9.0,2,21.799999999999997,21.799999999999997,24.0,ENG-Premier League,Fulham,FW,2,11500000.0,22700000.0,2030.0,68.0,68.0,78.0,78.0,71.0,77.0,78.0,ST,76.0,81.0,52.299843014128996,46.3721210296555,54.06926406926401,11.8189102564105,0.5221841187822983,0.15810574707575142,3.3027522935779823,3.027522935779817,0.9295774647887324,0.4587155963302753,1.3302752293577984,0.8256880733944956,2.247706422018349,6.651376146788992,1.6513761467889911,0.07993094746980373,0.5745096017666367,0.6880733944954129,0.09174311926605505,0.5045871559633028,-2.3836137894541025,0.4128440366972478,0.5045871559633028,True,56.0,93.0,27.0,76.0,25.0,15.0,54.4,15.0,True
Jonas Wind,6.205839099362493,5.027541554532945,12.17202040180564,49.0,9.0,45.0,49.0,10.0,9.0,7.0,39.0,18.0,72.0,10.0,54.0,32.0,120.0,8.0,1092.0,10.0,3,27.1,27.1,26.0,GER-Bundesliga,Wolfsburg,FW,2,9000000.0,16000000.0,2028.0,57.0,66.0,79.0,82.0,77.0,79.0,78.0,ST,76.0,77.0,45.708955223881,58.1039755351685,67.4978484135635,16.8055555555555,0.2289977527440034,0.12664977753801004,1.8081180811808117,1.6605166051660516,0.9183673469387755,0.6642066420664207,2.6568265682656826,0.36900369003690037,1.9926199261992619,4.428044280442804,1.1808118081180812,0.1855181385436511,0.4491520443470715,1.4391143911439113,0.33210332103321033,0.2952029520295203,2.7941609006375074,0.36900369003690037,0.4797047970479705,True,55.0,48.0,50.0,82.0,59.0,5.0,54.4,5.0,False
Bazoumana Touré,6.972928463481367,8.974227411672473,20.09973612241447,67.0,5.0,53.0,67.0,5.0,13.0,5.0,59.0,25.0,154.0,46.0,32.0,50.0,53.0,60.0,1593.0,5.0,12,32.4,32.4,19.0,GER-Bundesliga,Hoffenheim,"MF,FW",2,23000000.0,43700000.0,2029.0,91.0,90.0,68.0,50.0,58.0,50.0,72.0,LM,77.0,86.0,43.9851097178685,42.253898345435005,74.124360864819,5.2083333333335,0.2152138414654743,0.1040735591564383,2.0679012345679015,1.6358024691358026,0.7910447761194029,0.7716049382716049,4.753086419753086,1.4197530864197532,0.9876543209876544,1.6358024691358026,1.5432098765432098,0.27698232752075536,0.6203622260004467,1.8209876543209877,0.4012345679012346,1.8518518518518519,-1.9729284634813666,0.154320987654321,0.5246913580246914,True,10.0,39.0,86.0,44.0,81.0,91.0,54.0,10.0,False
