player,us_np_xg,us_xa,us_xg_chain,us_shots,us_np_goals,ss_shotsFromInsideTheBox,ss_totalShots,ss_goalsFromInsideTheBox,ss_bigChancesCreated,ss_bigChancesMissed,ss_keyPasses,ss_possessionWonAttThird,ss_ballRecovery,ss_tackles,ss_wasFouled,ss_dispossessed,ss_aerialDuelsWon,ss_successfulDribbles,ss_touches,ss_goals,fb_ast,season_nineties,nineties,age,league,team,pos,seasons,fifa_value_eur,fifa_release_clause_eur,fifa_contract_end,fifa_pace,fifa_acceleration,fifa_finishing,fifa_strength,fifa_composure,fifa_heading_accuracy,fifa_attack_position,fifa_best_position,fifa_overall_rating,fifa_potential,ss_aerialDuelsWonPercentage,ss_groundDuelsWonPercentage,ss_accuratePassesPercentage,ss_goalConversionPercentage,npxg_p90,npxg_per_shot,shots_p90,box_shots_p90,box_share,press_p90,recov_p90,tackles_p90,fouled_p90,aerials_p90,disp_p90,xa_p90,chain_p90,keyp_p90,bcc_p90,dribbles_p90,np_g_minus_xg,goals_p90,ga_p90,is_nine,FINISH,BOX,PRESS,HOLDUP,LINK,RUN,FIT,FLOOR,thin
Francesco Esposito,9.864515269175172,2.056677933782339,13.50071531161666,57.0,7.0,52.0,57.0,7.0,2.0,13.0,22.0,10.0,31.0,9.0,50.0,22.0,42.0,4.0,651.0,7.0,3,17.5,17.5,20.0,ITA-Serie A,Inter,FW,1,16500000.0,30500000.0,2027.0,64.0,60.0,79.0,85.0,65.0,79.0,78.0,ST,76.0,84.0,52.5,49.206349206349,73.150684931507,12.280701754386,0.5636865868100098,0.1730616713890381,3.257142857142857,2.9714285714285715,0.9122807017543859,0.5714285714285714,1.7714285714285714,0.5142857142857142,2.857142857142857,2.4,1.2571428571428571,0.11752445335899081,0.7714694463780948,1.2571428571428571,0.11428571428571428,0.22857142857142856,-2.864515269175172,0.4,0.5714285714285714,True,63.0,92.0,35.0,87.0,55.0,3.0,62.7,3.0,True
Deniz Undav,30.27484510652721,10.241854149848223,50.35445249825717,199.0,28.0,152.0,197.0,25.0,16.0,34.0,67.0,34.0,102.0,29.0,45.0,57.0,59.0,19.0,1884.0,28.0,10,44.099999999999994,44.099999999999994,29.0,GER-Bundesliga,Stuttgart,"FW,MF",2,31000000.0,52700000.0,2027.0,67.0,68.0,85.0,84.0,84.0,75.0,87.0,ST,82.0,82.0,39.285714285714505,35.6439393939395,73.709770723104,13.7868852459015,0.6865044241842906,0.15213490003280006,4.512471655328799,3.44671201814059,0.7715736040609137,0.7709750566893425,2.3129251700680276,0.6575963718820863,1.0204081632653061,1.3378684807256238,1.2925170068027212,0.2322415906995062,1.1418243196883713,1.5192743764172338,0.36281179138322,0.43083900226757377,-2.2748451065272093,0.634920634920635,0.8616780045351475,True,67.0,87.0,59.0,35.0,84.0,10.0,62.6,10.0,False
Iván Romero,8.850742192938924,2.88573707267642,14.721420374698935,59.0,7.0,45.0,59.0,7.0,5.0,12.0,25.0,18.0,92.0,33.0,77.0,55.0,30.0,37.0,1110.0,7.0,1,25.1,25.1,24.0,ESP-La Liga,Levante,"FW,MF",1,,,,,,,,,,,,,,46.153846153846,49.0,73.220973782772,11.864406779661,0.3526192108740607,0.1500125795413377,2.3505976095617527,1.792828685258964,0.7627118644067796,0.7171314741035856,3.6653386454183265,1.3147410358565736,3.0677290836653386,1.195219123505976,2.191235059760956,0.1149696044891004,0.5865107719003559,0.99601593625498,0.199203187250996,1.4741035856573705,-1.8507421929389238,0.2788844621513944,0.3187250996015936,True,54.0,53.0,74.0,76.0,47.0,80.0,62.5,47.0,False
Christoph Baumgartner,22.42838181555271,6.0616371827200055,31.872716402634975,120.0,15.0,102.0,120.0,15.0,8.0,27.0,57.0,27.0,199.0,98.0,62.0,63.0,101.0,30.0,2611.0,15.0,9,48.8,48.8,25.0,GER-Bundesliga,RB Leipzig,"MF,FW",2,32500000.0,57700000.0,2028.0,74.0,81.0,84.0,55.0,78.0,75.0,83.0,CAM,81.0,83.0,50.7158418923125,42.594630954565,73.1562881562885,10.58879392212705,0.4595979880236212,0.1869031817962726,2.459016393442623,2.0901639344262297,0.85,0.5532786885245902,4.077868852459017,2.0081967213114753,1.2704918032786885,2.069672131147541,1.2909836065573772,0.12421387669508209,0.653129434480225,1.168032786885246,0.1639344262295082,0.6147540983606558,-7.4283818155527115,0.3073770491803279,0.49180327868852464,True,67.0,74.0,65.0,59.0,54.0,35.0,62.5,35.0,False
Christopher Nkunku,11.16193139180541,3.6273519303649664,15.491001418791711,54.0,5.0,46.0,54.0,9.0,4.0,14.0,30.0,18.0,61.0,17.0,33.0,27.0,30.0,19.0,1036.0,10.0,5,25.299999999999997,25.299999999999997,27.0,ENG-Premier League,Chelsea,"MF,FW",2,27500000.0,46800000.0,2030.0,77.0,77.0,80.0,63.0,78.0,65.0,81.0,CAM,81.0,81.0,38.125802310655004,45.027904616946,89.455077086656,18.0689655172415,0.4411830589646408,0.20670243318158169,2.1343873517786562,1.8181818181818183,0.8518518518518519,0.7114624505928855,2.4110671936758896,0.6719367588932808,1.3043478260869568,1.1857707509881423,1.0671936758893281,0.14337359408557182,0.6122925461973009,1.1857707509881423,0.158102766798419,0.7509881422924902,-6.16193139180541,0.3952569169960475,0.5928853754940712,True,83.0,66.0,55.0,57.0,60.0,39.0,62.4,39.0,False
Erling Haaland,46.660578202456236,9.088914449326694,55.58059837669134,234.0,43.0,212.0,234.0,45.0,14.0,51.0,54.0,27.0,75.0,26.0,38.0,50.0,130.0,30.0,1474.0,49.0,11,63.199999999999996,63.199999999999996,25.0,ENG-Premier League,Manchester City,FW,2,172500000.0,332100000.0,2034.0,88.0,82.0,96.0,93.0,86.0,85.0,95.0,ST,91.0,93.0,57.321092278719505,39.837398373983504,66.54583333333349,20.8994708994705,0.7383002880135481,0.1994041803523771,3.7025316455696204,3.3544303797468356,0.905982905982906,0.4272151898734178,1.1867088607594938,0.41139240506329117,0.6012658227848102,2.056962025316456,0.7911392405063292,0.14381193748934643,0.879439847732458,0.8544303797468356,0.22151898734177217,0.4746835443037975,-3.660578202456236,0.7753164556962026,0.949367088607595,True,91.0,96.0,18.0,49.0,56.0,56.0,62.2,18.0,False
Yoane Wissa,23.969242131337523,3.6190131716430187,32.08085858821869,103.0,19.0,89.0,103.0,20.0,4.0,23.0,32.0,23.0,95.0,27.0,53.0,41.0,45.0,16.0,1182.0,20.0,5,38.3,38.3,28.0,ENG-Premier League,Newcastle,FW,2,26500000.0,50400000.0,2029.0,85.0,83.0,84.0,68.0,74.0,81.0,84.0,ST,81.0,81.0,44.155844155844,34.835025380710505,74.64428274031249,14.40170940170935,0.6258287762751312,0.23271108865376236,2.689295039164491,2.3237597911227157,0.8640776699029126,0.6005221932114883,2.480417754569191,0.7049608355091385,1.3838120104438643,1.174934725848564,1.0704960835509139,0.0944912055259274,0.8376203286741173,0.8355091383812011,0.10443864229765014,0.41775456919060056,-4.9692421313375235,0.5221932114882507,0.6527415143603134,True,83.0,85.0,47.0,50.0,44.0,49.0,62.1,44.0,False
Nicolas Pépé,13.599425131455064,13.584846401587129,35.4195064548403,104.0,10.0,75.0,101.0,10.0,22.0,11.0,90.0,25.0,163.0,53.0,68.0,63.0,34.0,86.0,2395.0,11.0,14,43.3,43.3,30.0,ESP-La Liga,Villarreal,"FW,MF",2,25000000.0,52500000.0,2028.0,87.0,87.0,79.0,76.0,81.0,63.0,80.0,RW,81.0,81.0,44.459644322845506,47.430229345123,82.9279168825415,10.29657477025915,0.31407448340542876,0.13076370318706793,2.401847575057737,1.7321016166281757,0.7425742574257426,0.5773672055427252,3.7644341801385686,1.2240184757505774,1.5704387990762125,0.7852193995381063,1.4549653579676676,0.31373779218446024,0.8180024585413466,2.0785219399538106,0.5080831408775982,1.9861431870669748,-3.599425131455064,0.2540415704387991,0.5773672055427252,True,42.0,47.0,62.0,67.0,92.0,84.0,62.0,42.0,False
Charles De Ketelaere,14.001394435763359,17.343129597604275,41.64267209172249,94.0,10.0,77.0,94.0,10.0,30.0,13.0,103.0,35.0,200.0,37.0,75.0,106.0,79.0,92.0,2866.0,10.0,12,47.2,47.2,24.0,ITA-Serie A,Atalanta,"MF,FW",2,43500000.0,77200000.0,2028.0,71.0,72.0,78.0,69.0,73.0,75.0,82.0,CAM,82.0,86.0,47.9376108811355,42.83373623422,78.9174549066035,10.5525362318839,0.29663971262210503,0.14895100463578043,1.9915254237288134,1.6313559322033897,0.8191489361702128,0.7415254237288135,4.23728813559322,0.7838983050847457,1.5889830508474576,1.673728813559322,2.2457627118644066,0.36743918638992107,0.882260001943273,2.182203389830508,0.635593220338983,1.9491525423728813,-4.001394435763359,0.211864406779661,0.4661016949152542,True,50.0,47.0,74.0,58.0,93.0,43.0,61.5,43.0,False
Brahim Díaz,8.051312699913979,6.93565227277577,25.370969254523516,43.0,5.0,35.0,43.0,5.0,11.0,8.0,53.0,17.0,113.0,40.0,71.0,59.0,5.0,49.0,1705.0,5.0,8,29.4,29.4,25.0,ESP-La Liga,Real Madrid,"FW,MF",2,,,,,,,,,,,,,,18.8235294117645,52.786978122548504,89.4925290308105,10.47619047619035,0.27385417346646185,0.18723983023055765,1.4625850340136055,1.1904761904761905,0.813953488372093,0.5782312925170068,3.8435374149659864,1.3605442176870748,2.414965986394558,0.17006802721088435,2.0068027210884356,0.23590653989033233,0.8629581379089631,1.8027210884353742,0.3741496598639456,1.6666666666666667,-3.0513126999139786,0.17006802721088435,0.44217687074829937,True,61.0,34.0,64.0,58.0,90.0,85.0,61.2,34.0,False
Pavel Šulc,8.200931411236525,3.44930923357606,14.770196340978146,44.0,10.0,38.0,44.0,10.0,5.0,5.0,22.0,8.0,42.0,24.0,15.0,13.0,16.0,15.0,640.0,11.0,3,17.4,17.4,24.0,FRA-Ligue 1,Lyon,"FW,MF",1,19000000.0,37500000.0,2029.0,74.0,74.0,81.0,68.0,78.0,57.0,84.0,CAM,78.0,81.0,25.806451612903,41.860465116279,74.473684210526,25.0,0.47131789719750145,0.1863848048008301,2.528735632183908,2.1839080459770117,0.8636363636363636,0.4597701149425288,2.4137931034482762,1.3793103448275863,0.8620689655172414,0.9195402298850576,0.7471264367816093,0.19823616284919884,0.848861858676905,1.264367816091954,0.2873563218390805,0.8620689655172414,1.7990685887634754,0.632183908045977,0.8045977011494253,True,86.0,78.0,42.0,35.0,75.0,33.0,60.9,33.0,True
Viktor Gyökeres,11.58792421594262,2.6537387324497104,14.77520313858986,55.0,11.0,51.0,55.0,13.0,4.0,13.0,20.0,20.0,55.0,7.0,31.0,25.0,30.0,7.0,652.0,14.0,1,24.7,24.7,27.0,ENG-Premier League,Arsenal,FW,1,73500000.0,136000000.0,2030.0,86.0,83.0,88.0,91.0,85.0,81.0,87.0,ST,86.0,86.0,30.927835051546,32.116788321168,62.382445141066,25.454545454545,0.4691467293903895,0.21068953119895673,2.2267206477732793,2.064777327935223,0.9272727272727272,0.8097165991902834,2.2267206477732793,0.2834008097165992,1.2550607287449393,1.2145748987854252,1.0121457489878543,0.10743881507893564,0.5981863618862292,0.8097165991902834,0.16194331983805668,0.2834008097165992,-0.5879242159426195,0.5668016194331984,0.6072874493927126,True,94.0,79.0,56.0,35.0,38.0,48.0,60.9,35.0,True
Folarin Balogun,16.971927544102073,5.320335051044822,22.385374180972576,108.0,14.0,98.0,108.0,15.0,11.0,16.0,30.0,22.0,63.0,6.0,46.0,40.0,29.0,18.0,960.0,17.0,4,31.6,31.6,24.0,FRA-Ligue 1,Monaco,FW,2,25500000.0,50400000.0,2028.0,84.0,82.0,82.0,74.0,77.0,75.0,81.0,ST,79.0,83.0,25.123287671233,32.993197278912,72.169575018786,14.8931713447845,0.5370863146867745,0.15714747726020437,3.4177215189873418,3.10126582278481,0.9074074074074074,0.6962025316455696,1.9936708860759493,0.18987341772151897,1.4556962025316456,0.9177215189873418,1.2658227848101264,0.16836503326091207,0.7083979171193853,0.9493670886075949,0.3481012658227848,0.5696202531645569,-2.9719275441020727,0.5379746835443038,0.6645569620253164,True,69.0,92.0,44.0,34.0,63.0,51.0,60.6,34.0,False
Malick Fofana,7.09745760820806,5.211243499070406,18.47632286697626,50.0,7.0,42.0,50.0,7.0,9.0,8.0,36.0,16.0,83.0,33.0,58.0,23.0,2.0,31.0,1277.0,7.0,5,26.0,26.0,20.0,FRA-Ligue 1,Lyon,"MF,FW",2,31000000.0,65099999.99999999,2028.0,86.0,87.0,74.0,36.0,77.0,32.0,74.0,RM,78.0,86.0,7.142857142857,55.3688141923435,82.102318925424,13.3276740237695,0.27297913877723307,0.1419491521641612,1.9230769230769231,1.6153846153846154,0.84,0.6153846153846154,3.1923076923076925,1.2692307692307692,2.230769230769231,0.07692307692307693,0.8846153846153846,0.20043244227193868,0.71062780257601,1.3846153846153846,0.34615384615384615,1.1923076923076923,-0.09745760820806026,0.2692307692307692,0.46153846153846156,True,50.0,46.0,62.0,67.0,79.0,73.0,60.5,46.0,False
Lucas Boyé,8.873975029215217,2.709607819095254,12.193470728583634,63.0,8.0,48.0,63.0,10.0,5.0,8.0,28.0,21.0,64.0,36.0,39.0,70.0,32.0,37.0,969.0,11.0,1,21.8,21.8,29.0,ESP-La Liga,Alavés,FW,1,10500000.0,23100000.0,2029.0,69.0,68.0,78.0,86.0,72.0,79.0,77.0,ST,77.0,77.0,29.906542056075,39.160839160839,73.141486810552,17.460317460317,0.4070630747346429,0.14085674649547963,2.8899082568807337,2.2018348623853212,0.7619047619047619,0.963302752293578,2.935779816513761,1.6513761467889907,1.7889908256880733,1.4678899082568806,3.2110091743119265,0.12429393665574559,0.5593335196597997,1.2844036697247705,0.2293577981651376,1.6972477064220184,-0.8739750292152166,0.5045871559633027,0.5504587155963303,True,61.0,68.0,83.0,40.0,54.0,36.0,60.4,36.0,True
Ermedin Demirović,23.5812497548759,4.510555172339082,31.20213949121535,107.0,26.0,99.0,107.0,26.0,9.0,27.0,35.0,16.0,72.0,26.0,53.0,52.0,65.0,12.0,1129.0,27.0,4,37.2,37.2,27.0,GER-Bundesliga,Stuttgart,FW,2,23000000.0,39100000.0,2028.0,72.0,68.0,84.0,77.0,73.0,71.0,83.0,ST,80.0,80.0,38.3453436807095,38.0094043887145,72.3340720221605,25.9977827051,0.6339045633031155,0.22038551172781212,2.876344086021505,2.661290322580645,0.9252336448598131,0.4301075268817204,1.9354838709677418,0.6989247311827956,1.4247311827956988,1.747311827956989,1.3978494623655913,0.12125148312739466,0.8387671906240685,0.9408602150537634,0.24193548387096772,0.3225806451612903,2.4187502451241016,0.7258064516129031,0.8333333333333333,True,94.0,93.0,26.0,45.0,57.0,13.0,60.1,13.0,False
