,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23.0,2000.0,33.0,51,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31.0,1992.0,32.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Auxerre,Théo De Percin,MTQ,GK,23.0,2001.0,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,25.0,1999.0,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Brest,Marco Bizot,NED,GK,33.0,1991.0,32.0,54,8,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Le Havre,Arthur Desmas,FRA,GK,30.0,1994.0,18.0,38,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Le Havre,Mathieu Gorgelin,FRA,GK,33.0,1990.0,16.0,33,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Brice Samba,FRA,GK,30.0,1994.0,15.0,14,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Hervé Koffi,BFA,GK,27.0,1996.0,5.0,8,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32.0,1992.0,14.0,17,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22.0,2001.0,34.0,36,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26.0,1997.0,33.0,44,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28.0,1996.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32.0,1992.0,34.0,47,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,26.0,1998.0,19.0,19,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,24.0,1999.0,15.0,22,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,33.0,1991.0,30.0,68,6,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26.0,1998.0,4.0,11,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nantes,Alban Lafont,CIV,GK,25.0,1999.0,12.0,19,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nantes,Anthony Lopes,POR,GK,33.0,1990.0,17.4,26,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nantes,Patrik Carlgren,SWE,GK,32.0,1992.0,4.6,7,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Nice,Marcin Bułka,POL,GK,24.0,1999.0,34.0,41,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,PSG,Arnau Tenas,ESP,GK,23.0,2001.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,PSG,Gianluigi Donnarumma,ITA,GK,25.0,1999.0,23.2,25,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,PSG,Matvei Safonov,RUS,GK,25.0,1999.0,9.8,9,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Reims,Yehvann Diouf,SEN,GK,24.0,1999.0,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Rennes,Brice Samba,FRA,GK,30.0,1994.0,17.0,27,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Rennes,Gauthier Gallon,FRA,GK,31.0,1993.0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Rennes,Steve Mandanda,FRA,GK,39.0,1985.0,16.5,24,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Saint-Étienne,Gautier Larsonneur,FRA,GK,27.0,1997.0,34.0,77,13,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Strasbourg,Karl-Johan Johnsson,SWE,GK,34.0,1990.0,3.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Strasbourg,Đorđe Petrović,SRB,GK,24.0,1999.0,31.0,38,7,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Guillaume Restes,FRA,GK,19.0,2005.0,28.3,36,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Kjetil Haug,NOR,GK,26.0,1998.0,5.5,7,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Toulouse,Álex Domínguez,ESP,GK,26.0,1998.0,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Angers,Hervé Koffi,BFA,GK,28.0,1996.0,29.5,36,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Angers,Melvin Zinga,FRA,GK,23.0,2002.0,2.5,5,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Angers,Oumar Pona,FRA,GK,19.0,2006.0,2.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Auxerre,Donovan Léon,GUF,GK,32.0,1992.0,27.3,35,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Auxerre,Théo De Percin,MTQ,GK,24.0,2001.0,6.6,9,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Brest,Grégoire Coudert,FRA,GK,26.0,1999.0,24.4,40,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Brest,Radosław Majecki,POL,GK,25.0,1999.0,9.6,18,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Le Havre,Lionel Mpasi,COD,GK,30.0,1994.0,3.5,2,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Le Havre,Mory Diaw,SEN,GK,32.0,1993.0,29.5,41,6,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Le Havre,Paul Argney,FRA,GK,19.0,2006.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lens,Mathieu Gorgelin,FRA,GK,34.0,1990.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lens,Robin Risser,FRA,GK,20.0,2004.0,33.0,35,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lille,Arnaud Bodart,BEL,GK,27.0,1998.0,2.5,3,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lille,Berke Özer,TUR,GK,25.0,2000.0,31.5,34,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lorient,Bingourou Kamara,SEN,GK,28.0,1996.0,3.0,8,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lorient,Yvon Mvogo,SUI,GK,31.0,1994.0,31.0,43,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lyon,Dominik Greif,SVK,GK,28.0,1997.0,29.0,37,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Lyon,Rémy Descamps,FRA,GK,29.0,1996.0,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Marseille,Gerónimo Rulli,ARG,GK,33.0,1992.0,29.0,34,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Marseille,Jeffrey De Lange,NED,GK,27.0,1998.0,5.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Metz,Jonathan Fischer,DEN,GK,23.0,2001.0,26.2,56,6,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Metz,Pape Mamadou Sy,SEN,GK,28.0,1997.0,7.8,20,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Monaco,Lukáš Hrádecký,FIN,GK,35.0,1989.0,16.0,27,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Monaco,Philipp Köhn,SUI,GK,27.0,1998.0,18.0,27,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Nantes,Anthony Lopes,POR,GK,34.0,1990.0,31.0,50,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Nantes,Patrik Carlgren,SWE,GK,33.0,1992.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Nice,Maxime Dupé,FRA,GK,32.0,1993.0,8.0,15,3,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Nice,Yehvann Diouf,SEN,GK,25.0,1999.0,26.0,45,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,PSG,Lucas Chevalier,FRA,GK,23.0,2001.0,17.0,13,1,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,PSG,Matvei Safonov,RUS,GK,26.0,1999.0,15.0,14,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,PSG,Renato Marin,ITA,GK,19.0,2006.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Paris FC,Kevin Trapp,GER,GK,35.0,1990.0,22.0,29,6,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Paris FC,Obed Nkambadio,FRA,GK,22.0,2003.0,12.0,21,2,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Rennes,Brice Samba,FRA,GK,31.0,1994.0,32.0,44,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Rennes,Mathys Silestrie,FRA,GK,19.0,2005.0,2.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Strasbourg,Karl-Johan Johnsson,SWE,GK,35.0,1990.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Strasbourg,Mike Penders,BEL,GK,20.0,2005.0,33.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Toulouse,Guillaume Restes,FRA,GK,20.0,2005.0,32.7,45,5,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2526,Toulouse,Kjetil Haug,NOR,GK,27.0,1998.0,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30.0,1994.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24.0,2000.0,34.0,34,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36.0,1988.0,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24.0,1999.0,11.7,14,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33.0,1991.0,26.3,33,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26.0,1997.0,6.9,11,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22.0,2001.0,18.0,22,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22.0,2002.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28.0,1996.0,13.0,23,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27.0,1997.0,8.0,18,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29.0,1995.0,18.5,20,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41.0,1982.0,11.5,14,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26.0,1998.0,32.0,45,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19.0,2005.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33.0,1991.0,5.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33.0,1990.0,35.0,38,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34.0,1990.0,3.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32.0,1992.0,1.7,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27.0,1997.0,0.3,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31.0,1993.0,29.0,31,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29.0,1995.0,7.0,15,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,28.0,1996.0,36.0,64,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,29.0,1995.0,2.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26.0,1998.0,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,35.0,1988.0,33.0,32,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,31.0,1992.0,5.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27.0,1997.0,33.0,32,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,22.0,2001.0,9.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,30.0,1994.0,29.0,42,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,29.0,1995.0,38.0,58,8,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,32.0,1992.0,1.4,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29.0,1995.0,36.6,41,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Monza,Andrea Mazza,ITA,GK,20.0,2004.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22.0,2001.0,8.2,17,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22.0,2001.0,29.7,52,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27.0,1997.0,33.4,25,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22.0,2001.0,3.6,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28.0,1996.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34.0,1990.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21.0,2002.0,36.8,53,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,24.0,1999.0,38.0,35,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,31.0,1992.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,27.0,1997.0,37.0,42,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,38.0,1985.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,24.0,1999.0,25.0,40,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22.0,2002.0,12.0,16,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,22.0,2002.0,15.2,23,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27.0,1997.0,15.0,18,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,31.0,1993.0,7.8,15,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25.0,2000.0,37.0,35,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Atalanta,Marco Sportiello,ITA,GK,33.0,1992.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Bologna,Federico Ravaglia,ITA,GK,25.0,1999.0,16.3,29,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Bologna,Massimo Pessina,ITA,GK,17.0,2007.0,3.9,2,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Bologna,Łukasz Skorupski,POL,GK,34.0,1991.0,17.7,18,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Cagliari,Elia Caprile,ITA,GK,23.0,2001.0,38.0,53,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Como,Jean Butez,FRA,GK,30.0,1995.0,38.0,29,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28.0,1997.0,34.0,50,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Cremonese,Marco Silvestri,ITA,GK,34.0,1991.0,4.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Fiorentina,David de Gea,ESP,GK,34.0,1990.0,37.0,49,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Fiorentina,Luca Lezzerini,ITA,GK,30.0,1995.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Fiorentina,Oliver Christensen,DEN,GK,26.0,1999.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Genoa,Daniele Sommariva,ITA,GK,28.0,1997.0,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Genoa,Justin Bijlow,NED,GK,27.0,1998.0,15.5,20,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Genoa,Nicola Leali,ITA,GK,32.0,1993.0,20.5,28,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Hellas Verona,Lorenzo Montipò,ITA,GK,29.0,1996.0,35.0,54,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Hellas Verona,Simone Perilli,ITA,GK,30.0,1995.0,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Inter,Josep Martinez,ESP,GK,27.0,1998.0,5.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Inter,Raffaele Di Gennaro,ITA,GK,31.0,1993.0,0.1,1,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Inter,Yann Sommer,SUI,GK,36.0,1988.0,32.9,30,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Juventus,Mattia Perin,ITA,GK,32.0,1992.0,8.5,9,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Juventus,Michele Di Gregorio,ITA,GK,28.0,1997.0,29.5,25,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Lazio,Alessio Furlanetto,ITA,GK,23.0,2002.0,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Lazio,Edoardo Motta,ITA,GK,20.0,2005.0,9.0,10,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Lazio,Ivan Provedel,ITA,GK,31.0,1994.0,27.0,27,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Lecce,Wladimiro Falcone,ITA,GK,30.0,1995.0,38.0,50,4,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Milan,Mike Maignan,FRA,GK,30.0,1995.0,36.6,35,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Milan,Pietro Terracciano,ITA,GK,35.0,1990.0,1.4,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Napoli,Alex Meret,ITA,GK,28.0,1997.0,10.9,12,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Napoli,Nikita Contini,ITA,GK,29.0,1996.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Napoli,Vanja Milinković-Savić,SRB,GK,28.0,1997.0,27.0,24,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Parma,Edoardo Corvi,ITA,GK,24.0,2001.0,17.0,18,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Parma,Filippo Rinaldi,ITA,GK,22.0,2002.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Parma,Zion Suzuki,JPN,GK,22.0,2002.0,20.0,28,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Pisa,Adrian Šemper,CRO,GK,27.0,1998.0,25.0,42,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Pisa,Nícolas Andrade,BRA,GK,37.0,1988.0,6.0,14,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Pisa,Simone Scuffet,ITA,GK,29.0,1996.0,7.0,15,3,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Roma,Mile Svilar,SRB,GK,25.0,1999.0,38.0,31,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Sassuolo,Arijanet Muric,KVX,GK,26.0,1998.0,32.0,43,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Sassuolo,Gioele Zacchi,ITA,GK,22.0,2003.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Sassuolo,Stefano Turati,ITA,GK,23.0,2001.0,5.9,7,0,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Torino,Alberto Paleari,ITA,GK,32.0,1992.0,29.0,45,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Torino,Franco Israel,URU,GK,25.0,2000.0,9.0,18,2,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Udinese,Daniele Padelli,ITA,GK,39.0,1985.0,2.0,2,1,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Udinese,Maduka Okoye,NGA,GK,25.0,1999.0,29.1,37,5,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2526,Udinese,Razvan Sava,ROU,GK,23.0,2002.0,6.9,14,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26.0,1998.0,19.0,19,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24.0,1999.0,15.0,32,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24.0,2000.0,3.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20.0,2003.0,8.0,12,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38.0,1986.0,22.0,15,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35.0,1988.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31.0,1993.0,21.0,46,3,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31.0,1993.0,13.0,22,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33.0,1991.0,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26.0,1997.0,32.0,47,4,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Frankfurt,Kauã Santos,BRA,GK,21.0,2003.0,8.5,12,1,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Frankfurt,Kevin Trapp,GER,GK,34.0,1990.0,25.5,34,0,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26.0,1997.0,8.4,16,2,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22.0,2002.0,25.6,37,0,,,,,,,,,,,,,,,,,,,,,,,
