,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29.0,1995.0,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,21.0,2003.0,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,25.0,1999.0,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36.0,1988.0,7.0,15,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,27.0,1996.0,24.0,37,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31.0,1993.0,25.1,41,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39.0,1985.0,12.9,21,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31.0,1993.0,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31.0,1993.0,29.0,48,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31.0,1993.0,7.0,17,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29.0,1995.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29.0,1995.0,37.0,26,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Arsenal,Kepa Arrizabalaga,ESP,GK,30.0,1994.0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,32.0,1992.0,31.5,39,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,34.0,1991.0,6.5,10,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,25.0,1999.0,38.0,54,6,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,26.0,1998.0,37.0,49,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Brentford,Hákon Valdimarsson,ISL,GK,23.0,2001.0,1.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,22.0,2002.0,38.0,46,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Burnley,Martin Dúbravka,SVK,GK,36.0,1989.0,35.0,71,6,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Burnley,Max Weiß,GER,GK,21.0,2004.0,3.0,4,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Chelsea,Filip Jørgensen,DEN,GK,23.0,2002.0,4.2,5,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Chelsea,Robert Sánchez,ESP,GK,27.0,1997.0,33.8,49,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Crystal Palace,Dean Henderson,ENG,GK,28.0,1997.0,37.0,51,5,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Crystal Palace,Walter Benítez,ARG,GK,32.0,1993.0,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Everton,Jordan Pickford,ENG,GK,31.0,1994.0,38.0,50,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,33.0,1992.0,38.0,51,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,34.0,1990.0,22.0,27,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,27.0,1997.0,16.0,29,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,32.0,1992.0,26.0,31,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Liverpool,Freddie Woodman,ENG,GK,28.0,1997.0,2.4,4,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,24.0,2000.0,9.6,18,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Manchester City,Gianluigi Donnarumma,ITA,GK,26.0,1999.0,34.0,29,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Manchester City,James Trafford,ENG,GK,22.0,2002.0,4.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,27.0,1998.0,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23.0,2002.0,32.0,39,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Newcastle,Aaron Ramsdale,ENG,GK,27.0,1998.0,11.2,17,3,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Newcastle,Nick Pope,ENG,GK,33.0,1992.0,26.8,38,2,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Nottingham,Angus Gunn,SCO,GK,29.0,1996.0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Nottingham,John,BRA,GK,29.0,1996.0,4.9,8,1,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Nottingham,Matz Sels,BEL,GK,33.0,1992.0,29.6,39,4,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Nottingham,Stefan Ortega,GER,GK,32.0,1992.0,3.0,4,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,22.0,2003.0,3.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,22.0,2003.0,35.0,46,2,,,,,,,,,,,,,,,,,,,,,,,
